robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.40815,0.260166,-2.63132,-0.596664
-0.845788,-2.36738,1.4094,2.34826
5,5,-5,-5
3.96372,0.108566,-2.08521,-0.93749
-0.25411,-2.57656,1.85257,2.14372
5,5,-5,-5
4.56162,0.0192551,-1.57468,-1.35759
0.383614,-2.72743,2.24756,1.86585
5,5,-5,-5
5.17309,0.00299696,-1.12128,-1.84476
1.03657,-2.80577,2.57818,1.51887
5,5,-5,-5
5.7678,0.0593033,-0.741171,-2.38039
1.67214,-2.80872,2.83473,1.11431
5,5,-5,-5
6.31697,0.176559,-0.443481,-2.94133
2.25912,-2.74471,3.01548,0.66916
5,5,-5,-5
6.79609,0.333731,-0.22963,-3.50215
2.77036,-2.63166,3.12713,0.203546
5,5,-5,-5
7.18623,0.50329,-0.0935305,-4.03742
3.18428,-2.49411,3.18435,-0.261774
5,5,-5,-5
7.47376,0.654828,-0.0227454,-4.52362
3.48451,-2.35945,3.20817,-0.707708
5,5,-5,-5
7.64817,0.758869,-0.000356765,-4.94027
3.65794,-2.25412,3.22372,-1.11858
5,5,-5,-5
7.70926,0.797633,-0.00839271,-5.28958
3.70057,-2.19074,3.25706,-1.50318
5,5,-5,-5
7.67476,0.775591,-0.0345767,-5.587
3.63089,-2.16501,3.31621,-1.87591
5,5,-5,-5
7.55852,0.704189,-0.070264,-5.83529
3.46732,-2.1702,3.39834,-2.23407
5,5,-5,-5
7.37227,0.598598,-0.108895,-6.03783
3.22613,-2.19595,3.49838,-2.57552
5,5,-5,-5
7.12764,0.475273,-0.145719,-6.19831
2.9232,-2.23078,3.6099,-2.89751
5,5,-5,-5
6.83755,0.349903,-0.17751,-6.32045
2.57538,-2.26426,3.72607,-3.19601
5,5,-5,-5
6.51702,0.23569,-0.2023,-6.40786
2.20111,-2.28877,3.84023,-3.46543
5,5,-5,-5
6.18318,0.142009,-0.219135,-6.46401
1.82052,-2.30077,3.9465,-3.69861
