fitness1,subfitness1,distance1,collision1,diversity1,age1,collision_points_begin1,collision_points_end1,fitness2,subfitness2,distance2,collision2,diversity2,age2,collision_points_begin2,collision_points_end2
15.9653,0,15.9653,0,0,9,-1,-1,15.9653,0,15.5138,0,0,13,-1,-1
15.9857,0,15.9857,0,0,12,-1,-1,15.9653,0,15.1048,0,0,13,-1,-1
15.9857,0,15.9857,0,0,12,-1,-1,15.9653,0,15.2755,0,0,13,-1,-1
15.9857,0,15.9857,0,0,12,-1,-1,15.9653,0,15.5138,0,0,13,-1,-1
16.1713,0,16.1713,0,0,12,-1,-1,15.9653,0,15.1048,0,0,13,-1,-1
16.8771,0,16.8771,0,0,12,-1,-1,15.9653,0,15.5138,0,0,13,-1,-1
16.8771,0,16.8771,0,0,12,-1,-1,15.9653,0,12.8394,0,0,13,-1,-1
16.8771,0,16.8771,0,0,12,-1,-1,15.9653,0,15.0452,0,0,13,-1,-1
16.8771,0,16.8771,0,0,12,-1,-1,15.9653,0,15.5699,0,0,13,-1,-1
17.2851,0,17.2851,0,0,12,-1,-1,15.9653,0,13.6929,0,0,13,-1,-1
17.2851,0,17.2851,0,0,12,-1,-1,15.9653,0,14.7876,0,0,13,-1,-1
17.5199,0,17.5199,0,0,12,-1,-1,15.9653,0,13.6929,0,0,13,-1,-1
21.0988,0,21.0988,0,0,12,-1,-1,15.9653,0,12.8394,0,0,13,-1,-1
21.0988,0,21.0988,0,0,12,-1,-1,15.9653,0,15.5138,0,0,13,-1,-1
21.2786,0,21.2786,0,0,12,-1,-1,15.9653,0,15.0452,0,0,13,-1,-1
21.2786,0,21.2786,0,0,12,-1,-1,15.9653,0,15.2755,0,0,13,-1,-1
21.2786,0,21.2786,0,0,12,-1,-1,15.9653,0,14.7596,0,0,13,-1,-1
21.8664,0,21.8664,0,0,12,-1,-1,15.9653,0,15.3285,0,0,13,-1,-1
21.8664,0,21.8664,0,0,12,-1,-1,15.9653,0,15.5699,0,0,13,-1,-1
