fitness1,subfitness1,distance1,collision1,diversity1,age1,collision_points_begin1,collision_points_end1,fitness2,subfitness2,distance2,collision2,diversity2,age2,collision_points_begin2,collision_points_end2
14.4383,0,14.4383,0,0,24,-1,-1,14.8338,0,13.9303,0,0,24,-1,-1
14.4383,0,14.4383,0,0,24,-1,-1,14.8338,0,13.9303,0,0,24,-1,-1
14.8338,0,14.8338,0,0,24,-1,-1,14.8338,0,13.9303,0,0,24,-1,-1
15.5087,0,15.5087,0,0,24,-1,-1,14.8338,0,13.9303,0,0,24,-1,-1
15.7399,0,15.7399,0,0,24,-1,-1,14.9029,0,14.9029,0,0,24,-1,-1
15.9647,0,15.9647,0,0,24,-1,-1,14.9461,0,14.9461,0,0,24,-1,-1
16.0279,0,16.0279,0,0,24,-1,-1,14.9461,0,14.9461,0,0,24,-1,-1
16.1117,0,16.1117,0,0,24,-1,-1,15.016,0,15.016,0,0,24,-1,-1
16.1117,0,16.1117,0,0,24,-1,-1,15.016,0,15.016,0,0,24,-1,-1
16.1311,0,16.1311,0,0,24,-1,-1,15.016,0,15.016,0,0,24,-1,-1
16.1456,0,16.1456,0,0,24,-1,-1,15.2112,0,15.2112,0,0,24,-1,-1
16.1456,0,16.1456,0,0,24,-1,-1,15.2112,0,15.2112,0,0,24,-1,-1
16.1456,0,16.1456,0,0,24,-1,-1,15.8216,0,15.8216,0,0,24,-1,-1
16.1752,0,16.1752,0,0,24,-1,-1,15.8216,0,15.8216,0,0,24,-1,-1
16.2034,0,16.2034,0,0,24,-1,-1,22.5074,0,4.04011,0,0,12,3,6
16.2034,0,16.2034,0,0,24,-1,-1,22.5074,0,22.0889,0,0,12,2,6
16.2034,0,16.2034,0,0,24,-1,-1,22.5074,0,4.72634,0,0,12,3,6
16.2262,0,16.2262,0,0,24,-1,-1,22.5074,0,11.2468,0,0,12,4,6
16.2262,0,16.2262,0,0,24,-1,-1,22.5074,0,10.4086,0,0,12,2,6
16.2987,0,16.2987,0,0,24,-1,-1,22.5074,0,22.0889,0,0,12,2,6
16.2987,0,16.2987,0,0,24,-1,-1,22.5074,0,12.7773,0,0,12,4,6
16.3196,0,16.3196,0,0,24,-1,-1,22.5074,0,10.4086,0,0,12,2,6
16.3913,0,16.3913,0,0,24,-1,-1,22.5074,0,5.75394,0,0,12,4,6
16.5019,0,16.5019,0,0,24,-1,-1,22.5074,0,21.9328,0,0,12,2,6
16.8265,0,16.8265,0,0,24,-1,-1,22.5074,0,10.1111,0,0,12,4,6
16.8265,0,16.8265,0,0,24,-1,-1,22.5074,0,21.3874,0,0,12,2,6
16.8704,0,16.8704,0,0,24,-1,-1,22.5074,0,15.1403,0,0,12,2,6
16.8704,0,16.8704,0,0,24,-1,-1,22.5074,0,10.1719,0,0,12,4,6
17.5326,0,17.5326,0,0,24,-1,-1,22.5074,0,9.32269,0,0,12,4,6
17.7226,0,17.7226,0,0,24,-1,-1,22.5074,0,9.08999,0,0,12,3,6
17.7226,0,17.7226,0,0,24,-1,-1,22.5074,0,10.974,0,0,12,4,6
18.0269,0,18.0269,0,0,24,-1,-1,22.5074,0,18.7773,0,0,12,2,6
22.4549,0,22.4549,0,0,24,0,1,22.5074,0,10.1719,0,0,12,4,6
22.4549,0,22.4549,0,0,24,0,1,22.5074,0,4.72634,0,0,12,3,6
22.4662,0,22.4662,0,0,12,0,1,22.5074,0,16.631,0,0,12,4,6
22.4662,0,22.4662,0,0,12,0,1,22.5074,0,16.631,0,0,12,4,6
22.4662,0,22.4662,0,0,12,0,1,22.5074,0,10.3773,0,0,12,3,6
22.4821,0,22.4821,0,0,12,0,1,22.5074,0,16.3506,0,0,12,2,6
22.4821,0,22.4821,0,0,12,0,1,22.5074,0,4.72634,0,0,12,3,6
22.5047,0,22.5047,0,0,12,0,1,22.5074,0,8.54349,0,0,12,2,6
22.5047,0,22.5047,0,0,12,0,1,22.5074,0,10.1719,0,0,12,4,6
22.5074,0,22.5074,0,0,12,0,1,22.5074,0,22.0889,0,0,12,2,6
22.5074,0,22.5074,0,0,12,0,1,22.5074,0,12.0694,0,0,12,3,6
22.5074,0,22.5074,0,0,12,0,1,22.5074,0,10.3773,0,0,12,3,6
22.604,0,22.604,0,0,12,0,1,22.5074,0,16.3506,0,0,12,2,6
22.604,0,22.604,0,0,12,0,1,22.5074,0,6.33237,0,0,12,3,6
22.6665,0,22.6665,0,0,12,0,1,22.5074,0,8.54349,0,0,12,2,6
22.6784,0,22.6784,0,0,12,0,1,22.5074,0,16.3506,0,0,12,2,6
22.6784,0,22.6784,0,0,12,0,1,22.5074,0,12.0694,0,0,12,3,6
22.6784,0,22.6784,0,0,12,0,1,22.5074,0,7.38458,0,0,12,2,6
22.6784,0,22.6784,0,0,12,0,1,22.5074,0,21.9328,0,0,12,2,6
