robo1_x,robo1_y,robo2_x,robo2_y
-2.76699,-0.97499,3.65501,-1.5345
5,5,-5,-5
0.440247,2.9485,-1.52229,-1.40757
-2.83338,-0.830831,3.4732,-1.19537
5,5,-5,-5
0.376516,3.09648,-1.70579,-1.23859
-2.89466,-0.684979,3.28105,-0.876029
5,5,-5,-5
0.317717,3.24608,-1.89195,-1.08337
-2.9505,-0.537929,3.08307,-0.584198
