robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.40528,0.261132,-2.63074,-0.596975
-0.849299,-2.36538,1.41274,2.34415
5,5,-5,-5
3.95318,0.11081,-2.08331,-0.938854
-0.266967,-2.57067,1.86476,2.12917
5,5,-5,-5
4.54049,0.0211594,-1.57132,-1.36074
0.35782,-2.71841,2.27206,1.83745
5,5,-5,-5
5.14079,0.00198258,-1.11686,-1.8502
0.996991,-2.79604,2.61617,1.47613
5,5,-5,-5
5.72619,0.0530166,-0.73639,-2.38817
1.62087,-2.80115,2.88487,1.0595
5,5,-5,-5
6.27015,0.164018,-0.439157,-2.95092
2.20095,-2.74143,3.07376,0.607084
5,5,-5,-5
6.74982,0.316183,-0.226422,-3.5124
2.71234,-2.63319,3.18689,0.141269
5,5,-5,-5
7.1474,0.484617,-0.0917375,-4.04661
3.1351,-2.49891,3.23637,-0.315157
5,5,-5,-5
7.45003,0.641402,-0.0221847,-4.52952
3.45418,-2.36414,3.24093,-0.741099
5,5,-5,-5
7.64817,0.758869,-0.000356765,-4.94027
3.65794,-2.25412,3.22372,-1.11858
5,5,-5,-5
7.74791,0.822801,-0.00787839,-5.28057
3.75031,-2.1804,3.20347,-1.44818
5,5,-5,-5
7.76964,0.837176,-0.0321522,-5.56612
3.75265,-2.14003,3.18788,-1.74101
5,5,-5,-5
7.72399,0.807166,-0.0644797,-5.8004
3.67829,-2.13091,3.18313,-1.99869
5,5,-5,-5
7.61956,0.741139,-0.0984888,-5.98752
3.53857,-2.14772,3.19291,-2.22365
5,5,-5,-5
7.46393,0.649247,-0.129775,-6.13177
3.34373,-2.18341,3.2188,-2.41868
5,5,-5,-5
7.26466,0.542275,-0.155551,-6.23746
3.10386,-2.2304,3.26073,-2.58657
5,5,-5,-5
7.03001,0.430639,-0.174323,-6.30875
2.82957,-2.28161,3.31735,-2.7299
5,5,-5,-5
6.76936,0.323532,-0.185596,-6.34963
