robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.27798,0.305893,-3.52341,-0.223006
-0.960497,-2.34653,0.619707,2.57603
5,5,-5,-5
3.64352,0.187521,-3.87656,-0.127845
-0.549118,-2.53678,0.282338,2.64768
5,5,-5,-5
4.01501,0.0979802,-4.24183,-0.0578166
-0.131412,-2.69615,-0.0675613,2.69454
5,5,-5,-5
4.39174,0.0371361,-4.61283,-0.0150128
0.292474,-2.82573,-0.423394,2.71421
5,5,-5,-5
4.77306,0.00515302,-4.9829,-2.92398e-05
0.722533,-2.92627,-0.778288,2.70575
5,5,-5,-5
5.15832,0.00250729,-5.34537,-0.0119426
1.15882,-2.99816,-1.12536,2.66976
5,5,-5,-5
5.54682,0.0299917,-5.69381,-0.0483717
1.60138,-3.04141,-1.45799,2.60828
5,5,-5,-5
5.93768,0.0887105,-6.02224,-0.105614
2.05016,-3.05568,-1.76999,2.52467
5,5,-5,-5
6.32975,0.180066,-6.32532,-0.178847
2.5049,-3.04027,-2.05586,2.4234
5,5,-5,-5
6.72158,0.30573,-6.59842,-0.26238
2.96513,-2.99413,-2.31079,2.30982
5,5,-5,-5
7.13249,0.477557,-6.85081,-0.355162
3.45465,-2.9097,-2.54382,2.18449
5,5,-5,-5
7.56624,0.708797,-7.09183,-0.458607
3.97944,-2.77472,-2.76441,2.04607
5,5,-5,-5
7.99816,0.998623,-7.31789,-0.569722
4.5122,-2.58579,-2.9693,1.89802
5,5,-5,-5
8.40577,1.3393,-7.52586,-0.684908
5.02744,-2.34673,-3.15569,1.74441
5,5,-5,-5
8.7707,1.71643,-7.71307,-0.800088
5.50341,-2.06837,-3.32121,1.58981
5,5,-5,-5
9.08026,2.11011,-7.8773,-0.910848
5.92363,-1.76747,-3.46395,1.43912
5,5,-5,-5
9.32823,2.49672,-8.01672,-1.0126
6.27777,-1.46493,-3.58233,1.29743
5,5,-5,-5
9.51459,2.85093,-8.12978,-1.10071
