robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.38616,0.267611,-3.02422,-0.406928
-0.836917,-2.40926,1.18308,2.29466
5,5,-5,-5
3.89646,0.1233,-2.86124,-0.480518
-0.2586,-2.65797,1.42379,2.09601
5,5,-5,-5
4.43497,0.0320283,-2.70017,-0.560317
0.353076,-2.85555,1.65924,1.88825
5,5,-5,-5
4.9842,2.49757e-05,-2.54187,-0.645969
0.978855,-2.99284,1.8882,1.67233
5,5,-5,-5
5.52571,0.027714,-2.38715,-0.737019
1.59826,-3.06665,2.10951,1.44932
5,5,-5,-5
6.04162,0.1097,-2.23677,-0.832921
2.19106,-3.07985,2.32216,1.2204
5,5,-5,-5
6.5159,0.235332,-2.09142,-0.933041
2.7387,-3.04076,2.52527,0.986897
5,5,-5,-5
6.93535,0.389748,-1.95172,-1.03667
3.22521,-2.9621,2.71808,0.750204
5,5,-5,-5
7.29003,0.555252,-1.81823,-1.14301
3.63779,-2.85959,2.89998,0.511823
5,5,-5,-5
7.57299,0.71284,-1.69142,-1.25123
3.96656,-2.75035,3.07049,0.273323
5,5,-5,-5
7.80001,0.857547,-1.56934,-1.36262
4.22725,-2.64036,3.2323,0.0317441
5,5,-5,-5
7.99081,0.993125,-1.45052,-1.47846
4.44191,-2.52899,3.38738,-0.215663
5,5,-5,-5
8.14628,1.11401,-1.33604,-1.59774
4.6122,-2.42297,3.53439,-0.466847
5,5,-5,-5
8.26739,1.21527,-1.22681,-1.7193
4.73995,-2.32833,3.67224,-0.719613
5,5,-5,-5
8.35493,1.29265,-1.12362,-1.84189
4.82688,-2.25036,3.80007,-0.971639
5,5,-5,-5
8.40931,1.34259,-1.02713,-1.96417
4.87439,-2.19356,3.91726,-1.2205
5,5,-5,-5
8.43038,1.36235,-0.93785,-2.08471
4.88334,-2.16164,4.02343,-1.46369
5,5,-5,-5
8.41725,1.35001,-0.856169,-2.20202
4.85385,-2.15743,4.11843,-1.69865
