robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
2.81589,0.50226,-3.36069,-0.276371
-1.75169,-1.53175,0.105949,3.32674
5,5,-5,-5
2.70828,0.556125,-3.55324,-0.213886
-2.08559,-0.864727,-0.928789,4.04196
5,5,-5,-5
2.59897,0.614222,-3.75849,-0.156588
-2.34288,-0.14613,-2.11918,4.56704
5,5,-5,-5
2.49038,0.675441,-3.96859,-0.107536
-2.50898,0.595358,-3.39867,4.85988
5,5,-5,-5
2.38483,0.738443,-4.17536,-0.0684713
-2.58023,1.32854,-4.68973,4.905
5,5,-5,-5
2.28448,0.801676,-4.37037,-0.0398018
-2.56406,2.02304,-5.91493,4.71565
5,5,-5,-5
2.19137,0.863386,-4.54511,-0.0207353
-2.47763,2.65238,-7.00766,4.3308
5,5,-5,-5
2.1074,0.921658,-4.69114,-0.00954832
-2.34542,3.19595,-7.92004,3.80807
5,5,-5,-5
2.03437,0.974452,-4.80014,-0.00399582
-2.19611,3.6396,-8.6266,3.21442
5,5,-5,-5
1.97398,1.01965,-4.86393,-0.00185174
-2.05937,3.97467,-9.12327,2.61693
5,5,-5,-5
1.92722,1.05563,-4.86639,-0.00178542
-1.95664,4.20454,-9.40138,2.10389
5,5,-5,-5
1.89242,1.08299,-4.8069,-0.00373032
-1.8929,4.34969,-9.5015,1.71694
5,5,-5,-5
1.8673,1.10305,-4.70065,-0.00896902
-1.86765,4.42723,-9.48858,1.43177
5,5,-5,-5
1.84969,1.11728,-4.56295,-0.0191379
-1.87636,4.45143,-9.409,1.21205
5,5,-5,-5
1.83748,1.12722,-4.40913,-0.0350353
-1.9122,4.43477,-9.29718,1.01709
5,5,-5,-5
1.8286,1.13448,-4.25447,-0.0558936
-1.96728,4.3889,-9.17975,0.805308
5,5,-5,-5
1.82104,1.1407,-4.11404,-0.0791187
-2.03355,4.32538,-9.07611,0.535606
5,5,-5,-5
1.81275,1.14754,-4.00259,-0.100493
