generation,LAYER1-0,LAYER1-1,LAYER1-2,LAYER1-3,LAYER1-4,LAYER2-0,LAYER2-1,LAYER2-2,LAYER2-3,LAYER2-4,
83,21.4707,13.7736,23.4885,20.3702,13.2862,20.3702,13.7736,13.7736,20.3702,13.2862,
84,31.7466,19.9956,11.7392,20.2604,13.2862,20.3702,13.7736,13.7736,20.3702,13.2862,
85,31.7466,19.9956,11.7392,20.2604,13.2862,20.2604,12.5037,11.0283,20.2604,13.2862,
86,33.6533,12.5037,11.0283,20.0978,13.2862,20.2604,12.5037,11.0283,20.2604,13.2862,
87,33.6533,12.5037,11.0283,20.0978,13.2862,15.9017,11.5181,9.9337,20.0978,12.9582,
88,29.1881,9.9337,9.72667,20.0978,12.7636,15.9017,11.5181,9.9337,20.0978,12.9582,
89,29.1881,9.9337,9.72667,20.0978,12.7636,20.0978,14.1956,9.72667,12.5186,10.3902,
90,14.1956,28.6374,9.72667,20.0596,10.3902,20.0978,14.1956,9.72667,12.5186,10.3902,
91,14.1956,28.6374,9.72667,20.0596,10.3902,20.0596,13.8935,9.72667,12.5186,9.43317,
92,27.0947,13.8935,9.34035,19.9911,10.0093,20.0596,13.8935,9.72667,12.5186,9.43317,
93,27.0947,13.8935,9.34035,19.9911,10.0093,19.9911,13.8935,9.72667,12.5186,9.34035,
94,13.8935,13.8935,9.33954,19.9408,9.35556,19.9911,13.8935,9.72667,12.5186,9.34035,
95,13.8935,13.8935,9.33954,19.9408,9.35556,19.9408,19.9408,12.9186,9.46469,9.33954,
96,13.382,27.7537,12.9186,9.33954,9.35556,19.9408,19.9408,12.9186,9.46469,9.33954,
97,13.382,27.7537,12.9186,9.33954,9.35556,15.8847,13.382,12.5111,9.46469,9.33954,
98,12.5111,15.8847,9.31771,9.31771,9.31771,15.8847,13.382,12.5111,9.46469,9.33954,
99,12.5111,15.8847,9.31771,9.31771,9.31771,15.8847,20.5575,10.8046,9.45001,8.92704,
100,13.1631,15.8847,9.42791,8.58623,8.92704,15.8847,20.5575,10.8046,9.45001,8.92704,
