generation,LAYER1-0,LAYER1-1,LAYER1-2,LAYER1-3,LAYER1-4,LAYER2-0,LAYER2-1,LAYER2-2,LAYER2-3,LAYER2-4,
0,133.349,,,,,133.349,,,,,
1,133.349,,,,,123.349,,,,,
2,62.5034,,,,,123.349,,,,,
3,62.5034,,,,,34.7383,,,,,
4,30.1611,,,,,34.7383,,,,,
5,30.1611,,,,,40.7033,29.5176,,,,
6,29.5176,29.5176,,,,40.7033,29.5176,,,,
7,29.5176,29.5176,,,,34.5515,29.3551,,,,
8,29.3551,29.3551,,,,34.5515,29.3551,,,,
9,29.3551,29.3551,,,,28.9656,27.4394,,,,
10,27.4394,27.4394,,,,28.9656,27.4394,,,,
11,27.4394,27.4394,,,,35.1534,28.2843,27.1765,,,
12,27.9874,27.1765,27.1765,,,35.1534,28.2843,27.1765,,,
13,27.9874,27.1765,27.1765,,,27.9874,27.6354,27.084,,,
14,25.6457,27.084,27.084,,,27.9874,27.6354,27.084,,,
15,25.6457,27.084,27.084,,,25.6457,25.6457,26.0504,,,
16,25.2012,26.0504,23.7971,,,25.6457,25.6457,26.0504,,,
17,25.2012,26.0504,23.7971,,,23.7971,23.7971,23.7971,,,
18,26.4225,17.3994,19.0488,,,23.7971,23.7971,23.7971,,,
19,26.4225,17.3994,19.0488,,,17.3994,19.0488,25.2229,,,
20,25.2229,13.7108,18.6793,,,17.3994,19.0488,25.2229,,,
21,25.2229,13.7108,18.6793,,,13.7108,36.5122,24.5914,,,
22,24.5914,13.3894,18.6793,,,13.7108,36.5122,24.5914,,,
23,24.5914,13.3894,18.6793,,,13.3894,13.3894,33.3894,24.5914,,
24,26.7884,24.5914,13.0171,15.5063,,13.3894,13.3894,33.3894,24.5914,,
25,26.7884,24.5914,13.0171,15.5063,,11.5544,13.0171,26.7884,24.4582,,
26,26.7119,24.3047,11.5544,13.4944,,11.5544,13.0171,26.7884,24.4582,,
27,26.7119,24.3047,11.5544,13.4944,,11.5544,12.7243,24.3047,24.3047,,
28,14.7649,24.2465,11.5544,12.7243,,11.5544,12.7243,24.3047,24.3047,,
29,14.7649,24.2465,11.5544,12.7243,,16.0249,11.5544,11.9486,23.6118,,
30,27.1521,16.0249,11.5544,11.9486,,16.0249,11.5544,11.9486,23.6118,,
31,27.1521,16.0249,11.5544,11.9486,,16.0249,11.2355,11.9468,24.933,,
32,23.4006,16.0249,11.2355,11.9468,,16.0249,11.2355,11.9468,24.933,,
