robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
2.99488,0.419661,-3.02424,-0.40692
-0.917121,-2.69422,0.83786,2.76864
5,5,-5,-5
3.08678,0.380522,-2.86768,-0.477475
-0.356947,-3.2445,0.693644,3.03207
5,5,-5,-5
3.18851,0.33969,-2.71641,-0.551941
0.29802,-3.74015,0.511505,3.26651
5,5,-5,-5
3.29339,0.300266,-2.56842,-0.631086
1.02058,-4.15331,0.298381,3.46543
5,5,-5,-5
3.39453,0.264764,-2.42183,-0.715956
1.77587,-4.46598,0.0622245,3.62334
5,5,-5,-5
3.4848,0.235111,-2.27493,-0.807864
2.5247,-4.67184,-0.188292,3.73592
5,5,-5,-5
3.55696,0.212762,-2.12621,-0.908386
3.22729,-4.77636,-0.444127,3.80018
5,5,-5,-5
3.60373,0.198913,-1.97436,-1.01936
3.84656,-4.79519,-0.696234,3.81452
5,5,-5,-5
3.61786,0.194827,-1.81838,-1.14289
4.35036,-4.75123,-0.935925,3.77862
5,5,-5,-5
3.59225,0.202267,-1.65757,-1.28138
4.71213,-4.67071,-1.15521,3.69332
5,5,-5,-5
3.52182,0.223498,-1.48365,-1.44539
4.92934,-4.5743,-1.32721,3.55216
5,5,-5,-5
3.41145,0.259062,-1.29619,-1.64116
5.02752,-4.47257,-1.44455,3.35664
5,5,-5,-5
3.26938,0.309058,-1.10602,-1.86361
5.02595,-4.37223,-1.52938,3.11844
5,5,-5,-5
3.10394,0.37345,-0.922676,-2.10597
4.94325,-4.27595,-1.60308,2.84752
5,5,-5,-5
2.92344,0.451606,-0.75393,-2.35976
4.79717,-4.18403,-1.68536,2.55272
5,5,-5,-5
2.73594,0.541969,-0.605483,-2.615
4.60452,-4.09575,-1.79356,2.2418
5,5,-5,-5
2.54914,0.641869,-0.48083,-2.86058
4.38131,-4.01035,-1.94218,1.92109
5,5,-5,-5
2.37018,0.747466,-0.38139,-3.08468
4.14279,-3.92777,-2.14257,1.59487
