fitness1,subfitness1,distance1,collision1,diversity1,age1,collision_points_begin1,collision_points_end1,fitness2,subfitness2,distance2,collision2,diversity2,age2,collision_points_begin2,collision_points_end2
27.1765,0,12.24,0,0,7,-1,-1,27.084,0,27.084,0,0,8,-1,-1
27.1765,0,16.8556,0,0,4,-1,-1,27.084,0,27.084,0,0,8,-1,-1
27.1765,0,16.303,0,0,7,-1,-1,27.1765,0,27.1765,0,0,8,-1,-1
27.1765,0,19.1856,0,0,7,-1,-1,27.2697,0,27.2697,0,0,8,-1,-1
27.1765,0,12.1015,0,0,7,-1,-1,27.3021,0,27.3021,0,0,8,-1,-1
27.1765,0,19.2315,0,0,7,-1,-1,27.3021,0,27.3021,0,0,8,-1,-1
27.1765,0,10.3276,0,0,7,-1,-1,27.3021,0,27.3021,0,0,8,-1,-1
27.1765,0,15.7189,0,0,7,-1,-1,27.3021,0,27.3021,0,0,8,-1,-1
27.1765,0,19.7782,0,0,7,-1,-1,27.375,0,27.375,0,0,8,-1,-1
27.1765,0,24.9307,0,0,4,-1,-1,27.375,0,27.375,0,0,8,-1,-1
27.1765,0,15.7189,0,0,7,-1,-1,27.375,0,27.375,0,0,8,-1,-1
27.1765,0,16.12,0,0,7,-1,-1,27.375,0,27.375,0,0,8,-1,-1
27.1765,0,12.1015,0,0,7,-1,-1,27.5492,0,27.5492,0,0,8,-1,-1
27.1765,0,14.966,0,0,7,-1,-1,27.6354,0,27.6354,0,0,5,3,4
27.1765,0,12.24,0,0,7,-1,-1,27.6354,0,27.6354,0,0,5,3,4
27.1765,0,14.7957,0,0,7,-1,-1,27.6354,0,27.6354,0,0,5,3,4
27.1765,0,19.2774,0,0,7,-1,-1,27.7785,0,27.7785,0,0,8,-1,-1
27.1765,0,16.1556,0,0,4,-1,-1,27.7833,0,27.7833,0,0,8,-1,-1
27.1765,0,19.2922,0,0,7,-1,-1,27.9874,0,20.0644,0,0,2,0,2
27.1765,0,26.018,0,0,4,-1,-1,27.9874,0,27.9396,0,0,8,0,5
27.1765,0,14.9024,0,0,4,-1,-1,27.9874,0,27.6882,0,0,8,4,6
27.1765,0,12.0012,0,0,4,-1,-1,27.9874,0,6.83391,0,0,5,2,6
27.1765,0,12.7446,0,0,4,-1,-1,27.9874,0,27.9396,0,0,8,0,5
27.1765,0,16.1556,0,0,4,-1,-1,27.9874,0,27.6714,0,0,8,0,6
27.1765,0,17.7687,0,0,4,-1,-1,27.9874,0,27.9396,0,0,8,0,5
27.1765,0,16.1556,0,0,4,-1,-1,27.9874,0,8.35623,0,0,2,3,6
27.1765,0,26.2183,0,0,7,-1,-1,27.9874,0,12.4437,0,0,2,0,6
27.1765,0,16.8556,0,0,4,-1,-1,27.9874,0,12.4437,0,0,2,0,6
27.1765,0,16.1556,0,0,4,-1,-1,27.9874,0,12.4437,0,0,2,0,6
27.1765,0,12.0012,0,0,4,-1,-1,27.9874,0,16.4248,0,0,2,0,2
27.1765,0,16.1556,0,0,4,-1,-1,27.9874,0,12.9018,0,0,2,0,3
27.1765,0,26.018,0,0,4,-1,-1,27.9874,0,8.34309,0,0,2,2,4
27.1765,0,25.9444,0,0,4,-1,-1,27.9874,0,17.0754,0,0,2,0,2
27.1765,0,16.1556,0,0,4,-1,-1,27.9874,0,17.0754,0,0,2,0,2
27.1765,0,20.1169,0,0,7,-1,-1,27.9874,0,20.0644,0,0,2,0,2
27.1765,0,20.1169,0,0,7,-1,-1,27.9874,0,22.9504,0,0,2,0,6
27.1765,0,19.2774,0,0,7,-1,-1,27.9874,0,17.0754,0,0,2,0,2
27.1765,0,19.9388,0,0,7,-1,-1,27.9874,0,8.34309,0,0,2,2,4
27.1765,0,23.2235,0,0,7,-1,-1,27.9874,0,14.1058,0,0,2,0,2
27.1765,0,26.4168,0,0,7,-1,-1,27.9874,0,25.5201,0,0,2,2,6
27.1765,0,19.9506,0,0,7,-1,-1,27.9874,0,14.1058,0,0,2,0,2
27.1765,0,7.32629,0,0,7,-1,-1,28.0162,0,28.0162,0,0,5,-1,-1
27.1765,0,20.1169,0,0,7,-1,-1,28.0249,0,28.0249,0,0,5,3,4
27.1765,0,16.002,0,0,7,-1,-1,28.0636,0,28.0636,0,0,8,-1,-1
27.1765,0,16.8108,0,0,7,-1,-1,28.0702,0,28.0702,0,0,8,-1,-1
27.1765,0,19.2922,0,0,7,-1,-1,28.0702,0,28.0702,0,0,8,-1,-1
27.1765,0,20.1169,0,0,7,-1,-1,28.0702,0,28.0702,0,0,8,-1,-1
27.1765,0,22.1856,0,0,7,-1,-1,28.0702,0,28.0702,0,0,8,-1,-1
27.1765,0,12.3345,0,0,7,-1,-1,28.0702,0,28.0702,0,0,8,-1,-1
27.1765,0,23.2235,0,0,7,-1,-1,28.0702,0,28.0702,0,0,8,-1,-1
27.1765,0,19.9506,0,0,7,-1,-1,28.0815,0,28.0815,0,0,8,-1,-1
27.1765,0,26.7443,0,0,7,-1,-1,28.0991,0,28.0991,0,0,8,-1,-1
27.1765,0,14.9082,0,0,7,-1,-1,28.0991,0,28.0991,0,0,8,-1,-1
27.1765,0,16.002,0,0,7,-1,-1,28.1269,0,28.1269,0,0,5,3,4
27.1765,0,24.6578,0,0,7,-1,-1,28.1419,0,28.1419,0,0,5,-1,-1
27.1765,0,26.7478,0,0,7,-1,-1,28.1819,0,28.1819,0,0,8,-1,-1
27.1765,0,19.7782,0,0,7,-1,-1,28.1819,0,28.1819,0,0,8,-1,-1
27.1765,0,19.9388,0,0,7,-1,-1,28.2179,0,28.2179,0,0,8,-1,-1
27.1765,0,19.3059,0,0,7,-1,-1,28.2701,0,28.2701,0,0,8,-1,-1
27.1765,0,26.7909,0,0,7,-1,-1,28.2843,0,28.2843,0,0,5,-1,-1
27.1765,0,10.3276,0,0,7,-1,-1,28.2843,0,28.2843,0,0,5,-1,-1
27.1765,0,19.3145,0,0,7,-1,-1,28.2843,0,28.2843,0,0,5,-1,-1
27.4495,0,27.4495,0,0,7,-1,-1,28.2843,0,28.2843,0,0,5,-1,-1
27.4495,0,27.4495,0,0,7,-1,-1,28.298,0,28.298,0,0,5,4,6
27.5336,0,27.5336,0,0,4,-1,-1,28.4329,0,28.4329,0,0,8,3,4
27.6422,0,27.6422,0,0,4,-1,-1,28.5364,0,28.5364,0,0,5,4,6
27.6422,0,27.6422,0,0,4,-1,-1,28.5364,0,28.5364,0,0,5,4,6
27.8472,0,27.8472,0,0,4,-1,-1,28.6208,0,28.6208,0,0,5,3,4
27.8472,0,27.8472,0,0,4,-1,-1,28.6208,0,28.6208,0,0,5,3,4
27.9874,0,27.9874,0,0,1,-1,-1,28.6614,0,28.6614,0,0,8,-1,-1
28.0609,0,28.0609,0,0,4,-1,-1,28.6614,0,28.6614,0,0,8,-1,-1
28.2843,0,21.4482,0,0,7,4,6,28.7603,0,28.7603,0,0,8,-1,-1
28.372,0,28.372,0,0,4,-1,-1,28.8144,0,28.8144,0,0,5,3,4
28.7829,0,28.7829,0,0,4,-1,-1,28.8144,0,28.8144,0,0,5,3,4
28.866,0,28.866,0,0,4,-1,-1,28.8144,0,28.8144,0,0,5,3,4
29.1544,0,29.1544,0,0,4,-1,-1,28.8689,0,28.8689,0,0,8,3,4
29.8131,0,29.8131,0,0,7,-1,-1,28.9557,0,28.9557,0,0,8,0,1
30.7255,0,30.7255,0,0,4,-1,-1,29.1561,0,29.1561,0,0,5,4,6
32.0429,0,32.0429,0,0,7,-1,-1,29.1789,0,29.1789,0,0,8,3,6
32.1789,0,32.1789,0,0,1,-1,-1,29.3347,0,29.3347,0,0,8,3,5
32.2201,0,32.2201,0,0,4,-1,-1,29.4281,0,29.4281,0,0,8,-1,-1
34.1206,0,34.1206,0,0,1,-1,-1,29.4324,0,29.4324,0,0,5,4,6
35.1534,0,14.9487,0,0,1,4,6,29.4578,0,29.4578,0,0,8,-1,-1
36.29,0,36.29,0,0,1,3,6,29.624,0,29.624,0,0,8,-1,-1
37.8689,0,37.8689,0,0,1,4,6,29.6829,0,29.6829,0,0,8,-1,-1
38.6755,0,38.6755,0,0,4,-1,-1,29.6829,0,29.6829,0,0,8,-1,-1
43.0014,0,43.0014,0,0,4,5,6,29.7081,0,29.7081,0,0,8,5,6
43.1375,0,43.1375,0,0,4,-1,-1,29.7081,0,29.7081,0,0,8,5,6
43.1375,0,43.1375,0,0,4,-1,-1,29.9111,0,29.9111,0,0,8,-1,-1
44.4302,0,44.4302,0,0,4,-1,-1,30.8607,0,30.8607,0,0,5,3,4
44.9645,0,44.9645,0,0,4,-1,-1,30.953,0,30.953,0,0,5,4,6
44.9645,0,44.9645,0,0,4,-1,-1,30.953,0,30.953,0,0,5,4,6
47.1765,0,9.93936,2,0,4,1,5,31.1226,0,31.1226,0,0,5,-1,-1
47.33,0,47.33,0,0,1,-1,-1,31.1769,0,31.1769,0,0,5,-1,-1
48.142,0,48.142,0,0,4,-1,-1,31.507,0,31.507,0,0,5,4,6
48.2012,0,48.2012,0,0,1,-1,-1,31.5536,0,31.5536,0,0,5,3,4
48.3216,0,48.3216,0,0,4,-1,-1,31.5536,0,31.5536,0,0,5,3,4
48.3216,0,48.3216,0,0,4,-1,-1,31.7752,0,31.7752,0,0,2,0,2
49.1835,0,49.1835,0,0,4,-1,-1,31.9086,0,31.9086,0,0,2,0,2
49.1835,0,49.1835,0,0,4,-1,-1,31.9086,0,31.9086,0,0,2,0,2
49.1835,0,49.1835,0,0,4,-1,-1,32.0852,0,32.0852,0,0,5,4,5
50.8261,0,50.8261,0,0,4,-1,-1,32.2744,0,32.2744,0,0,5,4,5
51.1221,0,51.1221,0,0,4,-1,-1,32.5051,0,32.5051,0,0,5,-1,-1
51.4518,0,51.4518,0,0,4,-1,-1,32.5051,0,32.5051,0,0,5,-1,-1
51.9644,0,51.9644,0,0,4,-1,-1,32.5099,0,32.5099,0,0,5,-1,-1
51.9666,0,51.9666,0,0,4,-1,-1,33.3979,0,33.3979,0,0,5,-1,-1
53.2517,0,43.2517,1,0,1,5,6,33.6448,0,33.6448,0,0,5,-1,-1
54.6929,0,54.6929,0,0,1,-1,-1,34.6216,0,34.6216,0,0,5,4,6
59.4068,0,59.4068,0,0,1,-1,-1,34.8534,0,34.8534,0,0,5,-1,-1
60.2114,0,60.2114,0,0,4,-1,-1,35.1534,0,35.1534,0,0,2,0,1
65.1534,0,22.7207,3,0,1,5,6,35.1534,0,35.1534,0,0,2,0,1
66.7995,0,66.7995,0,0,1,-1,-1,35.2132,0,35.2132,0,0,2,0,1
73.6349,0,73.6349,0,0,1,5,6,35.2132,0,35.2132,0,0,2,0,1
75.1534,0,35.1363,4,0,1,0,1,35.4974,0,35.4974,0,0,5,-1,-1
80.3803,0,40.3803,4,0,1,0,1,36.6257,0,36.6257,0,0,5,5,6
83.6537,0,33.6537,5,0,4,0,4,37.9001,0,37.9001,0,0,5,-1,-1
84.7003,0,34.7003,5,0,1,5,6,37.9874,0,37.9874,0,0,5,0,1
87.1765,0,9.30173,6,0,1,0,2,38.0644,0,38.0644,0,0,5,0,1
91.1248,0,31.1248,6,0,1,0,1,38.6127,0,38.6127,0,0,5,0,2
91.5922,0,41.5922,5,0,1,5,6,38.8727,0,38.8727,0,0,5,-1,-1
95.1534,0,25.0256,6,0,1,5,6,38.8727,0,38.8727,0,0,5,-1,-1
95.2893,0,35.2893,6,0,1,5,6,39.0129,0,39.0129,0,0,5,0,1
95.6559,0,45.6559,5,0,1,0,1,40.6152,0,40.6152,0,0,5,-1,-1
96.8261,0,66.8261,3,0,1,0,1,47.9874,0,15.1132,2,0,2,0,6
97.1765,0,16.2469,7,0,1,0,2,61.0126,0,41.0126,2,0,5,5,6
97.1765,0,16.2122,7,0,1,0,1,61.4539,0,31.4539,3,0,2,5,6
97.538,0,57.538,4,0,1,0,1,64.4741,0,54.4741,1,0,2,0,1
97.7025,0,37.7025,6,0,1,0,1,66.714,0,46.714,2,0,2,0,6
97.8336,0,57.8336,4,0,1,0,1,67.9874,0,22.2714,4,0,2,4,6
98.5669,0,28.5669,7,0,1,0,1,68.0647,0,48.0647,2,0,2,0,6
99.4544,0,59.4544,4,0,1,5,6,68.0647,0,48.0647,2,0,2,0,6
99.886,0,49.886,5,0,1,5,6,68.0647,0,48.0647,2,0,2,0,6
104.397,0,54.3975,5,0,1,0,1,69.9179,0,49.9179,2,0,2,5,6
105.153,0,16.721,7,0,1,0,2,74.5563,0,54.5563,2,0,2,0,1
105.344,0,55.3442,5,0,1,0,1,74.6401,0,54.6401,2,0,2,0,1
105.528,0,55.5278,5,0,1,5,6,76.0396,0,46.0396,3,0,2,0,1
