robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-2.20241,-0.338414,1.42925,-0.788315
-2.42967,-0.0342355,1.88774,-1.16494
-3.05808,0.872261,1.94852,-1.25011
-3.59389,1.46425,1.81274,-1.21494
-3.27269,1.07939,1.20425,-0.938315
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.20241,-0.338414,1.42925,-0.788315
-2.42967,-0.0342355,1.88774,-1.16494
-3.05808,0.872261,1.94852,-1.25011
-3.59389,1.46425,1.81274,-1.21494
-3.27269,1.07939,1.20425,-0.938315
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.16775,-0.194403,1.42925,-0.788315
-2.42967,-0.0342355,1.88774,-1.16494
-3.05808,0.872261,1.94852,-1.25011
-3.59389,1.46425,1.81274,-1.21494
-3.27269,1.07939,1.20425,-0.938315
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.20241,-0.338414,1.63369,-1.02583
-2.42967,-0.0342355,2.06738,-1.45167
-3.05808,0.872261,2.23724,-1.66341
-3.59389,1.46425,1.96738,-1.51833
-3.27269,1.07939,1.43369,-1.15917
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.20241,-0.338414,1.63369,-1.02583
-2.42967,-0.0342355,2.06738,-1.45167
-3.05808,0.872261,2.23724,-1.66341
-3.59389,1.46425,1.96738,-1.51833
-3.27269,1.07939,1.43369,-1.15917
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.20241,-0.338414,1.63369,-1.02583
-2.42967,-0.0342355,2.06738,-1.45167
-3.05808,0.872261,2.23724,-1.66341
-3.59389,1.46425,1.96738,-1.51833
-3.27269,1.07939,1.43369,-1.15917
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.20241,-0.338414,1.63369,-1.02583
-2.42967,-0.0342355,1.93574,-1.50345
-3.05808,0.872261,2.23724,-1.66341
-3.59389,1.46425,1.96738,-1.51833
-3.27269,1.07939,1.43369,-1.15917
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.16775,-0.194403,1.63369,-1.02583
-2.42967,-0.0342355,1.93574,-1.50345
-3.05808,0.872261,2.23724,-1.66341
-3.59389,1.46425,1.96738,-1.51833
-3.27269,1.07939,1.43369,-1.15917
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.20241,-0.338414,1.61005,-0.8303
-2.42967,-0.0342355,1.94686,-1.09206
-3.05808,0.872261,2.08779,-1.4973
-3.59389,1.46425,1.93244,-1.78922
-3.27269,1.07939,1.46955,-1.63191
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.20241,-0.338414,1.61005,-0.8303
-2.42967,-0.0342355,1.94686,-1.09206
-3.05808,0.872261,2.08779,-1.4973
-3.59389,1.46425,1.93244,-1.78922
-3.27269,1.07939,1.46955,-1.63191
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.22134,-0.341676,1.61005,-0.8303
-2.47569,0.00404459,1.94686,-1.09206
-3.32525,1.26063,2.08779,-1.4973
-3.74002,1.87528,1.93244,-1.78922
-3.23007,1.0167,1.46955,-1.63191
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.42967,-0.0342355,1.97944,-1.3803
-2.59287,0.17698,2.24966,-1.55453
-3.31222,1.24141,1.96738,-1.51833
-3.74002,1.87528,1.71702,-1.35213
-3.23007,1.0167,1.43369,-1.15917
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.22134,-0.341676,1.97944,-1.3803
-2.81767,0.490565,2.24966,-1.55453
-3.32525,1.26063,1.96738,-1.51833
-3.74002,1.87528,1.71702,-1.35213
-3.23007,1.0167,1.43369,-1.15917
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.22134,-0.341676,1.97944,-1.3803
-2.81767,0.490565,2.24966,-1.55453
-3.32525,1.26063,1.96738,-1.51833
-3.74002,1.87528,1.71702,-1.35213
-3.23007,1.0167,1.43369,-1.15917
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.22134,-0.341676,1.75019,-1.29073
-2.81767,0.490565,2.26128,-1.82317
-3.32525,1.26063,1.89956,-1.78122
-3.74002,1.87528,1.60345,-1.67584
-3.23007,1.0167,1.2393,-1.21223
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.21744,-0.314557,1.63369,-1.02583
-2.42967,-0.0342355,2.23724,-1.66341
-3.31222,1.24141,2.06738,-1.45167
-3.77527,1.81658,2.3224,-1.75296
-3.17998,0.884842,1.43369,-1.15917
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.21744,-0.314557,1.63369,-1.02583
-2.42967,-0.0342355,2.23724,-1.66341
-3.31222,1.24141,2.06738,-1.45167
-3.77527,1.81658,2.3224,-1.75296
-3.17998,0.884842,1.43369,-1.15917
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.21744,-0.314557,1.43139,-0.895927
-2.42967,-0.0342355,2.40073,-2.06615
-3.31222,1.24141,3.06092,-2.86156
-3.77527,1.81658,2.0391,-2.46381
-3.17998,0.884842,1.47212,-1.70796
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.21744,-0.314557,1.43139,-0.895927
-2.42967,-0.0342355,2.40073,-2.06615
-3.31222,1.24141,3.06092,-2.86156
-3.77527,1.81658,2.0391,-2.46381
-3.17998,0.884842,1.47212,-1.70796
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.21744,-0.314557,1.43139,-0.895927
-2.42967,-0.0342355,2.40073,-2.06615
-3.31222,1.24141,3.06092,-2.86156
-3.77527,1.81658,2.0391,-2.46381
-3.17998,0.884842,1.47212,-1.70796
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.42967,-0.0342355,2.21045,-1.81141
-2.81767,0.490565,3.02958,-2.94247
-3.05808,0.872261,2.06439,-2.41385
-3.74002,1.87528,1.72428,-2.11211
-3.59389,1.46425,1.43761,-1.75685
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.20241,-0.338414,2.21045,-1.81141
-2.36167,-0.0772723,3.02958,-2.94247
-2.73724,0.417374,2.06439,-2.41385
-3.38533,1.24896,1.72428,-2.11211
-3.59389,1.46425,1.43761,-1.75685
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.20241,-0.338414,2.40745,-2.06416
-2.36167,-0.0772723,2.99967,-2.7725
-2.73724,0.417374,3.15463,-2.98001
-3.38533,1.24896,2.60741,-2.81775
-3.59389,1.46425,1.92459,-2.31433
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.43506,0.0570893,1.75019,-1.29073
-2.81767,0.490565,2.99967,-2.7725
