robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
2.81982,0.500354,-3.22061,-0.327338
-1.4557,-2.09193,0.901452,2.50261
5,5,-5,-5
2.72245,0.548845,-3.25309,-0.315097
-1.54508,-2.05657,0.86434,2.52158
5,5,-5,-5
2.62675,0.599128,-3.28566,-0.303082
-1.63333,-2.01846,0.827133,2.54032
5,5,-5,-5
2.53229,0.651387,-3.31831,-0.291293
-1.72043,-1.97812,0.789832,2.55882
5,5,-5,-5
2.43871,0.705843,-3.35104,-0.279731
-1.80635,-1.93603,0.752439,2.57709
5,5,-5,-5
2.34562,0.76275,-3.38385,-0.268396
-1.89101,-1.89261,0.714956,2.59512
5,5,-5,-5
2.2527,0.8224,-3.41674,-0.25729
-1.9743,-1.84826,0.677384,2.61292
5,5,-5,-5
2.15962,0.885118,-3.44971,-0.246412
-2.05609,-1.80334,0.639725,2.63048
5,5,-5,-5
2.0661,0.951265,-3.48275,-0.235764
-2.13617,-1.75814,0.60198,2.64781
5,5,-5,-5
1.97189,1.02123,-3.51586,-0.225345
-2.21432,-1.71292,0.564151,2.6649
5,5,-5,-5
1.88499,1.0889,-3.53997,-0.217917
-2.289,-1.66389,0.536738,2.67698
5,5,-5,-5
1.80982,1.14997,-3.54999,-0.214871
-2.35994,-1.60921,0.525626,2.68157
5,5,-5,-5
1.74107,1.20798,-3.55193,-0.214281
-2.42844,-1.55157,0.523845,2.68193
5,5,-5,-5
1.67374,1.26691,-3.55186,-0.214303
-2.49539,-1.49323,0.524398,2.68123
5,5,-5,-5
1.60313,1.33104,-3.55583,-0.213104
-2.56137,-1.43608,0.520282,2.68264
5,5,-5,-5
1.52488,1.40507,-3.5699,-0.208883
-2.62658,-1.38158,0.504487,2.68929
5,5,-5,-5
1.43508,1.49409,-3.60016,-0.199954
-2.69053,-1.33067,0.469962,2.7042
5,5,-5,-5
1.33045,1.60376,-3.65279,-0.184916
-2.75173,-1.28342,0.409557,2.7301
