robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
2.88619,0.468798,-3.33563,-0.285144
-1.36012,-2.17106,0.845338,2.45703
5,5,-5,-5
2.85619,0.482913,-3.48465,-0.235158
-1.35188,-2.21748,0.750058,2.42327
5,5,-5,-5
2.82798,0.496408,-3.63515,-0.189886
-1.34147,-2.26325,0.652204,2.38277
5,5,-5,-5
2.80028,0.509873,-3.787,-0.149369
-1.32983,-2.30832,0.551409,2.33624
5,5,-5,-5
2.77182,0.523927,-3.94005,-0.113641
-1.31788,-2.35259,0.447368,2.28439
5,5,-5,-5
2.74136,0.539223,-4.09418,-0.0827359
-1.30649,-2.3959,0.339835,2.22801
5,5,-5,-5
2.70765,0.556449,-4.24925,-0.0566845
-1.29647,-2.43805,0.228624,2.16788
5,5,-5,-5
2.6695,0.576338,-4.40512,-0.0355145
-1.28859,-2.47874,0.11361,2.10483
5,5,-5,-5
2.62573,0.599677,-4.56166,-0.0192514
-1.28356,-2.51761,-0.00527612,2.03972
5,5,-5,-5
2.5752,0.62732,-4.71873,-0.00791762
-1.282,-2.55419,-0.128051,1.97341
5,5,-5,-5
2.53344,0.650735,-4.88554,-0.00131017
-1.27512,-2.58884,-0.263779,1.90638
5,5,-5,-5
2.51014,0.664036,-5.06715,-0.000450876
-1.25782,-2.62268,-0.417001,1.83698
5,5,-5,-5
2.49556,0.672441,-5.25705,-0.00661175
-1.23574,-2.65584,-0.58086,1.76349
5,5,-5,-5
2.48012,0.681412,-5.44871,-0.0201751
-1.21412,-2.68795,-0.748481,1.68506
5,5,-5,-5
2.45433,0.696564,-5.63563,-0.0405677
-1.1979,-2.71829,-0.913054,1.60176
5,5,-5,-5
2.40886,0.723787,-5.81142,-0.0662798
-1.19157,-2.74564,-1.06792,1.51461
5,5,-5,-5
2.33476,0.769577,-5.96987,-0.0949676
-1.19893,-2.76781,-1.20664,1.42543
5,5,-5,-5
2.2238,0.841549,-6.10501,-0.123633
