robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.41877,0.256614,-3.01192,-0.412241
-0.572582,-2.75488,1.55499,1.62329
5,5,-5,-5
3.97786,0.105593,-2.83851,-0.491344
0.346704,-3.33166,2.01988,0.690199
5,5,-5,-5
4.57472,0.0181189,-2.66825,-0.576998
1.36383,-3.81466,2.32339,-0.287921
5,5,-5,-5
5.18382,0.00337994,-2.50138,-0.669079
2.44003,-4.17653,2.46093,-1.28188
5,5,-5,-5
5.77825,0.0609383,-2.33813,-0.767453
3.53004,-4.40511,2.43322,-2.26218
5,5,-5,-5
6.33249,0.180824,-2.17875,-0.871977
4.58651,-4.50442,2.24624,-3.19994
5,5,-5,-5
6.8247,0.344845,-2.02348,-0.982499
5.56421,-4.49366,1.91104,-4.06788
5,5,-5,-5
7.23805,0.528854,-1.87252,-1.09886
6.4233,-4.40432,1.44336,-4.84117
5,5,-5,-5
7.56081,0.705556,-1.72612,-1.22089
7.13069,-4.27591,0.863148,-5.49824
5,5,-5,-5
7.78502,0.847451,-1.58447,-1.34841
7.65945,-4.15097,0.193842,-6.02148
5,5,-5,-5
7.91872,0.940309,-1.44492,-1.48412
8.01438,-4.05878,-0.556298,-6.40452
5,5,-5,-5
7.98254,0.986963,-1.30649,-1.62983
8.23004,-4.00691,-1.37078,-6.62942
5,5,-5,-5
7.98681,0.99014,-1.17171,-1.78376
8.32564,-3.99837,-2.20496,-6.67583
5,5,-5,-5
7.93976,0.955522,-1.04279,-1.94378
8.31838,-4.03012,-3.01004,-6.54051
5,5,-5,-5
7.84832,0.890609,-0.921595,-2.10749
8.22411,-4.09525,-3.73957,-6.23774
5,5,-5,-5
7.71884,0.803823,-0.809631,-2.27222
8.05803,-4.18466,-4.3557,-5.79718
5,5,-5,-5
7.5578,0.70376,-0.708019,-2.43506
7.8354,-4.28853,-4.83389,-5.25946
5,5,-5,-5
7.37221,0.598565,-0.617507,-2.59298
