robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-2.40017,0.223646,1.51451,-1.10707
-2.7649,0.878364,1.83016,-1.55899
-3.2488,1.66835,1.72973,-1.57704
-3.23516,1.44596,1.38718,-1.34224
-2.92812,0.712212,1.16263,-1.1391
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.40017,0.223646,1.51451,-1.10707
-2.7649,0.878364,1.83016,-1.55899
-3.2488,1.66835,1.72973,-1.57704
-3.32305,1.54879,1.38718,-1.34224
-2.9971,0.89831,1.16263,-1.1391
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.40017,0.223646,1.51451,-1.10707
-2.7649,0.878364,1.83016,-1.55899
-3.2488,1.66835,1.72973,-1.57704
-3.23516,1.44596,1.38718,-1.34224
-2.92812,0.712212,1.16263,-1.1391
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.40017,0.223646,1.4872,-1.01745
-2.7649,0.878364,1.80509,-1.57634
-3.2488,1.66835,1.60205,-1.62262
-3.23516,1.44596,1.43154,-1.45607
-2.92812,0.712212,1.14429,-1.15045
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.73417,-1.24344,1.4872,-1.01745
-1.69627,-1.44861,1.80509,-1.57634
-1.60979,-1.53807,1.60205,-1.62262
-2.18977,-0.938519,1.43154,-1.45607
-2.61278,0.048787,1.14429,-1.15045
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.2023,-0.177619,1.51451,-1.10707
-2.7649,0.878364,1.83016,-1.55899
-3.15486,1.66687,1.72973,-1.57704
-3.23516,1.44596,1.38718,-1.34224
-3.01672,0.927382,1.19626,-1.18099
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.2023,-0.177619,1.51451,-1.10707
-2.7649,0.878364,1.83016,-1.55899
-3.15486,1.66687,1.72973,-1.57704
-3.23516,1.44596,1.38718,-1.34224
-3.01672,0.927382,1.19626,-1.18099
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.73417,-1.24344,1.4872,-1.01745
-1.69627,-1.44861,1.80509,-1.57634
-1.60979,-1.53807,1.60205,-1.62262
-2.18977,-0.938519,1.43154,-1.45607
-2.61278,0.048787,1.16466,-1.14528
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.45736,0.262953,1.32272,-0.759531
-2.7649,0.878364,1.69445,-1.48413
-3.33937,1.71015,1.53906,-1.66031
-3.28395,1.30287,1.33937,-1.4725
-3.068,1.03152,1.14814,-1.25791
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.40017,0.223646,1.32272,-0.759531
-2.7649,0.878364,1.69445,-1.48413
-3.2488,1.66835,1.53906,-1.66031
-3.068,1.03152,1.33937,-1.4725
-2.94961,0.644494,1.14814,-1.25791
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.23873,-0.00453171,1.32272,-0.759531
-2.51496,0.56734,1.69445,-1.48413
-3.09919,1.62238,1.53906,-1.66031
-3.17887,1.40834,1.33937,-1.4725
-3.04146,0.911578,1.14814,-1.25791
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.23873,-0.00453171,1.32272,-0.759531
-2.51496,0.56734,1.69445,-1.48413
-3.09919,1.62238,1.53906,-1.66031
-3.17887,1.40834,1.33937,-1.4725
-3.04146,0.911578,1.14814,-1.25791
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.74335,-1.09627,1.32272,-0.759531
-1.60684,-1.47204,1.69445,-1.48413
-1.68098,-1.61229,1.53906,-1.66031
-1.86892,-1.51052,1.33937,-1.4725
-2.16687,-1.05991,1.14814,-1.25791
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.08683,-0.45514,1.48255,-1.08928
-2.68764,0.751582,1.76134,-1.3847
-3.41875,1.80485,1.60094,-1.62859
-3.26695,1.49222,1.37847,-1.4515
-3.09563,1.14271,1.14429,-1.15045
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.0629,-0.40767,1.48255,-1.08928
-2.23873,-0.00453171,1.76134,-1.3847
-3.2488,1.66835,1.60094,-1.62859
-3.28398,1.4774,1.37847,-1.4515
-3.06708,1.03785,1.14429,-1.15045
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.0629,-0.40767,1.52748,-1.00232
-2.23873,-0.00453171,1.72836,-1.3453
-3.2488,1.66835,1.71867,-1.51418
-3.28398,1.4774,1.57081,-1.57716
-3.06708,1.03785,1.28797,-1.44046
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.92508,-0.912672,1.52748,-1.00232
-1.82935,-1.3123,1.72836,-1.3453
-1.73591,-1.60378,1.71867,-1.51418
-2.79641,0.279796,1.57081,-1.57716
-2.85636,0.593894,1.28797,-1.44046
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.82657,-0.986204,1.71423,-1.52275
-1.64599,-1.55903,1.76579,-1.79972
-1.67478,-1.83785,1.49398,-1.75773
-2.20543,-0.836114,1.14634,-1.23316
-2.80754,0.465871,1.01684,-1.01087
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.05641,-0.283699,1.71423,-1.52275
-2.23873,-0.00453171,1.76579,-1.79972
-3.2488,1.66835,1.49398,-1.75773
-3.28398,1.4774,1.14634,-1.23316
-3.06708,1.03785,1.01684,-1.01087
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.82657,-0.986204,1.71423,-1.52275
-1.69836,-1.58761,1.76579,-1.79972
-1.67478,-1.83785,1.49398,-1.75773
-2.20543,-0.836114,1.14634,-1.23316
-2.76479,0.336341,1.01684,-1.01087
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.82472,-1.18123,1.58628,-1.14128
-1.59546,-1.6217,1.84665,-1.56946
-1.73591,-1.60378,1.61067,-1.46075
-2.79641,0.279796,1.00708,-1.01142
-2.79721,0.403367,0.950773,-0.9054
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.10885,-0.382075,1.84986,-1.79917
-2.79775,0.969349,1.67805,-1.72107
-3.27764,1.83469,1.33515,-1.37912
-3.43775,1.81138,1.00708,-1.01142
-3.26056,1.32602,0.918295,-0.874573
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.40347,0.228846,1.84986,-1.79917
-2.7649,0.878364,1.67805,-1.72107
-3.21878,1.89112,1.33515,-1.37912
-3.26695,1.49222,1.00708,-1.01142
