fitness1,distance1,collision1,diversity1,age1,fitness2,distance2,collision2,diversity2,age2
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.213,18.2131,3,0.398602,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.188,18.1876,3,0.397641,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.188,18.1876,3,0.397641,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.179,18.1787,3,0.577045,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.222,18.222,3,0.5141,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.222,18.2221,3,0.447161,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.222,18.2221,3,0.447161,10,0,0,0,0,0
318.137,18.1367,3,0.566057,10,0,0,0,0,0
318.222,18.2221,3,0.447161,10,0,0,0,0,0
318.215,18.2146,3,0.577209,10,0,0,0,0,0
318.137,18.1367,3,0.566057,10,0,0,0,0,0
318.218,18.2183,3,0.527765,10,0,0,0,0,0
318.222,18.2221,3,0.447161,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.201,18.201,3,0.398301,10,0,0,0,0,0
318.159,18.1593,3,0.455597,10,0,0,0,0,0
318.188,18.1876,3,0.397641,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.218,18.2183,3,0.527765,10,0,0,0,0,0
318.213,18.2131,3,0.398602,10,0,0,0,0,0
318.225,18.2251,3,0.556104,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.137,18.1367,3,0.566057,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.137,18.1367,3,0.566057,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.218,18.2183,3,0.527765,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.218,18.2183,3,0.527765,10,0,0,0,0,0
318.137,18.1367,3,0.566057,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.218,18.2183,3,0.527765,10,0,0,0,0,0
318.223,18.2227,3,0.463738,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.149,18.1492,3,0.460776,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.146,18.1462,3,0.563928,10,0,0,0,0,0
318.218,18.2183,3,0.527765,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.149,18.1492,3,0.460776,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.233,18.2334,3,0.357801,10,0,0,0,0,0
318.213,18.2131,3,0.398602,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.233,18.2334,3,0.357801,10,0,0,0,0,0
318.137,18.1367,3,0.566057,10,0,0,0,0,0
318.226,18.2261,3,0.345657,10,0,0,0,0,0
318.136,18.1355,3,0.492569,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.233,18.2334,3,0.357801,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.146,18.1462,3,0.563928,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.161,18.1607,3,0.562532,10,0,0,0,0,0
318.146,18.1462,3,0.563928,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.146,18.1462,3,0.563928,10,0,0,0,0,0
318.222,18.222,3,0.5141,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.159,18.1593,3,0.455597,10,0,0,0,0,0
318.222,18.2221,3,0.447161,10,0,0,0,0,0
318.223,18.2229,3,0.420987,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.136,18.1355,3,0.492569,10,0,0,0,0,0
318.149,18.1492,3,0.460776,10,0,0,0,0,0
318.226,18.2261,3,0.345657,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.213,18.2131,3,0.398602,10,0,0,0,0,0
318.159,18.1593,3,0.455597,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.217,18.2167,3,0.4284,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.198,18.1984,3,0.287639,10,0,0,0,0,0
318.136,18.1355,3,0.492569,10,0,0,0,0,0
