robo1_q0,robo1_q1
-2,-0.6
-2.86124,0.766885
-3.16457,1.20709
-3.2565,1.33614
-3.30361,1.39601
-3.12829,1.10342
-2.97187,0.864847
-2.92665,0.773195
-2.83918,0.605972
-2.81117,0.55297
-2.78319,0.5
