fitness1,distance1,collision1,diversity1,age1,fitness2,distance2,collision2,diversity2,age2
217.232,17.2322,2,1.67645,27,0,0,0,0,0
317.127,17.1274,3,0.443442,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
217.29,17.2901,2,1.19484,27,0,0,0,0,0
317.116,17.116,3,0.499082,27,0,0,0,0,0
217.222,17.2219,2,1.70961,27,0,0,0,0,0
217.29,17.2901,2,1.19484,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
217.177,17.1767,2,1.67689,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
217.29,17.2901,2,1.19484,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
317.028,17.028,3,0.646225,27,0,0,0,0,0
317.113,17.1127,3,0.406954,27,0,0,0,0,0
317.042,17.0424,3,0.603237,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
217.29,17.2901,2,1.19484,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
217.177,17.1767,2,1.67689,27,0,0,0,0,0
217.232,17.2322,2,1.67645,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
217.232,17.2322,2,1.67645,27,0,0,0,0,0
217.232,17.2322,2,1.67645,27,0,0,0,0,0
317.127,17.1274,3,0.443442,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
217.29,17.2901,2,1.19484,27,0,0,0,0,0
217.232,17.2322,2,1.67645,27,0,0,0,0,0
217.29,17.2901,2,1.19484,27,0,0,0,0,0
317.127,17.1274,3,0.443442,27,0,0,0,0,0
317.127,17.1274,3,0.443442,27,0,0,0,0,0
217.232,17.2322,2,1.67645,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
217.232,17.2322,2,1.67645,27,0,0,0,0,0
217.222,17.2219,2,1.70961,27,0,0,0,0,0
217.222,17.2219,2,1.70961,27,0,0,0,0,0
317.108,17.1078,3,0.466491,27,0,0,0,0,0
217.232,17.2322,2,1.67645,27,0,0,0,0,0
317.127,17.1274,3,0.443442,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
217.232,17.2322,2,1.67645,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
317.041,17.0413,3,0.48418,27,0,0,0,0,0
217.222,17.2219,2,1.70961,27,0,0,0,0,0
317.127,17.1274,3,0.443442,27,0,0,0,0,0
317.13,17.1295,3,0.445506,27,0,0,0,0,0
