fitness1,distance1,collision1,diversity1,age1,fitness2,distance2,collision2,diversity2,age2
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
117.181,17.1815,1,0.777905,33,0,0,0,0,0
216.828,16.8275,2,0.46637,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
117.181,17.1815,1,0.777905,33,0,0,0,0,0
116.952,16.9523,1,0.589663,33,0,0,0,0,0
216.9,16.9005,2,0.337137,33,0,0,0,0,0
216.857,16.8574,2,0.367266,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.875,16.8749,2,0.351327,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.828,16.8275,2,0.46637,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.869,16.8693,2,0.337822,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
116.952,16.9523,1,0.589663,33,0,0,0,0,0
216.875,16.8749,2,0.351327,33,0,0,0,0,0
216.9,16.9005,2,0.337137,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.857,16.8574,2,0.367266,33,0,0,0,0,0
116.952,16.9523,1,0.589663,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
116.952,16.9523,1,0.589663,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
216.904,16.9039,2,0.219665,33,0,0,0,0,0
