robo1_q0,robo1_q1,robo2_q0,robo2_q1
-1.83876,-0.509075,1.2,-0.6
1.87274,2.40662,-0.116442,1.30103
2.61683,2.87565,-1.43288,3.20207
3.12294,3.09044,-2.62974,4.61919
3.407,2.78019,-3.62728,5.22979
3.61493,1.74286,-4.50523,5.35649
3.5,0.5,-5.38319,5.48319
-1.8357,-0.559623,1.2,-0.6
1.83062,2.37412,2.33925,-2.4182
2.67969,2.79881,3.47851,-4.23641
3.15452,2.99738,3.96907,-5.08105
3.407,2.78019,3.37851,-4.30308
3.61493,1.74286,2.13925,-2.55154
3.5,0.5,0.9,-0.8
-1.91746,-0.534234,1.2,-0.6
1.77752,2.23528,1.20427,-1.86034
2.61683,2.87565,1.20854,-3.12067
3.07394,3.02839,1.18321,-3.71174
3.407,2.78019,1.10854,-3.18734
3.61493,1.74286,1.00427,-1.99367
3.5,0.5,0.9,-0.8
-1.8879,-0.636254,1.2,-0.6
1.71731,2.25621,3.03901,0.81346
2.64706,2.77187,4.87803,2.22692
2.99742,3.01766,5.68667,3.42242
3.3841,2.73032,4.77803,4.25465
3.61708,1.79887,2.83901,4.86892
3.5,0.5,0.9,5.48319
-1.91746,-0.534234,1.2,-0.6
1.77752,2.23528,2.11243,0.0142172
2.61683,2.87565,3.02485,0.628434
3.07394,3.02839,3.41232,0.889442
3.407,2.78019,2.92485,0.561768
3.61493,1.74286,1.91243,-0.119116
3.5,0.5,0.9,-0.8
-1.82126,-0.492799,1.2,-0.6
1.77752,2.23528,-0.0628451,0.796633
2.68863,2.95578,-1.32569,2.19327
3.04414,3.03663,-2.49818,3.38112
3.40271,2.80018,-3.52009,4.221
3.60812,1.88221,-4.45164,4.85209
3.5,0.5,-5.38319,5.48319
-1.91746,-0.534234,1.2,-0.6
1.77752,2.23528,3.06422,-2.38574
2.61683,2.87565,4.92844,-4.17149
3.07394,3.02839,5.74854,-5.00137
3.407,2.78019,4.82844,-4.23815
3.61493,1.74286,2.86422,-2.51908
3.5,0.5,0.9,-0.8
-1.91746,-0.534234,1.2,-0.6
1.77752,2.23528,0.574839,-0.291943
2.61683,2.87565,-0.0503229,0.0161141
3.07394,3.02839,-0.36176,0.137958
3.407,2.78019,-0.150323,-0.0505525
3.61493,1.74286,0.374839,-0.425276
3.5,0.5,0.9,-0.8
-1.91746,-0.534234,1.2,-0.6
1.77752,2.23528,-0.61163,-0.108917
2.61683,2.87565,-2.42326,0.382165
3.07394,3.02839,-3.8452,0.587203
3.407,2.78019,-4.61766,0.315499
3.61493,1.74286,-5.00042,-0.242251
3.5,0.5,-5.38319,-0.8
-1.91746,-0.534234,1.2,-0.6
1.77752,2.23528,-0.0206589,0.37656
2.61683,2.87565,-1.24132,1.35312
3.07394,3.02839,-1.82344,2.35003
3.407,2.78019,-1.34132,3.38085
3.61493,1.74286,-0.220659,4.43202
3.5,0.5,0.9,5.48319
-1.91746,-0.534234,1.2,-0.6
1.77752,2.23528,0.855883,-2.49258
2.61683,2.87565,0.511765,-4.38516
3.07394,3.02839,0.328075,-5.2636
3.407,2.78019,0.411765,-4.45182
3.61493,1.74286,0.655883,-2.62591
3.5,0.5,0.9,-0.8
-1.91746,-0.534234,1.2,-0.6
1.75083,2.30168,-0.568447,-1.28054
2.61683,2.87565,-2.33689,-1.96108
3.07394,3.02839,-3.7392,-2.28859
3.31257,2.69754,-4.53129,-2.02774
3.60235,1.79143,-4.95724,-1.41387
3.5,0.5,-5.38319,-0.8
-1.8357,-0.559623,1.2,-0.6
1.83062,2.37412,3.09861,1.1929
2.67969,2.79881,4.99721,2.9858
3.15452,2.99738,5.83295,4.35377
3.407,2.78019,4.89721,5.01353
3.61493,1.74286,2.89861,5.24836
3.5,0.5,0.9,5.48319
-1.91746,-0.534234,1.2,-0.6
1.75083,2.30168,-1.28575,0.0799153
2.61683,2.87565,-3.7715,0.759831
3.07394,3.02839,-5.49986,1.0507
