fitness1,distance1,collision1,diversity1,age1,fitness2,distance2,collision2,diversity2,age2
115.538,15.538,1,0.162316,64,0,0,0,0,0
115.518,15.5185,1,0.2113,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.534,15.534,1,0.229012,64,0,0,0,0,0
115.501,15.5011,1,0.285269,64,0,0,0,0,0
115.538,15.5385,1,0.263959,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.545,15.5449,1,0.465523,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.534,15.534,1,0.229012,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.534,15.534,1,0.229012,64,0,0,0,0,0
115.525,15.5248,1,0.205615,64,0,0,0,0,0
115.501,15.5011,1,0.285269,64,0,0,0,0,0
115.538,15.538,1,0.162316,64,0,0,0,0,0
115.525,15.5248,1,0.205615,64,0,0,0,0,0
115.516,15.5163,1,0.203824,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.507,15.5071,1,0.222051,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.501,15.5013,1,0.260725,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.518,15.5183,1,0.152837,64,0,0,0,0,0
115.538,15.5385,1,0.263959,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.534,15.534,1,0.229012,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.501,15.5014,1,0.228444,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.53,15.5304,1,0.345607,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.518,15.5183,1,0.152837,64,0,0,0,0,0
115.534,15.534,1,0.229012,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.537,15.5372,1,0.181358,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.518,15.5185,1,0.2113,64,0,0,0,0,0
115.559,15.5591,1,0.132011,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.53,15.5304,1,0.345607,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.518,15.5183,1,0.152837,64,0,0,0,0,0
115.559,15.5591,1,0.132011,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.501,15.5011,1,0.285269,64,0,0,0,0,0
115.538,15.538,1,0.162316,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.52,15.5198,1,0.268878,64,0,0,0,0,0
115.53,15.5304,1,0.345607,64,0,0,0,0,0
115.52,15.5198,1,0.268878,64,0,0,0,0,0
115.503,15.5034,1,0.177457,64,0,0,0,0,0
115.534,15.534,1,0.229012,64,0,0,0,0,0
