robo1_q0,robo1_q1,robo2_q0,robo2_q1
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-0.116442,1.30103
2.74113,2.71311,-1.43288,3.20207
3.05106,2.70985,-2.62974,4.61919
3.16473,2.62981,-3.62728,5.22979
3.60533,1.65086,-4.50523,5.35649
3.5,0.5,-5.38319,5.48319
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,2.33925,-2.4182
2.74113,2.71311,3.47851,-4.23641
3.05106,2.70985,3.96907,-5.08105
3.16473,2.62981,3.37851,-4.30308
3.60533,1.65086,2.13925,-2.55154
3.5,0.5,0.9,-0.8
-1.47161,-0.0752767,1.2,-0.6
1.74659,2.3449,1.20427,-1.86034
2.77042,2.75172,1.20854,-3.12067
3.05541,2.77638,1.18321,-3.71174
3.16473,2.62981,1.10854,-3.18734
3.60533,1.65086,1.00427,-1.99367
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,3.03901,0.81346
2.74113,2.71311,4.87803,2.22692
3.05106,2.70985,5.68667,3.42242
3.16473,2.62981,4.77803,4.25465
3.60533,1.65086,2.83901,4.86892
3.5,0.5,0.9,5.48319
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,2.11243,0.0142172
2.78244,2.61343,3.02485,0.628434
3.05106,2.70985,3.41232,0.889442
3.12975,2.62742,2.92485,0.561768
3.60533,1.65086,1.91243,-0.119116
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-0.0628451,0.796633
2.74113,2.71311,-1.32569,2.19327
3.05106,2.70985,-2.49818,3.38112
3.16473,2.62981,-3.52009,4.221
3.60533,1.65086,-4.45164,4.85209
3.5,0.5,-5.38319,5.48319
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,3.06422,-2.38574
2.74113,2.71311,4.92844,-4.17149
3.05106,2.70985,5.74854,-5.00137
3.16473,2.62981,4.82844,-4.23815
3.61493,1.74286,2.86422,-2.51908
3.5,0.5,0.9,-0.8
-1.45369,-0.184972,1.2,-0.6
1.74659,2.3449,0.574839,-0.291943
2.70356,2.80852,-0.0503229,0.0161141
3.05106,2.70985,-0.36176,0.137958
3.16473,2.62981,-0.150323,-0.0505525
3.60533,1.65086,0.374839,-0.425276
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-0.61163,-0.108917
2.74113,2.71311,-2.42326,0.382165
3.05106,2.70985,-3.8452,0.587203
3.16473,2.62981,-4.61766,0.315499
3.60533,1.65086,-5.00042,-0.242251
3.5,0.5,-5.38319,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-0.0206589,0.37656
2.74113,2.71311,-1.24132,1.35312
3.05106,2.70985,-1.82344,2.35003
3.16473,2.62981,-1.34132,3.38085
3.60533,1.65086,-0.220659,4.43202
3.5,0.5,0.9,5.48319
-1.47161,-0.0752767,1.2,-0.6
1.74659,2.3449,0.855883,-2.49258
2.77042,2.75172,0.511765,-4.38516
3.05541,2.77638,0.328075,-5.2636
3.16473,2.62981,0.411765,-4.45182
3.60533,1.65086,0.655883,-2.62591
3.5,0.5,0.9,-0.8
-1.61051,-0.0847885,1.2,-0.6
1.74659,2.3449,-0.568447,-1.28054
2.74113,2.71311,-2.33689,-1.96108
2.97873,2.66819,-3.7392,-2.28859
3.16473,2.62981,-4.53129,-2.02774
3.61493,1.74286,-4.95724,-1.41387
3.5,0.5,-5.38319,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,3.09861,1.1929
2.74113,2.71311,4.99721,2.9858
3.05106,2.70985,5.83295,4.35377
3.16473,2.62981,4.89721,5.01353
3.60533,1.65086,2.89861,5.24836
3.5,0.5,0.9,5.48319
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-1.28575,0.0799153
2.74113,2.71311,-3.7715,0.759831
3.05106,2.70985,-5.49986,1.0507
3.16473,2.62981,-5.9659,0.693164
3.60533,1.65086,-5.67454,-0.053418
3.5,0.5,-5.38319,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,2.7206,-2.68314
2.79018,2.68582,4.24119,-4.76628
3.02878,2.71562,4.9051,-5.73134
3.16473,2.62981,4.14119,-4.83295
3.61493,1.74286,2.5206,-2.81647
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-0.0166413,-0.0999612
2.74113,2.71311,-1.23328,0.400078
3.05106,2.70985,-1.81357,0.609186
3.16473,2.62981,-1.33328,0.333411
3.60533,1.65086,-0.216641,-0.233295
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-1.19817,0.403016
2.74113,2.71311,-3.59634,1.40603
3.05106,2.70985,-5.28489,2.41497
3.16473,2.62981,-5.79074,3.43376
3.60533,1.65086,-5.58696,4.45847
3.5,0.5,-5.38319,5.48319
-1.51526,-0.19185,1.2,-0.6
1.82288,2.26682,0.31519,-1.68823
2.69798,2.68022,-0.56962,-2.77646
3.13461,2.68896,-0.999079,-3.28929
3.16473,2.62981,-0.66962,-2.84313
3.61493,1.74286,0.11519,-1.82156
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,0.554658,-1.40655
2.74113,2.71311,-0.0906848,-2.2131
3.05106,2.70985,-0.411295,-2.5979
3.16473,2.62981,-0.190685,-2.27977
3.60533,1.65086,0.354658,-1.53989
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,2.29774,0.162883
2.74113,2.71311,3.39548,0.925766
3.05106,2.70985,3.86718,1.25435
3.12342,2.60672,3.29548,0.859099
3.58508,1.77834,2.09774,0.0295497
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-0.105626,-0.724852
2.74113,2.71311,-1.41125,-0.849703
3.05106,2.70985,-2.03199,-0.924636
3.16473,2.62981,-1.51125,-0.91637
3.60533,1.65086,-0.305626,-0.858185
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,1.88362,1.81808
2.74113,2.71311,2.56725,4.23617
3.05106,2.70985,2.85072,5.88832
3.16473,2.62981,2.46725,6.2639
3.60533,1.65086,1.68362,5.87354
3.5,0.5,0.9,5.48319
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-0.785547,1.85147
2.74113,2.71311,-2.77109,4.30294
3.05106,2.70985,-4.27209,5.97027
3.16473,2.62981,-4.96549,6.33067
3.60533,1.65086,-5.17434,5.90693
3.5,0.5,-5.38319,5.48319
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-1.45683,1.38055
2.74113,2.71311,-4.11366,3.3611
3.05106,2.70985,-5.91978,4.81437
3.16473,2.62981,-6.30805,5.38883
3.60533,1.65086,-5.84562,5.43601
3.5,0.5,-5.38319,5.48319
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,1.46296,0.0524981
2.74113,2.71311,1.72593,0.704996
3.05106,2.70985,1.81819,0.983404
3.16473,2.62981,1.62593,0.63833
3.61493,1.74286,1.26296,-0.0808352
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-1.05,-2.82157
2.74113,2.71311,-3.30001,-5.04315
3.05106,2.70985,-4.92121,-6.07113
3.16473,2.62981,-5.4944,-5.10981
3.60533,1.65086,-5.43879,-2.95491
3.5,0.5,-5.38319,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-1.37765,-1.75318
2.74113,2.71311,-3.95529,-2.90637
3.05106,2.70985,-5.72542,-3.44872
3.16473,2.62981,-6.14969,-2.97303
3.60533,1.65086,-5.76644,-1.88652
3.5,0.5,-5.38319,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-1.06908,-2.32439
2.74113,2.71311,-3.33817,-4.04878
3.05106,2.70985,-4.96804,-4.85078
3.16473,2.62981,-5.53256,-4.11545
3.61493,1.74286,-5.45787,-2.45772
3.5,0.5,-5.38319,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-1.3555,-2.08067
2.74113,2.71311,-3.911,-3.56135
3.05106,2.70985,-5.67106,-4.25257
3.16473,2.62981,-6.10539,-3.62802
3.60533,1.65086,-5.74429,-2.21401
3.5,0.5,-5.38319,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,2.65223,-0.900377
2.74113,2.71311,4.10446,-1.20075
3.05106,2.70985,4.73729,-1.35547
3.16473,2.62981,4.00446,-1.26742
3.60533,1.65086,2.45223,-1.03371
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,-1.38269,-2.64227
2.74113,2.71311,-3.96537,-4.68454
3.05106,2.70985,-5.73779,-5.63103
3.16473,2.62981,-6.15977,-4.75121
3.60533,1.65086,-5.77148,-2.77561
3.5,0.5,-5.38319,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,1.93713,-0.327885
2.74113,2.71311,2.67427,-0.0557705
3.05106,2.70985,2.98206,0.0497362
3.16473,2.62981,2.57427,-0.122437
3.61493,1.74286,1.73713,-0.461219
3.5,0.5,0.9,-0.8
-1.61051,-0.0847885,1.2,-0.6
1.74659,2.3449,1.51363,-1.35788
2.74113,2.71311,1.82726,-2.11577
2.97873,2.66819,1.94254,-2.47844
3.16473,2.62981,1.72726,-2.18243
3.61493,1.74286,1.31363,-1.49122
3.5,0.5,0.9,-0.8
-1.5365,-0.159178,1.2,-0.6
1.74659,2.3449,1.20238,-0.798604
2.74113,2.71311,1.20476,-0.997207
3.05106,2.70985,1.17856,-1.10566
