generation,LAYER1-0,LAYER1-1,LAYER1-2,LAYER1-3,LAYER1-4,LAYER2-0,LAYER2-1,LAYER2-2,LAYER2-3,LAYER2-4,
0,172.74,,,,,172.74,,,,,
1,172.74,,,,,42.7405,,,,,
2,36.4936,,,,,42.7405,,,,,
3,36.4936,,,,,31.1044,,,,,
4,28.1344,,,,,31.1044,,,,,
5,28.1344,,,,,32.7806,28.0324,,,,
6,28.0324,28.0324,,,,32.7806,28.0324,,,,
7,28.0324,28.0324,,,,26.2073,26.2073,,,,
8,26.077,24.9379,,,,26.2073,26.2073,,,,
9,26.077,24.9379,,,,24.9379,24.9379,,,,
10,24.4182,24.8204,,,,24.9379,24.9379,,,,
11,24.4182,24.8204,,,,28.2806,24.4182,24.4182,,,
12,29.1397,23.9104,24.9132,,,28.2806,24.4182,24.4182,,,
13,29.1397,23.9104,24.9132,,,23.9104,23.9104,23.9104,,,
14,20.9795,23.5203,24.2369,,,23.9104,23.9104,23.9104,,,
15,20.9795,23.5203,24.2369,,,20.9795,20.9795,20.9795,,,
16,16.2497,23.1363,23.5203,,,20.9795,20.9795,20.9795,,,
17,16.2497,23.1363,23.5203,,,23.1363,16.2497,16.2497,,,
18,23.1985,14.904,21.0245,,,23.1363,16.2497,16.2497,,,
19,23.1985,14.904,21.0245,,,21.0245,13.6406,14.904,,,
20,26.3877,13.6406,20.703,,,21.0245,13.6406,14.904,,,
21,26.3877,13.6406,20.703,,,20.703,13.6406,13.6406,,,
22,28.7305,13.6406,20.703,,,20.703,13.6406,13.6406,,,
23,28.7305,13.6406,20.703,,,28.7305,20.703,13.6406,13.6406,,
24,26.2769,24.4503,13.5547,17.5388,,28.7305,20.703,13.6406,13.6406,,
25,26.2769,24.4503,13.5547,17.5388,,19.9107,21.9602,13.5547,13.5547,,
26,26.2769,23.5661,13.372,17.5388,,19.9107,21.9602,13.5547,13.5547,,
27,26.2769,23.5661,13.372,17.5388,,17.5388,17.5388,17.5388,13.372,,
28,24.1302,24.3639,13.0843,14.6692,,17.5388,17.5388,17.5388,13.372,,
29,24.1302,24.3639,13.0843,14.6692,,24.1302,18.8745,13.0843,13.0843,,
30,23.885,23.5761,12.9863,13.7595,,24.1302,18.8745,13.0843,13.0843,,
31,23.885,23.5761,12.9863,13.7595,,23.5761,22.2792,12.9863,12.9863,,
32,23.7691,23.5761,12.8359,12.7782,,23.5761,22.2792,12.9863,12.9863,,
33,23.7691,23.5761,12.8359,12.7782,,23.5761,12.8359,12.7782,12.7782,,
34,27.7079,23.5181,12.8359,12.7782,,23.5761,12.8359,12.7782,12.7782,,
35,27.7079,23.5181,12.8359,12.7782,,23.5181,23.5181,12.8359,12.7782,,
36,25.9806,26.125,22.6819,12.7384,,23.5181,23.5181,12.8359,12.7782,,
37,25.9806,26.125,22.6819,12.7384,,14.3443,13.3786,14.4778,12.7384,,
38,23.172,24.131,22.7653,12.5187,,14.3443,13.3786,14.4778,12.7384,,
39,23.172,24.131,22.7653,12.5187,,12.249,13.3786,14.7304,12.249,,
40,23.172,23.3209,22.3941,12.249,,12.249,13.3786,14.7304,12.249,,
41,23.172,23.3209,22.3941,12.249,,22.3941,12.249,12.249,12.249,,
42,29.5062,24.7355,22.2432,11.2641,,22.3941,12.249,12.249,12.249,,
43,29.5062,24.7355,22.2432,11.2641,,22.2432,22.2432,22.2432,11.2641,,
44,21.6818,21.6818,21.945,11.2641,,22.2432,22.2432,22.2432,11.2641,,
45,21.6818,21.6818,21.945,11.2641,,14.4963,14.4963,14.4963,11.2641,,
46,14.0899,14.0899,21.3484,11.2641,,14.4963,14.4963,14.4963,11.2641,,
47,14.0899,14.0899,21.3484,11.2641,,21.3484,16.9792,12.8543,13.0336,11.0551,
48,29.1013,13.0336,13.206,16.9792,11.033,21.3484,16.9792,12.8543,13.0336,11.0551,
49,29.1013,13.0336,13.206,16.9792,11.033,21.5973,14.6529,11.474,13.0336,11.033,
50,24.794,13.0336,13.206,14.6529,11.033,21.5973,14.6529,11.474,13.0336,11.033,
51,24.794,13.0336,13.206,14.6529,11.033,21.4507,14.4192,11.3824,12.8551,11.033,
52,24.794,12.8551,14.0651,14.2694,11.033,21.4507,14.4192,11.3824,12.8551,11.033,
53,24.794,12.8551,14.0651,14.2694,11.033,24.2694,21.4507,11.051,12.8358,11.0282,
54,28.0693,27.9474,13.9647,14.9837,10.6534,24.2694,21.4507,11.051,12.8358,11.0282,
55,28.0693,27.9474,13.9647,14.9837,10.6534,13.9647,18.3713,11.051,13.3231,10.6534,
56,27.7902,25.8817,13.3181,14.9837,10.6534,13.9647,18.3713,11.051,13.3231,10.6534,
57,27.7902,25.8817,13.3181,14.9837,10.6534,13.3181,14.9837,11.051,12.631,10.5031,
58,27.0866,25.8817,13.3181,12.5571,10.5031,13.3181,14.9837,11.051,12.631,10.5031,
59,27.0866,25.8817,13.3181,12.5571,10.5031,27.0866,12.0138,14.2359,10.9355,10.5031,
60,30.329,26.3645,26.2732,12.0138,10.5031,27.0866,12.0138,14.2359,10.9355,10.5031,
61,30.329,26.3645,26.2732,12.0138,10.5031,26.2732,12.0138,13.5252,10.9355,10.5031,
62,28.5349,25.5721,25.6368,12.0138,10.4749,26.2732,12.0138,13.5252,10.9355,10.5031,
63,28.5349,25.5721,25.6368,12.0138,10.4749,25.5721,11.817,12.0138,10.6099,10.4749,
64,26.3743,24.611,25.3254,12.0138,10.4621,25.5721,11.817,12.0138,10.6099,10.4749,
65,26.3743,24.611,25.3254,12.0138,10.4621,25.3254,24.611,10.9162,10.6099,10.4621,
66,26.7635,26.3743,23.9133,13.3874,10.4621,25.3254,24.611,10.9162,10.6099,10.4621,
67,26.7635,26.3743,23.9133,13.3874,10.4621,23.9133,23.9133,10.9162,10.5643,10.4621,
68,26.7635,25.0395,23.9133,12.0976,10.4621,23.9133,23.9133,10.9162,10.5643,10.4621,
69,26.7635,25.0395,23.9133,12.0976,10.4621,23.9133,23.9133,10.5849,10.5643,10.4621,
70,26.4337,24.7513,22.9017,11.0238,10.0637,23.9133,23.9133,10.5849,10.5643,10.4621,
71,26.4337,24.7513,22.9017,11.0238,10.0637,24.7513,22.9017,22.9017,11.0238,10.0637,
72,26.9475,26.1837,24.4493,22.7734,10.0637,24.7513,22.9017,22.9017,11.0238,10.0637,
73,26.9475,26.1837,24.4493,22.7734,10.0637,22.7734,22.5883,22.7734,17.6519,10.0637,
74,26.538,25.2036,24.0542,22.2927,10.0637,22.7734,22.5883,22.7734,17.6519,10.0637,
75,26.538,25.2036,24.0542,22.2927,10.0637,22.2927,22.2927,22.2927,17.6519,10.0637,
76,25.7513,25.0741,24.0542,22.0776,10.0637,22.2927,22.2927,22.2927,17.6519,10.0637,
77,25.7513,25.0741,24.0542,22.0776,10.0637,22.0776,22.0776,22.0776,17.5636,10.0637,
78,26.9056,22.9264,23.4383,21.9825,10.0637,22.0776,22.0776,22.0776,17.5636,10.0637,
79,26.9056,22.9264,23.4383,21.9825,10.0637,21.9825,21.9825,21.9825,17.2315,10.0637,
80,26.7577,22.6738,22.7471,21.9506,10.0637,21.9825,21.9825,21.9825,17.2315,10.0637,
81,26.7577,22.6738,22.7471,21.9506,10.0637,21.9506,13.0104,13.8567,13.8739,10.0637,
82,13.0104,21.9849,22.7471,21.5554,10.0229,21.9506,13.0104,13.8567,13.8739,10.0637,
83,13.0104,21.9849,22.7471,21.5554,10.0229,21.5554,21.5554,13.0104,13.0104,10.0229,
84,17.1117,13.0104,21.9849,21.3388,10.01,21.5554,21.5554,13.0104,13.0104,10.0229,
85,17.1117,13.0104,21.9849,21.3388,10.01,21.3388,13.0104,13.0104,13.0104,9.97203,
86,17.1117,13.0104,21.7179,20.9674,9.97203,21.3388,13.0104,13.0104,13.0104,9.97203,
87,17.1117,13.0104,21.7179,20.9674,9.97203,20.9674,13.0104,13.0104,13.0104,9.97203,
88,14.3151,13.0104,21.5073,20.9674,9.78445,20.9674,13.0104,13.0104,13.0104,9.97203,
89,14.3151,13.0104,21.5073,20.9674,9.78445,20.9674,15.059,13.0104,13.0104,9.77641,
90,23.8468,14.3151,13.0104,20.9674,9.77641,20.9674,15.059,13.0104,13.0104,9.77641,
91,23.8468,14.3151,13.0104,20.9674,9.77641,20.9674,14.3151,13.0104,13.0104,9.77641,
92,23.8468,11.8351,10.9966,14.332,9.77641,20.9674,14.3151,13.0104,13.0104,9.77641,
93,23.8468,11.8351,10.9966,14.332,9.77641,23.8468,11.8935,10.1974,11.7984,9.77641,
94,23.8468,11.1377,10.1974,14.332,9.77641,23.8468,11.8935,10.1974,11.7984,9.77641,
95,23.8468,11.1377,10.1974,14.332,9.77641,32.2392,23.8468,14.332,10.1974,9.77641,
