robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,1.04948,-0.747602
-0.923975,-1.74264,0.748427,-1.04281
-1.29769,-1.48033,0.565695,-1.12979
-2.17768,-0.610582,0.653532,-1.09344
-2.58457,0.0306001,0.756187,-0.984532
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,1.04948,-0.747602
-0.923975,-1.74264,0.748427,-1.04281
-1.29769,-1.48033,0.565695,-1.12979
-2.17768,-0.610582,0.653532,-1.09344
-2.58457,0.0306001,0.756187,-0.984532
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,1.04948,-0.747602
-0.923975,-1.74264,0.748427,-1.04281
-1.29769,-1.48033,0.565695,-1.12979
-2.17768,-0.610582,0.653532,-1.09344
-2.58457,0.0306001,0.756187,-0.984532
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,1.04948,-0.747602
-0.923975,-1.74264,0.748427,-1.04281
-1.28193,-1.41973,0.565695,-1.12979
-2.03676,-0.877788,0.653532,-1.09344
-2.38502,-0.378531,0.756187,-0.984532
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,1.04948,-0.747602
-0.923975,-1.74264,0.748427,-1.04281
-1.28193,-1.41973,0.565695,-1.12979
-2.03676,-0.877788,0.653532,-1.09344
-2.38502,-0.378531,0.756187,-0.984532
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,1.04948,-0.747602
-0.923975,-1.74264,0.748427,-1.04281
-1.20035,-1.46884,0.361024,-1.07831
-2.03676,-0.877788,0.653532,-1.09344
-2.37656,-0.387236,0.756187,-0.984532
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,1.04948,-0.747602
-0.923975,-1.74264,0.748427,-1.04281
-1.20035,-1.46884,0.361024,-1.07831
-2.03676,-0.877788,0.653532,-1.09344
-2.37656,-0.387236,0.756187,-0.984532
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.26641,-1.24656,1.03658,-0.0470885
-0.923975,-1.74264,0.611376,0.540501
-1.28193,-1.41973,-0.532147,1.28815
-2.03676,-0.877788,0.0925129,-0.00729135
-2.38502,-0.378531,0.89165,-1.14867
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.858648,-1.91256,0.710832,0.527606
-1.29769,-1.48033,-0.470525,1.1774
-2.17768,-0.610582,0.0916229,-0.0058492
-2.37656,-0.387236,0.749588,-1.16013
-2.58457,0.0306001,0.89165,-1.14867
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.858648,-1.91256,0.584574,0.294383
-1.29769,-1.48033,-0.359705,1.33461
-2.17768,-0.610582,-0.58259,1.19802
-2.37656,-0.387236,0.765431,-1.24527
-2.58457,0.0306001,0.755023,-0.965995
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.34247,-1.36148,1.36708,-0.407112
-0.839627,-1.82106,0.361934,0.787904
-1.20579,-1.50835,-0.427987,1.42584
-2.14923,-0.455962,-0.0352777,0.366631
-2.90125,0.726013,0.398451,-0.209971
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.34247,-1.36148,0.717966,0.292349
-0.839627,-1.82106,-0.530902,1.42169
-1.20579,-1.50835,-0.598946,1.45797
-2.14923,-0.455962,0.749588,-1.16013
-2.90125,0.726013,0.89165,-1.14867
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.34247,-1.36148,0.955716,-0.579407
-0.839627,-1.82106,0.778391,-0.62697
-1.20579,-1.50835,0.593848,-0.722302
-2.14923,-0.455962,0.681842,-0.671386
-2.90125,0.726013,0.753849,-0.830576
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.991449,-1.81874,1.05776,-0.712303
-1.31283,-1.49831,0.852843,-0.691543
-2.15036,-0.993582,0.7448,-0.992419
-2.21556,-0.861766,0.767315,-0.958749
-2.48545,-0.125007,0.833658,-0.879374
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.991449,-1.81874,0.955716,-0.579407
-1.31283,-1.49831,0.778391,-0.62697
-2.15036,-0.993582,0.593848,-0.722302
-2.21556,-0.861766,0.600599,-0.726805
-2.48545,-0.125007,0.685946,-0.751267
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.991449,-1.81874,1.05776,-0.712303
-1.31283,-1.49831,0.852843,-0.691543
-2.15036,-0.993582,0.7448,-0.992419
-2.21556,-0.861766,0.767315,-0.958749
-2.48545,-0.125007,0.833658,-0.879374
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.856256,-1.73356,1.05776,-0.712303
-1.07507,-1.68374,0.852843,-0.691543
-1.92506,-0.796189,0.7448,-0.992419
-2.01055,-0.672277,0.767315,-0.958749
-2.35392,-0.151661,0.833658,-0.879374
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,1.05776,-0.712303
-0.839627,-1.82106,0.852843,-0.691543
-1.79766,-0.926674,0.7448,-0.992419
-2.44295,0.00395888,0.767315,-0.958749
-2.93807,0.812017,0.833658,-0.879374
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,1.32702,-1.06494
-0.839627,-1.82106,1.79103,-2.3562
-1.79766,-0.926674,2.00099,-2.71759
-2.44295,0.00395888,2.03511,-2.7681
-2.93807,0.812017,1.77396,-2.31931
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,0.955716,-0.579407
-0.839627,-1.82106,0.778391,-0.62697
-1.79766,-0.926674,0.593848,-0.722302
-2.44295,0.00395888,0.712471,-0.644769
-2.93807,0.812017,0.735291,-0.836737
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,0.955716,-0.579407
-0.839627,-1.82106,0.778391,-0.62697
-1.79766,-0.926674,0.593848,-0.722302
-2.44295,0.00395888,0.681842,-0.671386
-2.93807,0.812017,0.753849,-0.830576
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,0.584574,0.294383
-0.839627,-1.82106,-0.0636215,1.10347
-1.79766,-0.926674,0.0726401,0.538102
-2.44295,0.00395888,0.686,-0.809953
-2.93807,0.812017,0.755408,-0.821074
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.28181,-1.33932,0.584574,0.294383
-0.809857,-1.92247,-0.0636215,1.10347
-1.88727,-0.981556,0.0726401,0.538102
-2.73492,0.489083,0.686,-0.809953
-2.9442,0.774253,0.755408,-0.821074
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.28181,-1.33932,1.0248,-0.729589
-0.809857,-1.92247,0.849546,-0.857057
-1.88727,-0.981556,0.653684,-0.999631
-2.73492,0.489083,0.503299,-1.14056
-2.9442,0.774253,0.474995,-0.99374
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20626,-1.43575,1.0248,-0.729589
-0.923975,-1.74264,0.849546,-0.857057
-1.28193,-1.41973,0.653684,-0.999631
-2.03676,-0.877788,0.503299,-1.14056
-2.49192,-0.363758,0.474995,-0.99374
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.839627,-1.82106,0.955716,-0.579407
-0.858648,-1.91256,0.778391,-0.62697
-1.44128,-1.46061,0.593848,-0.722302
-2.44295,0.00395888,0.600599,-0.726805
-2.93807,0.812017,0.672192,-0.782335
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.839627,-1.82106,1.32702,-1.06494
-0.858648,-1.91256,1.79103,-2.3562
-1.44128,-1.46061,2.00099,-2.71759
-2.44295,0.00395888,2.03511,-2.7681
-2.93807,0.812017,1.77396,-2.31931
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.839627,-1.82106,1.32702,-1.06494
-0.858648,-1.91256,1.79103,-2.3562
-1.44128,-1.46061,2.00099,-2.71759
-2.44295,0.00395888,2.03511,-2.7681
-2.93807,0.812017,1.77396,-2.31931
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.64527,-1.05785,1.32702,-1.06494
-0.833613,-1.82416,1.79103,-2.3562
-0.781575,-2.07039,2.00099,-2.71759
-2.05129,-0.708768,2.03511,-2.7681
-2.44295,0.00395888,1.77396,-2.31931
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.64527,-1.05785,1.32702,-1.06494
-0.833613,-1.82416,1.79103,-2.3562
-0.781575,-2.07039,2.00099,-2.71759
-2.05129,-0.708768,2.03511,-2.7681
-2.44295,0.00395888,1.77396,-2.31931
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.64527,-1.05785,0.980462,-0.42214
-0.833613,-1.82416,0.716534,-0.422906
-0.781575,-2.07039,0.459678,-1.34483
-2.05129,-0.708768,0.438572,-1.42595
-2.44295,0.00395888,0.63283,-1.16993
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.57904,-1.03516,1.21444,-0.453748
-0.876893,-1.76987,0.503266,-1.23385
-0.896482,-1.86763,0.474549,-1.14878
-1.78887,-1.0941,0.626625,-1.06962
-2.64013,0.0131265,0.753255,-0.941489
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.021,-1.77208,1.30452,-0.0887946
-0.722526,-1.95683,0.420257,0.766674
-1.88727,-0.981556,-0.427987,1.42584
-2.44295,0.00395888,-0.398369,1.06381
-2.86713,0.818708,0.398451,-0.209971
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.021,-1.77208,1.30452,-0.0887946
-0.722526,-1.95683,0.420257,0.766674
-1.88727,-0.981556,-0.427987,1.42584
-2.44295,0.00395888,-0.398369,1.06381
-2.86713,0.818708,0.398451,-0.209971
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.19872,-1.43193,1.30452,-0.0887946
-0.722526,-1.95683,-0.427987,1.42584
-1.88727,-0.981556,0.686,-0.809953
-2.44295,0.00395888,0.712922,-0.82393
-2.86713,0.818708,0.823005,-0.812549
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.59863,-1.19723,1.30452,-0.0887946
-0.878266,-1.63914,-0.427987,1.42584
-0.781575,-2.07039,0.686,-0.809953
-2.05129,-0.708768,0.712922,-0.82393
-2.44295,0.00395888,0.823005,-0.812549
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.59863,-1.19723,1.02912,-0.644656
-0.878266,-1.63914,0.854191,-0.690169
-0.781575,-2.07039,0.118492,-0.769632
