robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.95879,0.109614,-3.15851,-0.351463
-0.288188,-2.52917,0.968837,2.47078
5,5,-5,-5
5.07661,0.000586968,-3.13104,-0.362436
0.862044,-2.68966,0.996914,2.4589
5,5,-5,-5
6.20631,0.1477,-3.10489,-0.373064
2.02133,-2.58834,1.02366,2.44742
5,5,-5,-5
7.27699,0.548562,-3.07909,-0.383711
3.12122,-2.23164,1.05003,2.43592
5,5,-5,-5
8.22244,1.17692,-3.05275,-0.394762
4.09811,-1.64973,1.07697,2.424
5,5,-5,-5
8.98958,1.98616,-3.02493,-0.406624
4.90176,-0.893013,1.10542,2.41121
5,5,-5,-5
9.54489,2.91578,-2.99474,-0.419725
5.50162,-0.0256393,1.1363,2.39711
5,5,-5,-5
9.87741,3.89961,-2.96127,-0.434522
5.89006,0.882822,1.17052,2.3812
5,5,-5,-5
9.99842,4.87419,-2.92366,-0.451504
6.08205,1.7658,1.20899,2.36296
5,5,-5,-5
9.93789,5.78564,-2.88105,-0.4712
6.11177,2.56682,1.25258,2.34183
5,5,-5,-5
9.73106,6.61773,-2.82906,-0.49589
6.02433,3.26212,1.3046,2.3171
5,5,-5,-5
9.40259,7.37006,-2.76634,-0.526659
5.84874,3.85294,1.36577,2.28859
5,5,-5,-5
8.97877,8.02811,-2.69655,-0.562193
5.60697,4.33609,1.43316,2.25658
5,5,-5,-5
8.4862,8.58419,-2.62326,-0.601011
5.31999,4.71442,1.50389,2.22152
5,5,-5,-5
7.95041,9.03672,-2.54994,-0.641422
5.00604,4.99559,1.57517,2.18408
5,5,-5,-5
7.39468,9.38925,-2.47995,-0.681512
4.67958,5.19065,1.64437,2.14515
5,5,-5,-5
6.83937,9.64938,-2.41652,-0.719158
4.35069,5.31273,1.70895,2.10583
5,5,-5,-5
6.30149,9.82764,-2.36276,-0.752061
4.02511,5.37589,1.76649,2.06739
5,5,-5,-5
