robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.29713,0.298913,-3.07353,-0.38603
-0.998311,-2.26023,1.11525,2.3442
5,5,-5,-5
3.70362,0.170984,-2.95789,-0.436034
-0.603042,-2.36923,1.29087,2.19988
5,5,-5,-5
4.1296,0.0763426,-2.84234,-0.489513
-0.188377,-2.44459,1.46427,2.05078
5,5,-5,-5
4.56476,0.0189797,-2.72789,-0.546069
0.235508,-2.48254,1.63442,1.89735
5,5,-5,-5
4.99815,3.40656e-07,-2.61551,-0.605209
0.657806,-2.48221,1.80032,1.7401
5,5,-5,-5
5.41883,0.0175724,-2.50611,-0.66635
1.06768,-2.44566,1.96104,1.57966
5,5,-5,-5
5.81635,0.067093,-2.40057,-0.728819
1.45483,-2.37772,2.11569,1.41672
5,5,-5,-5
6.18132,0.141556,-2.2997,-0.791869
1.80997,-2.28564,2.26345,1.25206
5,5,-5,-5
6.50563,0.232079,-2.20424,-0.854677
2.12511,-2.17852,2.40355,1.08655
5,5,-5,-5
6.78257,0.32855,-2.11488,-0.916364
2.39364,-2.06672,2.53526,0.921085
5,5,-5,-5
7.02216,0.42716,-2.03213,-0.976102
2.62578,-1.95441,2.65764,0.757704
5,5,-5,-5
7.2375,0.528581,-1.95533,-1.03389
2.8346,-1.84089,2.77116,0.597138
5,5,-5,-5
7.4277,0.628925,-1.88344,-1.09014
3.01897,-1.7297,2.87722,0.438309
5,5,-5,-5
7.59211,0.724377,-1.81544,-1.14531
3.17806,-1.62427,2.97709,0.280033
5,5,-5,-5
7.73032,0.811283,-1.75041,-1.19998
3.31125,-1.5279,3.07193,0.121029
5,5,-5,-5
7.84197,0.886221,-1.68743,-1.25475
3.41798,-1.44364,3.16278,-0.0400675
5,5,-5,-5
7.92672,0.946074,-1.62566,-1.31031
3.49771,-1.37424,3.25057,-0.204694
5,5,-5,-5
7.98406,0.988097,-1.56428,-1.36739
3.54975,-1.32208,3.33611,-0.374356
