robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-0.461464,-2.32349,1.07414,-0.690128
-0.182996,-2.6152,0.689785,-0.78962
-0.722526,-1.95683,0.671752,-0.66416
-1.92506,-0.796189,0.49916,-0.55086
-2.11119,-0.625712,0.66374,-0.652777
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.461464,-2.32349,0.988482,-0.821178
-0.182996,-2.6152,0.730009,-0.898452
-0.722526,-1.95683,0.638674,-1.02063
-1.92506,-0.796189,0.615243,-1.09614
-2.11119,-0.625712,0.732651,-0.978932
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.461464,-2.32349,1.00796,-0.869409
-0.182996,-2.6152,0.799647,-1.16455
-0.722526,-1.95683,0.398612,-1.46952
-1.92506,-0.796189,0.649647,-1.26455
-2.11119,-0.625712,0.782957,-1.01941
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.461464,-2.32349,1.00582,-0.387907
-0.182996,-2.6152,0.0398705,-0.195646
-0.722526,-1.95683,-0.107819,-0.115942
-1.92506,-0.796189,0.0685456,-0.169224
-2.11119,-0.625712,0.197988,-0.384356
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.461464,-2.32349,1.00582,-0.387907
-0.0786427,-2.67831,0.0398705,-0.195646
-1.88727,-0.981556,-0.107819,-0.115942
-2.11119,-0.625712,0.114997,-0.106645
-2.44719,-0.0628562,0.105751,-0.254203
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.461464,-2.32349,1.20651,-0.624136
-0.0786427,-2.67831,1.21198,-0.646528
-1.88727,-0.981556,0.578063,-0.705069
-2.11119,-0.625712,0.530132,-0.591842
-2.44719,-0.0628562,0.411426,-0.523362
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.990338,-1.77324,1.00582,-0.387907
0.157782,-2.59997,0.0398705,-0.195646
1.13364,-3.29038,-0.107819,-0.115942
1.93014,-3.82971,0.197988,-0.384356
2.34939,-4.22957,0.49916,-0.55086
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.99029,-1.72764,1.03706,0.0142881
0.939636,-3.1401,0.314119,-0.0563695
1.50492,-3.47462,0.224522,-0.215769
1.75655,-3.65737,0.0821637,-0.171471
2.65298,-4.62099,0.422558,-0.442279
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.943688,-1.79662,0.876081,-0.496308
1.50492,-3.47462,0.334153,-0.277707
1.75655,-3.65737,0.179023,-0.212719
1.93014,-3.82971,0.197988,-0.384356
2.65298,-4.62099,0.49916,-0.55086
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.943688,-1.79662,0.940338,-0.497224
1.50492,-3.47462,0.558399,-0.407359
1.75655,-3.65737,0.434026,-0.26543
1.93014,-3.82971,0.336121,-0.486937
2.65298,-4.62099,0.61806,-0.643469
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.905866,-1.72972,0.898765,-0.685784
0.157782,-2.59997,0.516414,-0.654676
1.52178,-3.36476,0.510101,-0.729686
2.65298,-4.62099,0.486597,-0.548703
2.86989,-4.91331,0.49916,-0.55086
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.905866,-1.72972,1.00582,-0.387907
0.157782,-2.59997,0.0398705,-0.195646
1.50492,-3.47462,-0.107819,-0.115942
1.93014,-3.82971,0.197988,-0.384356
2.65298,-4.62099,0.49916,-0.55086
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.905866,-1.72972,1.00582,-0.387907
0.157782,-2.59997,0.0398705,-0.195646
1.50492,-3.47462,-0.107819,-0.115942
1.93014,-3.82971,0.114997,-0.106645
2.65298,-4.62099,0.105751,-0.254203
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.905866,-1.72972,1.00796,-0.869409
0.157782,-2.59997,0.799647,-1.16455
1.50492,-3.47462,0.398612,-1.46952
2.02956,-3.71648,0.59896,-1.45249
2.63779,-4.61073,0.782957,-1.01941
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.905866,-1.72972,1.00582,-0.387907
0.157782,-2.59997,0.0398705,-0.195646
1.50492,-3.47462,-0.107819,-0.115942
2.02956,-3.71648,0.197988,-0.384356
2.63779,-4.61073,0.49916,-0.55086
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.905866,-1.72972,1.00582,-0.387907
1.50492,-3.47462,0.0398705,-0.195646
1.93014,-3.82971,-0.107819,-0.115942
2.76723,-4.76224,0.197988,-0.384356
3.15912,-5.31215,0.49916,-0.55086
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.905866,-1.72972,0.876081,-0.496308
0.157782,-2.59997,0.334153,-0.277707
1.50492,-3.47462,0.179023,-0.212719
2.6856,-4.55653,0.197988,-0.384356
3.21811,-5.47755,0.49916,-0.55086
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.905866,-1.72972,1.00582,-0.387907
0.157782,-2.59997,0.0398705,-0.195646
1.50492,-3.47462,-0.107819,-0.115942
2.6856,-4.55653,0.0685456,-0.169224
3.21811,-5.47755,0.197988,-0.384356
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.16443,-1.88813,1.00582,-0.387907
0.1016,-2.95915,0.0398705,-0.195646
2.54296,-4.74503,-0.107819,-0.115942
3.09176,-5.34633,0.197988,-0.384356
3.29588,-5.56476,0.49916,-0.55086
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.16443,-1.88813,1.20651,-0.624136
0.1016,-2.95915,1.21198,-0.646528
2.54296,-4.74503,0.578063,-0.705069
3.09176,-5.34633,0.530132,-0.591842
3.29588,-5.56476,0.411426,-0.523362
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.16443,-1.88813,1.07414,-0.690128
0.1016,-2.95915,0.689785,-0.78962
2.54296,-4.74503,0.671752,-0.66416
3.09176,-5.34633,0.49916,-0.55086
3.29588,-5.56476,0.66374,-0.652777
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
0.157782,-2.59997,0.898765,-0.685784
1.50492,-3.47462,0.516414,-0.654676
1.93014,-3.82971,0.510101,-0.729686
2.26519,-4.17491,0.486597,-0.548703
2.65298,-4.62099,0.49916,-0.55086
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
0.157782,-2.59997,1.00582,-0.387907
1.50492,-3.47462,0.0398705,-0.195646
1.93014,-3.82971,-0.107819,-0.115942
2.26519,-4.17491,0.114997,-0.106645
2.65298,-4.62099,0.105751,-0.254203
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
0.157782,-2.59997,1.05789,-0.573411
1.50492,-3.47462,1.00582,-0.387907
1.93014,-3.82971,-0.107819,-0.115942
2.26519,-4.17491,0.0685456,-0.169224
2.65298,-4.62099,0.105751,-0.254203
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.905866,-1.72972,1.00582,-0.387907
0.157782,-2.59997,0.0398705,-0.195646
1.32649,-3.46053,-0.107819,-0.115942
2.63779,-4.61073,0.197988,-0.384356
3.06889,-5.19696,0.49916,-0.55086
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.214819,-2.62212,0.733116,-0.163374
2.50221,-4.60329,0.313955,-0.144512
2.96597,-5.13122,0.498668,-1.09715
3.13888,-5.28025,0.535515,-1.12716
3.33686,-5.53181,0.62673,-1.05873
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.870444,-1.67032,1.00796,-0.869409
0.157782,-2.59997,0.799647,-1.16455
1.98692,-3.86989,0.398612,-1.46952
2.26519,-4.17491,0.59896,-1.45249
3.06873,-5.17891,0.782957,-1.01941
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.214819,-2.62212,0.961719,-0.753701
2.60669,-4.68997,0.702303,-0.92095
2.96597,-5.13122,0.373685,-1.13352
3.13888,-5.28025,0.651399,-1.1238
3.33686,-5.53181,0.736719,-0.903701
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.214819,-2.62212,1.14126,-0.637073
2.60669,-4.68997,1.00796,-0.869409
2.96597,-5.13122,0.918422,-1.03575
3.13888,-5.28025,0.373685,-1.13352
3.33686,-5.53181,0.577325,-0.985666
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.870444,-1.67032,1.0252,-0.625602
0.973599,-3.03539,0.675599,-0.676805
1.50492,-3.47462,0.587514,-0.702027
1.75655,-3.65737,0.600599,-0.726805
2.65298,-4.62099,0.685946,-0.751267
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
0.157782,-2.59997,1.105,-0.733097
1.93014,-3.82971,0.918422,-1.03575
2.34973,-4.19178,0.540752,-1.18832
2.63779,-4.61073,0.373685,-1.13352
2.94416,-5.1516,0.511738,-1.06456
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
0.157782,-2.59997,1.00796,-0.869409
1.93014,-3.82971,0.799647,-1.16455
2.34973,-4.19178,0.398612,-1.46952
2.63779,-4.61073,0.59896,-1.45249
2.99393,-5.22237,0.782957,-1.01941
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
0.157782,-2.59997,1.00796,-0.869409
1.93014,-3.82971,0.799647,-1.16455
2.34973,-4.19178,0.398612,-1.46952
2.63779,-4.61073,0.59896,-1.45249
2.99393,-5.22237,0.782957,-1.01941
3.5,-5.78319,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.354748,-2.7426,0.880996,-0.748133
