robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.26201,0.311783,-2.81988,-0.500326
-1.10557,-2.1222,1.4476,2.10518
5,5,-5,-5
3.60983,0.197144,-2.45969,-0.693397
-0.847532,-2.06823,1.93908,1.68376
5,5,-5,-5
3.9625,0.108825,-2.11326,-0.917509
-0.584137,-1.97158,2.4056,1.22255
5,5,-5,-5
4.32,0.0464564,-1.78574,-1.17005
-0.309604,-1.84214,2.84068,0.726326
5,5,-5,-5
4.6824,0.0100969,-1.4816,-1.44742
-0.0196312,-1.69016,3.23885,0.201013
5,5,-5,-5
5.04983,0.000248319,-1.20451,-1.74512
0.288472,-1.52601,3.59588,-0.346438
5,5,-5,-5
5.4223,0.0178658,-0.957151,-2.058
0.6159,-1.35999,3.90887,-0.9083
5,5,-5,-5
5.79966,0.0643605,-0.741178,-2.38038
0.962702,-1.20205,4.17641,-1.47631
5,5,-5,-5
6.18147,0.141592,-0.557153,-2.70629
1.32839,-1.06159,4.39851,-2.04192
5,5,-5,-5
6.56687,0.251852,-0.404586,-3.02968
1.7128,-0.947291,4.57662,-2.59655
5,5,-5,-5
6.91261,0.380267,-0.275303,-3.36377
2.07554,-0.885728,4.72075,-3.16513
5,5,-5,-5
7.19574,0.507925,-0.166828,-3.7192
2.39534,-0.890723,4.83295,-3.76651
5,5,-5,-5
7.44389,0.637958,-0.0844216,-4.08507
2.70081,-0.944203,4.90675,-4.38199
5,5,-5,-5
7.68216,0.780284,-0.0303841,-4.44962
3.01789,-1.02099,4.94012,-4.99191
5,5,-5,-5
7.93264,0.950352,-0.00397362,-4.8007
3.36808,-1.09043,4.93548,-5.57643
5,5,-5,-5
8.21318,1.16914,-0.00159697,-5.12636
3.76635,-1.11684,4.89945,-6.11616
5,5,-5,-5
8.53511,1.46404,-0.0172735,-5.41525
4.21843,-1.05912,4.84212,-6.59268
5,5,-5,-5
8.89905,1.86991,-0.0433355,-5.65687
