robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.810546,0.121249
-1.1412,-1.54108,0.420257,0.766674
-1.33966,-1.36688,-0.368147,1.44095
-1.66359,-1.04343,0.398451,-0.209971
-2.11912,-0.506679,0.498679,-0.341586
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.810546,0.121249
-1.1412,-1.54108,0.420257,0.766674
-1.33966,-1.36688,-0.368147,1.44095
-1.66359,-1.04343,0.398451,-0.209971
-2.11912,-0.506679,0.498679,-0.341586
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.810546,0.121249
-1.1412,-1.54108,0.420257,0.766674
-1.33966,-1.36688,-0.368147,1.44095
-1.66359,-1.04343,0.398451,-0.209971
-2.11912,-0.506679,0.498679,-0.341586
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.96292,-0.317229
-1.1412,-1.54108,0.59795,0.316679
-1.33966,-1.36688,-0.346169,1.57963
-1.66359,-1.04343,-0.313503,1.36241
-2.11912,-0.506679,-0.137973,0.88217
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.26871,-1.41751,0.96292,-0.317229
-1.1412,-1.54108,0.59795,0.316679
-1.33966,-1.36688,-0.346169,1.57963
-1.66359,-1.04343,-0.313503,1.36241
-2.11912,-0.506679,-0.137973,0.88217
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.67245,-0.997873,0.757799,0.262326
-1.26871,-1.41751,0.420257,0.766674
-1.1412,-1.54108,-0.368147,1.44095
-1.66359,-1.04343,0.398451,-0.209971
-2.50431,0.388575,0.492157,-0.420697
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.36951,-1.35889,0.757799,0.262326
-1.08695,-1.66834,0.420257,0.766674
-1.11202,-1.66407,-0.368147,1.44095
-2.6862,0.397147,0.398451,-0.209971
-2.75336,0.487068,0.492157,-0.420697
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.36951,-1.35889,0.81067,0.126612
-1.08695,-1.66834,0.420257,0.766674
-1.11202,-1.66407,-0.368147,1.44095
-2.6862,0.397147,0.398451,-0.209971
-2.75336,0.487068,0.397152,-0.29958
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.34363,-1.25802,1.0651,-0.280456
-0.962014,-1.7658,-0.070591,1.29241
-1.05514,-1.77176,-0.368147,1.44095
-1.82395,-0.874428,-0.285903,1.16188
-2.20797,-0.269342,0.209918,0.162491
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20584,-1.51362,0.740297,0.155205
-0.918414,-1.73639,0.389225,0.85853
-1.18444,-1.84795,-0.462142,1.68667
-1.61201,-1.34397,0.398451,-0.209971
-2.61106,0.189033,0.550954,-0.472774
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.53357,-0.920012,0.810546,0.121249
-1.09895,-1.25054,0.354534,0.718575
-1.40657,-1.16871,-0.368122,1.55117
-2.36297,-0.200708,-0.562495,1.73429
-2.57956,0.153002,-0.477639,1.63408
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.53357,-0.920012,0.810546,0.121249
-1.09895,-1.25054,0.354534,0.718575
-1.40657,-1.16871,-0.368122,1.55117
-2.36297,-0.200708,-0.562495,1.73429
-2.57956,0.153002,-0.477639,1.63408
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.32718,-1.35848,0.810546,0.121249
-1.2092,-1.63456,0.220927,0.856019
-1.72995,-1.14066,-0.368122,1.55117
-2.03158,-0.737059,-0.500263,1.3349
-2.29061,-0.321623,0.195919,0.331592
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.32718,-1.35848,1.02176,-0.30645
-1.2092,-1.63456,0.521642,0.862971
-1.72995,-1.14066,-0.368147,1.44095
-2.03158,-0.737059,0.398451,-0.209971
-2.29061,-0.321623,0.498679,-0.341586
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.32718,-1.35848,0.811086,-0.0310625
-1.2092,-1.63456,0.354534,0.718575
-1.72995,-1.14066,-0.368122,1.55117
-2.03158,-0.737059,-0.562495,1.73429
-2.29061,-0.321623,-0.527791,1.53792
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.33147,-1.36027,0.810546,0.121249
-0.896482,-1.86763,0.354534,0.718575
-2.13309,-0.524795,-0.368122,1.55117
-2.47424,0.00412851,-0.562495,1.73429
-2.70118,0.305118,-0.527791,1.53792
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.33147,-1.36027,0.810546,0.121249
-0.896482,-1.86763,0.354534,0.718575
-2.13309,-0.524795,-0.368122,1.55117
-2.47424,0.00412851,-0.562495,1.73429
-2.70118,0.305118,-0.527791,1.53792
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.33147,-1.36027,0.810546,0.121249
-0.896482,-1.86763,0.354534,0.718575
-2.13309,-0.524795,-0.368122,1.55117
-2.47424,0.00412851,-0.562495,1.73429
-2.70118,0.305118,-0.527791,1.53792
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.34363,-1.25802,1.08059,-0.470535
-0.90418,-1.7355,1.08769,-0.336769
-1.05514,-1.77176,-0.151927,1.59947
-1.82395,-0.874428,-0.414338,1.34277
-2.36297,-0.200708,0.0643429,0.721663
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.3697,-1.2685,1.08059,-0.470535
-0.95576,-1.82111,1.08769,-0.336769
-0.947143,-1.85999,-0.151927,1.59947
-1.5907,-1.01364,-0.414338,1.34277
-2.13894,-0.302827,0.0643429,0.721663
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.57423,-0.950751,0.672338,0.145448
-1.09895,-1.25054,0.354534,0.718575
-1.83908,-0.955114,-0.368122,1.55117
-2.32561,-0.00147589,-0.562495,1.73429
-2.59459,0.216781,-0.527791,1.53792
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.60247,-1.01558,1.02176,-0.30645
-1.24634,-1.39792,0.398571,0.733832
-0.911645,-1.86564,-0.423638,1.54075
-1.84185,-0.804013,-0.498634,1.3444
-2.81748,0.540703,0.572564,-0.567667
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.36951,-1.35889,1.02176,-0.30645
-1.08695,-1.66834,0.398571,0.733832
-1.03959,-1.70944,-0.423638,1.54075
-2.4751,-0.145327,-0.498634,1.3444
-2.59559,-0.0245926,0.572564,-0.567667
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.39949,-1.12167,0.810546,0.121249
-0.952867,-1.5059,0.354534,0.718575
-0.91663,-1.50807,-0.368122,1.55117
-1.50231,-1.14903,-0.602014,1.78114
-2.42835,-0.199702,-0.527791,1.53792
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.39949,-1.12167,0.810546,0.121249
-0.952867,-1.5059,0.354534,0.718575
-0.91663,-1.50807,-0.368122,1.55117
-1.50231,-1.14903,-0.602014,1.78114
-2.42835,-0.199702,-0.527791,1.53792
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.03686,-1.46592,0.810546,0.121249
-1.00239,-1.51502,0.354534,0.718575
-1.72038,-0.858183,-0.368122,1.55117
-2.53431,-0.0711177,-0.602014,1.78114
-2.73894,0.26899,-0.527791,1.53792
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.12346,-1.43767,0.748489,-0.0139562
-1.05514,-1.77176,-0.118592,1.32493
-1.71684,-1.11205,-0.406793,1.55615
-2.61106,0.189033,-0.398369,1.06381
-2.80822,0.204104,0.043221,0.754332
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.12346,-1.43767,0.299026,0.852097
-1.05514,-1.77176,-0.257642,1.54396
-1.71684,-1.11205,-0.420972,1.43782
-2.61106,0.189033,-0.347606,1.07594
-2.80822,0.204104,0.161591,-0.06581
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.12346,-1.43767,0.299026,0.852097
-1.05514,-1.77176,-0.257642,1.54396
-1.71684,-1.11205,-0.420972,1.43782
-2.61106,0.189033,-0.347606,1.07594
-2.80822,0.204104,0.161591,-0.06581
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.52113,-1.04432,0.299026,0.852097
-0.952867,-1.5059,-0.257642,1.54396
-0.915313,-1.52827,-0.420972,1.43782
-2.3579,-0.330172,-0.347606,1.07594
-2.57987,0.099339,0.161591,-0.06581
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.37635,-1.35917,0.299026,0.852097
-1.12224,-1.68675,-0.257642,1.54396
-0.858831,-1.92654,-0.420972,1.43782
-0.799699,-1.98764,-0.347606,1.07594
-2.57987,0.099339,0.161591,-0.06581
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.09679,-1.46714,0.299026,0.852097
-0.620429,-1.85896,-0.257642,1.54396
-1.14866,-1.37434,-0.420972,1.43782
-2.23878,-0.305175,-0.347606,1.07594
-2.54762,0.11199,0.161591,-0.06581
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20584,-1.51362,0.59348,0.0890412
-0.941403,-1.67656,0.430638,0.655778
-2.13692,-0.505051,-0.368147,1.44095
-3.29705,1.22017,0.398451,-0.209971
-3.02862,0.886062,0.492157,-0.420697
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.20584,-1.51362,0.687402,0.173734
-0.941403,-1.67656,-0.368122,1.55117
-2.13692,-0.505051,-0.6034,1.85484
-3.29705,1.22017,-0.667247,1.89512
-3.02862,0.886062,-0.34498,1.29246
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
