fitness1,subfitness1,distance1,collision1,diversity1,age1,collision_points_begin1,collision_points_end1,fitness2,subfitness2,distance2,collision2,diversity2,age2,collision_points_begin2,collision_points_end2
12.249,0,12.249,0,0,21,-1,-1,12.249,0,11.2414,0,0,7,-1,-1
13.0465,0,13.0465,0,0,21,2,3,12.249,0,11.2641,0,0,22,-1,-1
13.1465,0,13.1465,0,0,21,-1,-1,12.249,0,11.2641,0,0,22,-1,-1
13.1465,0,13.1465,0,0,21,-1,-1,12.249,0,12.2234,0,0,22,-1,-1
13.1465,0,13.1465,0,0,21,-1,-1,12.249,0,11.2641,0,0,22,-1,-1
13.1465,0,13.1465,0,0,21,-1,-1,12.249,0,11.3608,0,0,22,-1,-1
13.1465,0,13.1465,0,0,21,-1,-1,12.249,0,12.2234,0,0,22,-1,-1
13.3786,0,13.204,0,0,21,4,5,12.249,0,12.2234,0,0,22,-1,-1
13.3786,0,13.204,0,0,21,4,5,12.249,0,12.2234,0,0,22,-1,-1
13.3786,0,13.204,0,0,21,4,5,12.249,0,10.8715,0,0,4,-1,-1
13.3786,0,13.204,0,0,21,4,5,12.249,0,11.5521,0,0,4,-1,-1
13.5068,0,13.5068,0,0,21,4,6,12.249,0,11.2956,0,0,4,-1,-1
13.5068,0,13.5068,0,0,21,4,6,12.249,0,11.2956,0,0,4,-1,-1
13.5145,0,13.5145,0,0,21,4,5,12.249,0,11.2956,0,0,4,-1,-1
13.5457,0,13.5457,0,0,21,1,3,12.249,0,11.2641,0,0,22,-1,-1
13.5457,0,13.5457,0,0,21,1,3,12.261,0,12.261,0,0,22,-1,-1
13.7046,0,13.7046,0,0,21,2,3,12.3103,0,12.3103,0,0,22,-1,-1
13.712,0,13.712,0,0,21,2,3,12.3103,0,12.3103,0,0,22,-1,-1
13.712,0,13.712,0,0,21,2,3,12.3103,0,12.3103,0,0,22,-1,-1
14.0622,0,14.0622,0,0,21,4,5,12.4226,0,12.4226,0,0,4,-1,-1
14.0622,0,14.0622,0,0,21,4,5,12.4226,0,12.4226,0,0,4,-1,-1
14.0711,0,14.0711,0,0,21,1,3,12.4226,0,12.4226,0,0,4,-1,-1
14.2851,0,14.2851,0,0,21,2,3,12.4969,0,12.4969,0,0,22,-1,-1
14.3014,0,14.3014,0,0,21,-1,-1,13.2227,0,13.2227,0,0,22,-1,-1
14.3014,0,14.3014,0,0,21,-1,-1,13.2227,0,13.2227,0,0,22,-1,-1
14.6876,0,14.6876,0,0,21,-1,-1,13.2227,0,13.2227,0,0,22,-1,-1
14.6876,0,14.6876,0,0,21,-1,-1,13.3786,0,13.3786,0,0,7,-1,-1
14.7304,0,13.7459,0,0,21,4,6,13.8791,0,13.8791,0,0,22,-1,-1
14.7304,0,14.0396,0,0,21,5,6,14.0717,0,14.0717,0,0,22,-1,-1
14.7304,0,13.5461,0,0,21,5,6,14.1678,0,14.1678,0,0,10,-1,-1
14.7304,0,14.0396,0,0,21,5,6,14.1678,0,14.1678,0,0,10,-1,-1
14.7304,0,13.3389,0,0,21,3,6,14.2317,0,14.2317,0,0,22,-1,-1
14.7304,0,13.5461,0,0,21,5,6,14.2317,0,14.2317,0,0,22,-1,-1
14.7304,0,14.0396,0,0,21,5,6,14.2317,0,14.2317,0,0,22,-1,-1
14.7304,0,13.5461,0,0,21,5,6,14.2317,0,14.2317,0,0,22,-1,-1
14.7304,0,13.5416,0,0,21,4,6,14.2317,0,14.2317,0,0,22,-1,-1
14.7304,0,13.5461,0,0,21,5,6,14.2429,0,14.2429,0,0,22,-1,-1
15.2627,0,15.2627,0,0,21,-1,-1,14.3443,0,14.3443,0,0,4,-1,-1
15.3376,0,15.3376,0,0,21,-1,-1,14.3443,0,14.3443,0,0,4,-1,-1
15.3376,0,15.3376,0,0,21,-1,-1,14.3443,0,14.3443,0,0,4,-1,-1
15.3376,0,15.3376,0,0,21,-1,-1,14.3443,0,14.3443,0,0,4,-1,-1
15.3519,0,15.3519,0,0,21,4,6,14.4388,0,14.4388,0,0,7,-1,-1
16.2454,0,16.2454,0,0,21,-1,-1,14.4514,0,14.4514,0,0,7,-1,-1
16.8073,0,16.8073,0,0,21,1,3,14.5244,0,14.5244,0,0,22,-1,-1
17.874,0,17.874,0,0,21,3,5,14.5244,0,14.5244,0,0,22,-1,-1
22.3713,0,22.3713,0,0,21,4,6,14.7304,0,14.7304,0,0,10,-1,-1
22.3941,0,22.3941,0,0,9,-1,-1,14.7792,0,14.7792,0,0,4,-1,-1
22.7653,0,22.7653,0,0,9,1,2,14.7792,0,14.7792,0,0,4,-1,-1
22.916,0,22.916,0,0,9,-1,-1,14.7986,0,14.7986,0,0,22,-1,-1
22.9347,0,22.9347,0,0,9,1,2,14.7986,0,14.7986,0,0,22,-1,-1
23.1375,0,23.1375,0,0,9,0,2,14.8733,0,14.8733,0,0,7,-1,-1
23.1375,0,23.1375,0,0,9,0,2,14.8878,0,14.8878,0,0,7,-1,-1
23.1656,0,23.1656,0,0,9,-1,-1,15.0944,0,15.0944,0,0,22,-1,-1
23.172,0,23.172,0,0,3,3,6,15.2117,0,15.2117,0,0,7,-1,-1
23.172,0,23.172,0,0,3,3,6,15.2425,0,15.2425,0,0,10,-1,-1
23.269,0,23.269,0,0,3,3,6,15.2425,0,15.2425,0,0,10,-1,-1
23.3209,0,23.3209,0,0,6,3,6,15.2425,0,15.2425,0,0,10,-1,-1
23.3209,0,23.3209,0,0,6,3,6,15.2425,0,15.2425,0,0,10,-1,-1
23.3209,0,23.3209,0,0,6,3,6,15.3443,0,15.3443,0,0,10,-1,-1
23.3554,0,23.3554,0,0,9,-1,-1,15.7027,0,15.7027,0,0,22,-1,-1
23.3554,0,23.3554,0,0,9,-1,-1,15.7027,0,15.7027,0,0,22,-1,-1
