fitness1,subfitness1,distance1,collision1,diversity1,age1,collision_points_begin1,collision_points_end1,fitness2,subfitness2,distance2,collision2,diversity2,age2,collision_points_begin2,collision_points_end2
9.78445,0,9.51289,0,0,45,-1,-1,9.97203,0,9.78445,0,0,45,-1,-1
9.78445,0,9.51289,0,0,45,-1,-1,9.97203,0,9.77641,0,0,45,-1,-1
9.78445,0,9.51289,0,0,45,-1,-1,9.97203,0,9.78445,0,0,45,-1,-1
9.78445,0,9.51289,0,0,45,-1,-1,10.2704,0,10.2704,0,0,45,-1,-1
9.97203,0,9.97203,0,0,45,-1,-1,10.2704,0,10.2704,0,0,45,-1,-1
9.97203,0,9.97203,0,0,45,-1,-1,10.2704,0,10.2704,0,0,45,-1,-1
9.97203,0,9.97203,0,0,45,-1,-1,10.2806,0,10.2806,0,0,45,-1,-1
9.97203,0,9.97203,0,0,45,-1,-1,10.7008,0,10.7008,0,0,45,-1,-1
9.97203,0,9.97203,0,0,45,-1,-1,10.7008,0,10.7008,0,0,45,-1,-1
9.97203,0,9.97203,0,0,45,-1,-1,10.7008,0,10.7008,0,0,45,-1,-1
10.0808,0,10.0808,0,0,45,-1,-1,11.3495,0,11.3495,0,0,45,-1,-1
10.0808,0,10.0808,0,0,45,-1,-1,11.3495,0,11.3495,0,0,45,-1,-1
10.0808,0,10.0808,0,0,45,-1,-1,11.4126,0,11.4126,0,0,45,-1,-1
11.7847,0,11.7847,0,0,45,-1,-1,12.1047,0,12.1047,0,0,45,-1,-1
12.9251,0,12.9251,0,0,45,-1,-1,12.3217,0,12.3217,0,0,45,-1,-1
12.9251,0,12.9251,0,0,45,-1,-1,12.3217,0,12.3217,0,0,45,-1,-1
13.0104,0,13.0104,0,0,6,0,2,12.357,0,12.357,0,0,45,-1,-1
13.0104,0,13.0104,0,0,6,0,2,12.357,0,12.357,0,0,45,-1,-1
13.2805,0,13.2805,0,0,45,-1,-1,12.8971,0,12.8971,0,0,45,-1,-1
13.2805,0,13.2805,0,0,45,-1,-1,12.8971,0,12.8971,0,0,45,-1,-1
13.4073,0,13.4073,0,0,45,-1,-1,12.8971,0,12.8971,0,0,45,-1,-1
13.794,0,13.794,0,0,45,-1,-1,12.96,0,12.96,0,0,45,-1,-1
13.8836,0,13.8836,0,0,45,-1,-1,13.0049,0,13.0049,0,0,45,-1,-1
13.897,0,13.897,0,0,45,-1,-1,13.0049,0,13.0049,0,0,45,-1,-1
14.0031,0,13.4657,0,0,45,3,5,13.0049,0,13.0049,0,0,45,-1,-1
14.0031,0,13.4657,0,0,45,3,5,13.0104,0,11.7554,0,0,9,4,6
14.295,0,14.295,0,0,45,0,5,13.0104,0,12.68,0,0,9,3,6
14.3151,0,14.3151,0,0,3,-1,-1,13.0104,0,12.68,0,0,9,3,6
14.4737,0,14.4737,0,0,45,-1,-1,13.0104,0,12.0902,0,0,9,3,6
14.8172,0,14.8172,0,0,45,-1,-1,13.0104,0,12.3555,0,0,6,4,6
15.9324,0,15.9324,0,0,6,0,2,13.0104,0,12.3555,0,0,6,4,6
15.9324,0,15.9324,0,0,6,0,2,13.0104,0,10.9966,0,0,9,3,6
17.1117,0,17.1117,0,0,3,0,3,13.0104,0,11.2477,0,0,21,3,6
17.1803,0,17.1803,0,0,45,-1,-1,13.0104,0,10.4828,0,0,21,3,6
17.1803,0,17.1803,0,0,45,-1,-1,13.0104,0,12.9337,0,0,21,4,5
17.1803,0,17.1803,0,0,45,-1,-1,13.0104,0,12.0902,0,0,9,3,6
20.5523,0,20.5523,0,0,6,0,2,13.0104,0,11.7554,0,0,9,4,6
20.9674,0,20.9674,0,0,21,-1,-1,13.0104,0,12.68,0,0,9,3,6
20.9789,0,20.9789,0,0,21,-1,-1,13.0104,0,12.68,0,0,9,3,6
20.9789,0,20.9789,0,0,21,-1,-1,13.0104,0,12.68,0,0,9,3,6
20.9789,0,20.9789,0,0,21,-1,-1,13.0104,0,11.6574,0,0,9,3,5
20.9795,0,20.9795,0,0,21,-1,-1,13.0104,0,10.9966,0,0,9,3,6
21.1044,0,21.1044,0,0,21,-1,-1,13.0104,0,9.91272,0,0,21,4,6
21.2865,0,21.2865,0,0,21,-1,-1,13.0104,0,10.2483,0,0,21,3,6
21.2865,0,21.2865,0,0,21,-1,-1,13.0104,0,10.4828,0,0,21,3,6
21.2865,0,21.2865,0,0,21,-1,-1,13.0104,0,10.2483,0,0,21,3,6
21.2865,0,21.2865,0,0,21,-1,-1,13.0104,0,10.4828,0,0,21,3,6
21.3555,0,21.3555,0,0,21,-1,-1,13.0667,0,13.0667,0,0,45,-1,-1
21.3555,0,21.3555,0,0,21,-1,-1,13.0667,0,13.0667,0,0,45,-1,-1
21.3751,0,21.3751,0,0,21,-1,-1,13.5719,0,13.5719,0,0,9,3,6
21.3862,0,21.3862,0,0,21,1,2,13.617,0,13.617,0,0,9,3,6
21.4625,0,21.4625,0,0,21,-1,-1,13.617,0,13.617,0,0,9,3,6
21.5073,0,21.5073,0,0,9,-1,-1,13.617,0,13.617,0,0,9,3,6
21.5073,0,21.5073,0,0,9,-1,-1,13.6995,0,13.6995,0,0,21,3,6
21.5073,0,21.5073,0,0,9,-1,-1,13.6995,0,13.6995,0,0,21,3,6
21.5073,0,21.5073,0,0,9,-1,-1,13.7126,0,13.7126,0,0,45,-1,-1
21.5073,0,21.5073,0,0,9,-1,-1,13.8409,0,13.8409,0,0,45,-1,-1
21.511,0,21.511,0,0,21,1,2,13.8409,0,13.8409,0,0,45,-1,-1
21.5785,0,21.5785,0,0,21,-1,-1,13.9335,0,13.9335,0,0,9,3,6
21.587,0,21.587,0,0,21,-1,-1,13.9335,0,13.9335,0,0,9,3,6
21.587,0,21.587,0,0,21,-1,-1,13.9363,0,13.9363,0,0,9,4,6
21.587,0,21.587,0,0,21,-1,-1,13.9363,0,13.9363,0,0,9,4,6
21.6358,0,21.6358,0,0,9,1,3,13.9363,0,13.9363,0,0,9,4,6
21.6358,0,21.6358,0,0,9,1,3,14.1112,0,14.1112,0,0,21,-1,-1
