robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-2.27724,-0.0786877,1.2576,-0.6875
-2.55448,0.442625,1.76411,-1.24085
-3.10896,1.48525,1.7195,-1.55876
-3.45767,2.02449,1.49746,-1.63339
-3.38768,1.62193,1.04091,-1.06117
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.27724,-0.0786877,1.48753,-1.01211
-2.55448,0.442625,1.77507,-1.42422
-3.10896,1.48525,1.92283,-1.68725
-3.45767,2.02449,1.72024,-1.53166
-3.38768,1.62193,1.10149,-0.976961
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.31128,0.447815,1.30642,-1.02252
-2.8632,1.25095,1.93774,-2.07478
-3.40782,1.53106,1.84238,-2.27598
-3.47809,1.53682,1.62197,-1.92935
-3.40509,1.40209,1.26099,-1.36468
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.31128,0.447815,1.67588,-1.67954
-2.8632,1.25095,1.59135,-2.14442
-3.40782,1.53106,1.1132,-1.60684
-3.47809,1.53682,0.951495,-1.25884
-3.40509,1.40209,0.950254,-0.951717
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.87464,-0.575101,1.53616,-1.41001
-1.82633,-0.409703,1.51077,-2.00354
-2.88348,1.30927,1.5135,-2.24628
-3.40509,1.40209,1.45207,-2.23846
-3.20703,1.11762,1.33023,-1.98708
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.82633,-0.409703,1.2576,-0.6875
-2.88348,1.30927,1.76411,-1.24085
-3.40782,1.53106,1.7195,-1.55876
-3.40509,1.40209,1.49746,-1.63339
-3.21836,1.10302,1.04091,-1.06117
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.74679,-0.596421,1.58757,-1.16557
-1.96758,0.229885,1.73621,-1.39167
-2.86136,1.2385,2.03146,-1.96864
-3.3878,1.31478,1.19795,-1.18469
-3.01097,0.83127,1.01648,-0.954214
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.00195,-0.332817,1.58757,-1.16557
-1.96583,0.228244,1.73155,-1.39967
-3.40782,1.53106,1.97479,-1.78176
-3.15278,1.03742,2.05308,-2.17947
-3.00905,0.821569,1.14389,-1.21422
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.26904,0.904591,1.58757,-1.16557
-3.40782,1.53106,1.73155,-1.39967
-3.30305,1.35617,1.97479,-1.78176
-3.20703,1.11762,2.05308,-2.17947
-3.00905,0.821569,1.14389,-1.21422
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.9044,-0.442795,1.58757,-1.16557
-2.26904,0.904591,1.73155,-1.39967
-3.37708,1.37584,2.10917,-1.88466
-3.20703,1.11762,1.19795,-1.18469
-2.9778,0.811037,1.01648,-0.954214
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.9044,-0.442795,1.67588,-1.67954
-2.26904,0.904591,1.59135,-2.14442
-3.37708,1.37584,1.1132,-1.60684
-3.20703,1.11762,0.951495,-1.25884
-2.9778,0.811037,0.950254,-0.951717
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.82633,-0.409703,1.38249,-0.382643
-2.26904,0.904591,1.55379,-0.558451
-3.37708,1.37584,1.77823,-0.982787
-3.20703,1.11762,1.80068,-1.71401
-2.9778,0.811037,0.999977,-0.964218
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.82633,-0.409703,1.38249,-0.382643
-2.26904,0.904591,1.55379,-0.558451
-3.37708,1.37584,1.77823,-0.982787
-3.20703,1.11762,1.80068,-1.71401
-2.9778,0.811037,0.999977,-0.964218
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.03184,-0.487502,1.38249,-0.382643
-2.26904,0.904591,1.55379,-0.558451
-3.40509,1.40209,1.77823,-0.982787
-3.20703,1.11762,1.80068,-1.71401
-3.00905,0.821569,0.999977,-0.964218
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.62536,0.278353,1.80596,-1.44118
-2.26904,0.904591,1.51962,-1.78947
-3.40782,1.53106,1.41711,-2.13893
-3.20703,1.11762,1.25263,-1.81405
-2.9778,0.811037,1.1145,-1.25066
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-0.419215,-2.42831,1.36366,-1.09831
0.638676,-2.93416,1.75026,-2.46969
1.24224,-3.27402,1.08087,-1.4121
2.38081,-4.0604,1.02948,-1.19468
2.89448,-4.88265,1.01754,-1.13802
