fitness1,subfitness1,distance1,collision1,diversity1,age1,collision_points_begin1,collision_points_end1,fitness2,subfitness2,distance2,collision2,diversity2,age2,collision_points_begin2,collision_points_end2
9.02364,0,8.90954,0,0,24,-1,-1,9.14173,0,9.02364,0,0,12,-1,-1
9.02364,0,8.83877,0,0,24,1,3,9.14173,0,9.02364,0,0,12,-1,-1
9.02364,0,8.83877,0,0,24,1,3,9.25297,0,9.25297,0,0,24,-1,-1
9.02364,0,8.90954,0,0,24,-1,-1,9.25297,0,9.25297,0,0,24,-1,-1
9.02364,0,8.83877,0,0,24,1,3,9.89493,0,9.89493,0,0,24,-1,-1
9.14173,0,9.14173,0,0,24,-1,-1,9.89493,0,9.89493,0,0,24,-1,-1
9.14173,0,9.14173,0,0,24,-1,-1,9.89493,0,9.89493,0,0,24,-1,-1
9.14173,0,9.14173,0,0,24,-1,-1,9.8955,0,9.8955,0,0,24,-1,-1
9.25297,0,6.83399,0,0,24,-1,-1,9.8955,0,9.8955,0,0,24,-1,-1
9.25297,0,8.97191,0,0,24,-1,-1,9.8955,0,9.8955,0,0,24,-1,-1
9.25297,0,8.79549,0,0,24,-1,-1,10.0025,0,9.4738,0,0,6,3,6
9.25297,0,8.79549,0,0,24,-1,-1,10.0025,0,9.75807,0,0,24,4,6
9.40932,0,9.40932,0,0,24,-1,-1,10.0025,0,9.75807,0,0,24,4,6
9.66292,0,9.66292,0,0,24,-1,-1,10.0025,0,9.4738,0,0,6,3,6
9.66292,0,9.66292,0,0,24,-1,-1,10.0025,0,8.57593,0,0,12,1,6
9.66292,0,9.66292,0,0,24,-1,-1,10.0025,0,9.20778,0,0,12,0,2
9.84546,0,9.84546,0,0,24,-1,-1,10.0025,0,9.06123,0,0,12,1,6
10.0025,0,10.0025,0,0,9,1,3,10.0431,0,10.0431,0,0,12,1,2
10.0025,0,10.0025,0,0,9,1,3,10.0471,0,10.0471,0,0,12,4,6
10.0025,0,10.0025,0,0,9,1,3,10.0471,0,10.0471,0,0,12,4,6
10.0025,0,10.0025,0,0,9,1,3,10.0471,0,10.0471,0,0,12,4,6
10.0025,0,10.0025,0,0,9,1,3,10.0471,0,10.0471,0,0,12,4,6
10.0025,0,10.0025,0,0,9,1,3,10.0653,0,10.0653,0,0,12,1,2
10.2989,0,10.2989,0,0,24,1,3,10.0932,0,10.0932,0,0,24,-1,-1
10.5186,0,10.5186,0,0,24,-1,-1,10.5532,0,10.5532,0,0,12,5,6
10.6292,0,10.6292,0,0,24,2,4,10.5532,0,10.5532,0,0,12,5,6
10.6292,0,10.6292,0,0,24,2,4,10.7648,0,10.7648,0,0,24,-1,-1
10.6292,0,10.6292,0,0,24,2,4,11.2635,0,11.2635,0,0,24,5,6
10.6292,0,10.6292,0,0,24,2,4,11.2635,0,11.2635,0,0,24,5,6
10.6937,0,10.6937,0,0,24,-1,-1,11.464,0,11.464,0,0,24,-1,-1
10.6937,0,10.6937,0,0,24,-1,-1,12.2129,0,12.2129,0,0,12,0,4
11.6694,0,11.6694,0,0,9,1,3,12.2129,0,12.2129,0,0,12,0,4
11.6694,0,11.6694,0,0,9,1,3,12.2129,0,12.2129,0,0,12,0,4
11.6694,0,11.6694,0,0,9,1,3,12.2386,0,12.2386,0,0,12,-1,-1
12.2816,0,12.2816,0,0,24,2,3,12.2386,0,12.2386,0,0,12,-1,-1
12.2816,0,12.2816,0,0,24,2,3,12.2393,0,12.2393,0,0,24,-1,-1
12.5015,0,12.5015,0,0,9,1,3,12.2393,0,12.2393,0,0,24,-1,-1
12.5015,0,12.5015,0,0,9,1,3,12.2393,0,12.2393,0,0,24,-1,-1
12.5015,0,12.5015,0,0,9,1,3,12.6329,0,12.6329,0,0,12,5,6
12.8148,0,12.8148,0,0,24,-1,-1,12.8871,0,12.8871,0,0,24,-1,-1
12.8667,0,12.8667,0,0,24,-1,-1,12.8871,0,12.8871,0,0,24,-1,-1
12.8667,0,12.8667,0,0,24,-1,-1,12.9864,0,12.9864,0,0,24,5,6
12.8667,0,12.8667,0,0,24,-1,-1,13.4246,0,13.4246,0,0,24,-1,-1
12.8667,0,12.8667,0,0,24,-1,-1,13.8008,0,13.8008,0,0,12,4,6
12.8667,0,12.8667,0,0,24,-1,-1,13.8008,0,13.8008,0,0,12,4,6
13.6966,0,13.6966,0,0,24,-1,-1,14.0178,0,14.0178,0,0,12,-1,-1
14.5244,0,14.4839,0,0,3,1,3,14.0178,0,14.0178,0,0,12,-1,-1
15.1395,0,15.1395,0,0,24,1,3,14.1796,0,14.1796,0,0,24,-1,-1
15.1395,0,15.1395,0,0,3,1,3,14.1796,0,14.1796,0,0,24,-1,-1
15.8833,0,15.8833,0,0,3,1,3,14.3228,0,14.3228,0,0,12,-1,-1
16.0063,0,16.0063,0,0,3,1,3,14.3228,0,14.3228,0,0,12,-1,-1
16.0063,0,16.0063,0,0,3,1,3,14.5957,0,14.5957,0,0,24,1,6
17.0419,0,17.0419,0,0,24,-1,-1,14.6321,0,14.6321,0,0,24,0,2
17.3412,0,17.3412,0,0,24,-1,-1,14.6321,0,14.6321,0,0,24,0,2
17.909,0,17.909,0,0,24,-1,-1,14.8655,0,14.8655,0,0,12,5,6
17.909,0,17.909,0,0,24,-1,-1,14.9539,0,14.9539,0,0,12,-1,-1
20.0344,0,20.0344,0,0,24,-1,-1,15.1395,0,14.7504,0,0,12,5,6
20.0975,0,20.0975,0,0,24,-1,-1,15.1395,0,14.5244,0,0,3,4,6
21.0504,0,21.0504,0,0,6,-1,-1,15.2346,0,15.2346,0,0,12,-1,-1
21.0504,0,21.0504,0,0,6,-1,-1,15.3204,0,15.3204,0,0,12,4,6
21.0504,0,21.0504,0,0,6,-1,-1,15.5988,0,15.5988,0,0,12,-1,-1
21.5276,0,21.5276,0,0,24,-1,-1,15.5988,0,15.5988,0,0,12,-1,-1
21.7102,0,21.7102,0,0,12,-1,-1,15.6479,0,15.6479,0,0,24,4,6
21.9528,0,21.9528,0,0,12,-1,-1,15.67,0,15.67,0,0,24,-1,-1
21.9528,0,21.9528,0,0,12,-1,-1,15.67,0,15.67,0,0,24,-1,-1
22.1119,0,22.1119,0,0,12,-1,-1,15.7687,0,15.7687,0,0,24,-1,-1
22.1119,0,22.1119,0,0,12,-1,-1,16.2787,0,16.2787,0,0,24,0,2
22.1639,0,22.1639,0,0,12,-1,-1,16.4574,0,16.4574,0,0,24,-1,-1
22.1639,0,22.1639,0,0,12,-1,-1,16.4907,0,16.4907,0,0,24,-1,-1
22.1639,0,22.1639,0,0,12,-1,-1,16.4907,0,16.4907,0,0,24,-1,-1
22.1639,0,22.1639,0,0,12,-1,-1,16.588,0,16.588,0,0,6,4,6
22.2134,0,22.2134,0,0,12,-1,-1,16.6057,0,16.6057,0,0,12,5,6
22.2134,0,22.2134,0,0,12,-1,-1,16.6713,0,16.6713,0,0,24,-1,-1
22.2368,0,22.2368,0,0,12,-1,-1,16.6713,0,16.6713,0,0,24,-1,-1
22.2523,0,22.2523,0,0,12,-1,-1,16.911,0,16.911,0,0,12,-1,-1
22.2523,0,22.2523,0,0,12,-1,-1,16.9726,0,16.9726,0,0,24,-1,-1
22.2523,0,22.2523,0,0,12,-1,-1,17.335,0,17.335,0,0,24,1,2
22.2633,0,12.2633,1,0,24,2,3,17.4694,0,17.4694,0,0,24,4,6
22.2633,0,12.2633,1,0,24,2,3,18.2198,0,18.2198,0,0,24,5,6
22.2896,0,22.2896,0,0,12,-1,-1,18.4542,0,18.4542,0,0,24,4,6
22.2896,0,22.2896,0,0,12,-1,-1,18.6886,0,18.6886,0,0,24,3,6
22.4298,0,22.4298,0,0,12,-1,-1,18.9051,0,18.9051,0,0,12,-1,-1
22.4298,0,22.4298,0,0,12,-1,-1,18.9051,0,18.9051,0,0,12,-1,-1
22.479,0,22.479,0,0,12,-1,-1,19.1417,0,8.31962,1,0,24,1,2
22.5279,0,22.5279,0,0,12,-1,-1,20.0025,0,9.75785,1,0,6,3,4
22.5316,0,22.5316,0,0,12,-1,-1,20.0025,0,8.82077,1,0,12,4,6
22.5316,0,22.5316,0,0,12,-1,-1,20.0025,0,8.82077,1,0,12,4,6
22.5679,0,22.5679,0,0,24,-1,-1,21.3753,0,21.3753,0,0,24,-1,-1
22.5728,0,22.5728,0,0,12,-1,-1,21.3882,0,21.3882,0,0,24,5,6
22.6467,0,22.6467,0,0,12,-1,-1,21.5671,0,21.5671,0,0,12,-1,-1
22.6762,0,22.6762,0,0,12,-1,-1,21.5671,0,21.5671,0,0,12,-1,-1
22.6762,0,22.6762,0,0,12,-1,-1,21.5671,0,21.5671,0,0,12,-1,-1
22.7907,0,22.7907,0,0,12,-1,-1,21.959,0,21.959,0,0,6,4,6
22.8182,0,22.8182,0,0,12,-1,-1,22.5101,0,22.5101,0,0,6,3,4
22.9223,0,22.9223,0,0,12,-1,-1,22.5101,0,22.5101,0,0,6,3,4
22.9288,0,22.9288,0,0,12,-1,-1,23.4561,0,13.4561,1,0,12,4,6
22.9373,0,22.9373,0,0,12,-1,-1,24.1144,0,24.1144,0,0,6,-1,-1
23.0153,0,23.0153,0,0,12,-1,-1,24.1144,0,24.1144,0,0,6,-1,-1
23.0247,0,23.0247,0,0,12,-1,-1,24.1144,0,24.1144,0,0,6,-1,-1
23.0267,0,23.0267,0,0,24,-1,-1,24.1144,0,24.1144,0,0,6,-1,-1
23.1346,0,23.1346,0,0,12,-1,-1,24.1144,0,24.1144,0,0,6,-1,-1
23.3668,0,23.3668,0,0,24,-1,-1,24.1203,0,24.1203,0,0,24,5,6
23.4074,0,23.4074,0,0,12,-1,-1,24.4244,0,24.4244,0,0,6,3,5
23.608,0,23.608,0,0,24,-1,-1,24.773,0,24.773,0,0,24,3,4
23.6708,0,23.6708,0,0,12,5,6,24.9011,0,24.9011,0,0,6,-1,-1
23.7235,0,23.7235,0,0,24,-1,-1,24.9011,0,24.9011,0,0,6,-1,-1
24.2568,0,24.2568,0,0,6,-1,-1,25.1395,0,9.52315,1,0,6,2,6
24.2568,0,24.2568,0,0,6,-1,-1,25.1559,0,25.1559,0,0,6,-1,-1
24.2568,0,24.2568,0,0,6,-1,-1,25.1559,0,25.1559,0,0,6,-1,-1
24.3879,0,24.3879,0,0,12,-1,-1,25.6851,0,25.6851,0,0,24,4,6
25.6767,0,25.6767,0,0,6,-1,-1,25.6851,0,25.6851,0,0,24,4,6
25.6767,0,25.6767,0,0,6,-1,-1,26.0792,0,20.0156,0,0,6,1,2
31.972,0,31.972,0,0,3,2,4,26.0792,0,16.0451,0,0,12,0,6
31.972,0,31.972,0,0,3,2,4,26.0792,0,24.8712,0,0,12,1,2
33.1558,0,13.1558,2,0,24,2,3,26.0792,0,19.2783,0,0,12,1,4
33.2822,0,33.2822,0,0,3,1,3,26.0792,0,19.9043,0,0,12,2,3
40.0734,0,20.0734,2,0,6,2,4,26.0792,0,5.71995,0,0,12,1,3
40.0734,0,20.0734,2,0,6,2,4,26.0792,0,21.5387,0,0,6,5,6
41.8521,0,41.8521,0,0,6,-1,-1,26.5621,0,26.5621,0,0,6,4,6
42.1156,0,42.1156,0,0,6,-1,-1,26.632,0,26.632,0,0,3,4,6
42.1156,0,42.1156,0,0,6,-1,-1,27.4463,0,27.4463,0,0,3,5,6
42.1156,0,42.1156,0,0,6,-1,-1,27.4605,0,27.4605,0,0,6,3,4
42.1156,0,42.1156,0,0,6,-1,-1,27.4605,0,27.4605,0,0,6,3,4
42.1169,0,42.1169,0,0,6,-1,-1,28.2142,0,28.2142,0,0,3,5,6
42.1611,0,42.1611,0,0,6,-1,-1,28.2142,0,28.2142,0,0,3,5,6
42.2526,0,42.2526,0,0,6,-1,-1,28.4449,0,28.4449,0,0,3,3,4
42.2526,0,42.2526,0,0,6,-1,-1,28.4449,0,28.4449,0,0,3,3,4
42.2606,0,42.2606,0,0,6,-1,-1,28.4449,0,28.4449,0,0,3,3,4
42.2781,0,42.2781,0,0,6,-1,-1,28.8781,0,28.8781,0,0,6,-1,-1
42.2891,0,42.2891,0,0,6,-1,-1,28.8781,0,28.8781,0,0,6,-1,-1
42.2891,0,42.2891,0,0,6,-1,-1,29.0453,0,29.0453,0,0,6,-1,-1
42.3188,0,42.3188,0,0,6,-1,-1,29.0453,0,29.0453,0,0,6,-1,-1
42.3491,0,42.3491,0,0,6,-1,-1,29.2368,0,19.2368,1,0,6,3,6
42.3491,0,42.3491,0,0,6,-1,-1,29.2942,0,29.2942,0,0,6,-1,-1
42.4179,0,42.4179,0,0,6,-1,-1,29.4383,0,29.4383,0,0,3,-1,-1
42.4722,0,42.4722,0,0,6,-1,-1,29.4415,0,29.4415,0,0,6,1,3
42.5916,0,42.5916,0,0,6,-1,-1,29.4415,0,29.4415,0,0,6,1,3
42.5916,0,42.5916,0,0,6,-1,-1,29.6815,0,29.6815,0,0,3,-1,-1
42.6773,0,42.6773,0,0,6,-1,-1,29.6815,0,29.6815,0,0,3,-1,-1
42.6848,0,42.6848,0,0,6,-1,-1,29.6815,0,29.6815,0,0,3,-1,-1
42.7401,0,42.7401,0,0,6,-1,-1,29.863,0,29.863,0,0,6,-1,-1
42.7935,0,42.7935,0,0,6,-1,-1,30.0907,0,30.0907,0,0,3,-1,-1
42.8379,0,42.8379,0,0,6,-1,-1,30.7136,0,30.7136,0,0,6,5,6
42.8379,0,42.8379,0,0,6,-1,-1,30.7525,0,30.7525,0,0,6,-1,-1
42.9702,0,42.9702,0,0,6,-1,-1,31.0517,0,31.0517,0,0,6,-1,-1
42.9702,0,42.9702,0,0,6,-1,-1,31.1167,0,31.1167,0,0,6,5,6
43.0587,0,43.0587,0,0,6,-1,-1,31.1167,0,31.1167,0,0,6,5,6
43.0587,0,43.0587,0,0,6,-1,-1,31.3542,0,31.3542,0,0,3,-1,-1
43.1093,0,43.1093,0,0,6,-1,-1,31.3542,0,31.3542,0,0,3,-1,-1
43.1998,0,43.1998,0,0,6,-1,-1,31.5859,0,31.5859,0,0,3,-1,-1
43.2755,0,43.2755,0,0,6,-1,-1,31.674,0,31.674,0,0,6,-1,-1
43.3445,0,43.3445,0,0,3,-1,-1,36.0792,0,22.3781,1,0,6,2,4
43.3445,0,43.3445,0,0,3,-1,-1,36.0792,0,7.41077,1,0,6,2,4
43.3445,0,43.3445,0,0,3,-1,-1,36.0792,0,12.5807,1,0,12,0,6
43.3741,0,43.3741,0,0,3,-1,-1,36.0792,0,12.5807,1,0,12,0,6
43.3796,0,43.3796,0,0,3,-1,-1,36.0792,0,24.0945,1,0,9,0,6
43.478,0,43.478,0,0,6,-1,-1,39.5087,0,39.5087,0,0,3,4,6
43.5437,0,43.5437,0,0,3,-1,-1,40.4507,0,40.4507,0,0,3,4,6
43.6403,0,43.6403,0,0,6,-1,-1,40.5595,0,40.5595,0,0,3,5,6
43.7868,0,13.7868,3,0,3,1,3,40.5595,0,40.5595,0,0,3,5,6
43.9376,0,43.9376,0,0,6,-1,-1,40.8973,0,40.8973,0,0,6,5,6
43.9403,0,43.9403,0,0,6,-1,-1,41.2113,0,41.2113,0,0,3,4,6
44.5244,0,12.1996,3,0,3,1,3,41.2113,0,41.2113,0,0,3,4,6
44.5663,0,44.5663,0,0,6,-1,-1,41.3023,0,41.3023,0,0,3,3,6
44.571,0,44.571,0,0,6,-1,-1,41.3297,0,41.3297,0,0,3,4,6
44.571,0,44.571,0,0,6,-1,-1,41.3427,0,21.3427,2,0,6,3,4
51.71,0,51.71,0,0,3,-1,-1,45.4088,0,45.4088,0,0,3,4,6
51.71,0,51.71,0,0,3,-1,-1,45.4088,0,45.4088,0,0,3,4,6
54.225,0,54.225,0,0,3,-1,-1,45.4088,0,45.4088,0,0,3,4,6
54.225,0,54.225,0,0,3,-1,-1,45.54,0,45.54,0,0,3,4,6
54.3075,0,54.3075,0,0,3,-1,-1,45.54,0,45.54,0,0,3,4,6
54.3075,0,54.3075,0,0,3,-1,-1,46.0792,0,26.0184,2,0,6,0,1
56.9827,0,56.9827,0,0,3,-1,-1,46.0792,0,5.26505,2,0,6,0,4
56.9827,0,56.9827,0,0,3,-1,-1,46.0792,0,5.26505,2,0,6,0,4
56.9827,0,56.9827,0,0,3,-1,-1,47.7778,0,47.7778,0,0,3,4,6
57.3076,0,37.3076,2,0,3,0,2,48.8864,0,48.8864,0,0,3,4,6
57.3076,0,37.3076,2,0,3,0,2,50.2956,0,30.2956,2,0,6,0,1
57.8664,0,17.8664,4,0,3,0,2,51.2097,0,51.2097,0,0,3,4,6
57.8664,0,17.8664,4,0,3,0,2,51.8306,0,51.8306,0,0,3,5,6
57.8664,0,17.8664,4,0,3,0,2,51.8306,0,51.8306,0,0,3,5,6
60.4075,0,60.4075,0,0,3,-1,-1,52.4775,0,52.4775,0,0,3,4,6
67.623,0,27.623,4,0,3,0,1,56.0792,0,7.08357,3,0,6,1,6
67.623,0,27.623,4,0,3,0,1,56.0792,0,18.8813,3,0,6,0,2
68.3818,0,38.3818,3,0,3,0,1,56.1985,0,56.1985,0,0,3,2,4
68.4625,0,28.4625,4,0,3,0,1,63.7384,0,53.7384,1,0,3,5,6
68.4625,0,28.4625,4,0,3,0,1,65.1953,0,45.1953,2,0,3,0,6
69.6685,0,29.6685,4,0,3,0,1,65.1953,0,45.1953,2,0,3,0,6
71.3326,0,31.3326,4,0,3,5,6,65.1953,0,45.1953,2,0,3,0,6
71.3326,0,31.3326,4,0,3,5,6,65.1953,0,45.1953,2,0,3,0,6
77.6259,0,37.6259,4,0,3,0,1,68.2015,0,28.2015,4,0,3,0,2
82.0951,0,32.0951,5,0,3,0,1,69.5324,0,39.5324,3,0,3,0,1
85.8769,0,25.8769,6,0,3,5,6,70.0109,0,40.0109,3,0,3,0,1
92.4795,0,12.4795,8,0,3,4,6,70.0109,0,40.0109,3,0,3,0,1
93.3938,0,33.3938,6,0,3,0,1,70.6042,0,40.6042,3,0,3,0,1
93.9022,0,33.9022,6,0,3,0,1,73.2609,0,33.2609,4,0,3,0,1
97.2269,0,47.2269,5,0,3,5,6,73.2609,0,33.2609,4,0,3,0,1
122.152,0,52.1522,7,0,3,5,6,79.5136,0,39.5136,4,0,3,0,1
126.775,0,16.7751,11,0,3,4,6,85.067,0,55.067,3,0,3,0,1
127.541,0,37.5408,9,0,3,5,6,86.8201,0,26.8201,6,0,6,0,2
134.524,0,12.8453,12,0,3,3,6,118.131,0,28.1307,9,0,6,0,2
