generation,LAYER1-0,LAYER1-1,LAYER1-2,LAYER1-3,LAYER1-4,LAYER2-0,LAYER2-1,LAYER2-2,LAYER2-3,LAYER2-4,
0,56.557,,,,,56.557,,,,,
1,56.557,,,,,56.557,,,,,
2,42.8076,,,,,56.557,,,,,
3,42.8076,,,,,42.8076,,,,,
4,38.4972,,,,,42.8076,,,,,
5,38.4972,,,,,32.8725,32.8725,,,,
6,29.8038,29.8038,,,,32.8725,32.8725,,,,
7,29.8038,29.8038,,,,26.6096,26.6096,,,,
8,25.5667,17.1542,,,,26.6096,26.6096,,,,
9,25.5667,17.1542,,,,17.1542,25.5667,,,,
10,24.9014,17.1542,,,,17.1542,25.5667,,,,
11,24.9014,17.1542,,,,24.9014,17.1542,24.9014,,,
12,26.9259,24.8594,17.1542,,,24.9014,17.1542,24.9014,,,
13,26.9259,24.8594,17.1542,,,24.8594,17.1542,24.8594,,,
14,26.9259,24.3039,17.1542,,,24.8594,17.1542,24.8594,,,
15,26.9259,24.3039,17.1542,,,23.992,17.1542,24.3039,,,
16,19.9244,23.9655,17.1542,,,23.992,17.1542,24.3039,,,
17,19.9244,23.9655,17.1542,,,18.3656,23.9655,16.7382,,,
18,27.2534,19.9198,16.7382,,,18.3656,23.9655,16.7382,,,
19,27.2534,19.9198,16.7382,,,18.3656,27.2534,16.7382,,,
20,23.5296,19.9198,16.7382,,,18.3656,27.2534,16.7382,,,
21,23.5296,19.9198,16.7382,,,18.3656,23.5296,16.7316,,,
22,23.5296,19.9198,16.7316,,,18.3656,23.5296,16.7316,,,
23,23.5296,19.9198,16.7316,,,23.5296,17.9704,22.7551,16.7316,,
24,26.0383,22.8501,19.9198,16.7316,,23.5296,17.9704,22.7551,16.7316,,
25,26.0383,22.8501,19.9198,16.7316,,22.8501,17.9704,21.232,16.7316,,
26,26.0383,21.9153,19.9198,16.7316,,22.8501,17.9704,21.232,16.7316,,
27,26.0383,21.9153,19.9198,16.7316,,21.9153,17.9704,21.232,16.7316,,
28,26.0383,21.9153,19.9198,16.7316,,21.9153,17.9704,21.232,16.7316,,
29,26.0383,21.9153,19.9198,16.7316,,21.9153,21.9153,16.3153,16.2957,,
30,27.467,24.4403,18.1354,16.285,,21.9153,21.9153,16.3153,16.2957,,
31,27.467,24.4403,18.1354,16.285,,18.1354,18.1354,16.3153,16.285,,
32,25.8359,14.149,16.4093,16.285,,18.1354,18.1354,16.3153,16.285,,
33,25.8359,14.149,16.4093,16.285,,17.0279,14.149,16.3153,16.285,,
34,16.1034,14.149,14.149,16.2223,,17.0279,14.149,16.3153,16.285,,
35,16.1034,14.149,14.149,16.2223,,27.3173,12.2426,12.2426,12.2426,,
36,42.3229,10.0301,22.4462,11.2973,,27.3173,12.2426,12.2426,12.2426,,
37,42.3229,10.0301,22.4462,11.2973,,10.0301,10.0301,10.0301,11.2973,,
38,42.2574,10.0301,22.2259,10.7738,,10.0301,10.0301,10.0301,11.2973,,
39,42.2574,10.0301,22.2259,10.7738,,10.0301,10.0301,10.0301,10.7738,,
40,41.1933,10.0025,22.084,10.6931,,10.0301,10.0301,10.0301,10.7738,,
41,41.1933,10.0025,22.084,10.6931,,22.084,10.0025,10.0025,10.6931,,
42,43.4468,33.4001,10.0025,9.40731,,22.084,10.0025,10.0025,10.6931,,
43,43.4468,33.4001,10.0025,9.40731,,29.4383,10.0025,9.25716,9.25716,,
44,25.1395,26.0792,10.0025,9.14173,,29.4383,10.0025,9.25716,9.25716,,
45,25.1395,26.0792,10.0025,9.14173,,15.1395,10.0025,9.14173,9.25297,,
46,14.5244,21.0504,10.0025,9.02364,,15.1395,10.0025,9.14173,9.25297,,
47,14.5244,21.0504,10.0025,9.02364,,23.8643,14.5244,9.73266,8.90954,9.2164,
48,11.6008,14.5244,11.6694,21.4368,8.60275,23.8643,14.5244,9.73266,8.90954,9.2164,
49,11.6008,14.5244,11.6694,21.4368,8.60275,21.4368,14.4839,11.6008,8.60275,8.60275,
50,11.6008,14.2266,8.45544,21.3501,8.45544,21.4368,14.4839,11.6008,8.60275,8.60275,
51,11.6008,14.2266,8.45544,21.3501,8.45544,21.3501,14.2266,11.6008,7.82568,8.57503,
52,11.6008,13.953,10.1605,11.7287,7.53648,21.3501,14.2266,11.6008,7.82568,8.57503,
53,11.6008,13.953,10.1605,11.7287,7.53648,29.2869,10.1605,10.1605,7.53648,8.18845,
54,26.5106,11.9084,9.72855,10.1605,7.53648,29.2869,10.1605,10.1605,7.53648,8.18845,
55,26.5106,11.9084,9.72855,10.1605,7.53648,13.475,9.72855,9.72855,7.53648,8.18845,
56,26.5106,12.2682,9.59429,10.1605,7.53648,13.475,9.72855,9.72855,7.53648,8.18845,
57,26.5106,12.2682,9.59429,10.1605,7.53648,11.8633,9.14533,9.59429,7.53648,8.18845,
58,26.3728,12.2682,8.34816,8.65597,7.53648,11.8633,9.14533,9.59429,7.53648,8.18845,
59,26.3728,12.2682,8.34816,8.65597,7.53648,10.1543,10.4179,8.34816,7.53648,8.18845,
60,42.809,26.3728,10.4208,7.93576,7.53648,10.1543,10.4179,8.34816,7.53648,8.18845,
61,42.809,26.3728,10.4208,7.93576,7.53648,19.1976,9.70435,8.43377,7.53648,7.69037,
62,42.7954,23.9685,9.70435,7.69037,7.53648,19.1976,9.70435,8.43377,7.53648,7.69037,
63,42.7954,23.9685,9.70435,7.69037,7.53648,18.8887,9.70435,8.37171,7.53648,7.60446,
64,35.2805,23.9685,8.83396,7.60446,7.53648,18.8887,9.70435,8.37171,7.53648,7.60446,
65,35.2805,23.9685,8.83396,7.60446,7.53648,22.1517,11.7982,8.36804,7.53648,7.46189,
66,28.245,35.2805,9.42792,7.46189,7.53648,22.1517,11.7982,8.36804,7.53648,7.46189,
67,28.245,35.2805,9.42792,7.46189,7.53648,27.6598,10.6627,7.63866,7.47022,7.46189,
68,28.245,35.1135,9.42792,7.46189,7.47022,27.6598,10.6627,7.63866,7.47022,7.46189,
69,28.245,35.1135,9.42792,7.46189,7.47022,15.1979,8.72024,7.63866,7.47022,7.46189,
70,25.8206,32.8842,9.42792,7.46189,7.47022,15.1979,8.72024,7.63866,7.47022,7.46189,
71,25.8206,32.8842,9.42792,7.46189,7.47022,25.8206,13.4602,8.72024,7.63866,7.46189,
72,35.816,25.8206,22.5021,7.46189,7.63866,25.8206,13.4602,8.72024,7.63866,7.46189,
73,35.816,25.8206,22.5021,7.46189,7.63866,22.5021,11.9418,7.94573,7.63866,7.46189,
74,35.1969,25.397,22.5021,7.46189,7.63866,22.5021,11.9418,7.94573,7.63866,7.46189,
75,35.1969,25.397,22.5021,7.46189,7.63866,22.5021,10.6173,7.94573,7.63866,7.46189,
76,35.0904,24.4408,22.5021,7.46189,7.63866,22.5021,10.6173,7.94573,7.63866,7.46189,
77,35.0904,24.4408,22.5021,7.46189,7.63866,22.5021,22.5021,7.94573,7.60925,7.46189,
78,27.2977,32.992,23.9321,11.009,7.46189,22.5021,22.5021,7.94573,7.60925,7.46189,
79,27.2977,32.992,23.9321,11.009,7.46189,20.068,23.9321,9.39774,10.1072,7.46189,
80,20.068,28.4506,23.5284,10.5712,7.46189,20.068,23.9321,9.39774,10.1072,7.46189,
81,20.068,28.4506,23.5284,10.5712,7.46189,16.7502,21.2186,9.12956,10.1072,7.46189,
82,15.6303,27.4483,23.2844,9.12956,7.46189,16.7502,21.2186,9.12956,10.1072,7.46189,
83,15.6303,27.4483,23.2844,9.12956,7.46189,24.0271,15.6303,21.0267,8.66717,7.46189,
84,23.7443,12.2135,22.9686,8.66717,7.46189,24.0271,15.6303,21.0267,8.66717,7.46189,
85,23.7443,12.2135,22.9686,8.66717,7.46189,22.9686,13.4927,16.2336,8.59106,7.46189,
86,23.1159,12.2979,22.1728,8.59106,7.46189,22.9686,13.4927,16.2336,8.59106,7.46189,
87,23.1159,12.2979,22.1728,8.59106,7.46189,22.1728,11.7755,13.8078,8.59106,7.46189,
88,13.8078,10.9586,22.0009,8.28829,7.46189,22.1728,11.7755,13.8078,8.59106,7.46189,
89,13.8078,10.9586,22.0009,8.28829,7.46189,14.1851,10.9586,10.9586,8.28829,7.46189,
90,30.3035,23.2847,10.0547,8.28829,7.46189,14.1851,10.9586,10.9586,8.28829,7.46189,
91,30.3035,23.2847,10.0547,8.28829,7.46189,10.0547,11.5349,9.18806,8.19365,7.46189,
92,13.9456,19.8071,9.64609,7.6999,7.46189,10.0547,11.5349,9.18806,8.19365,7.46189,
93,13.9456,19.8071,9.64609,7.6999,7.46189,9.62334,11.4586,9.18806,7.6999,7.46189,
94,13.9456,18.5539,9.09114,7.6999,7.46189,9.62334,11.4586,9.18806,7.6999,7.46189,
95,13.9456,18.5539,9.09114,7.6999,7.46189,13.9456,7.93215,9.60035,8.44831,7.46189,
96,41.4778,12.0478,9.17105,11.2544,7.46189,13.9456,7.93215,9.60035,8.44831,7.46189,
97,41.4778,12.0478,9.17105,11.2544,7.46189,12.0478,11.2544,10.2314,9.17105,7.46189,
