fitness1,subfitness1,distance1,collision1,diversity1,age1,collision_points_begin1,collision_points_end1,fitness2,subfitness2,distance2,collision2,diversity2,age2,collision_points_begin2,collision_points_end2
7.46189,0,7.43164,0,0,21,-1,-1,7.46189,0,7.46189,0,0,36,3,4
7.46189,0,7.43164,0,0,21,-1,-1,7.46189,0,7.46189,0,0,36,3,4
7.47022,0,7.47022,0,0,36,3,4,7.46189,0,7.46189,0,0,36,3,4
7.47022,0,7.47022,0,0,36,3,4,7.46189,0,7.46189,0,0,36,3,4
7.47022,0,7.47022,0,0,36,3,4,7.47022,0,7.41886,0,0,24,-1,-1
7.47022,0,7.47022,0,0,36,3,4,7.47833,0,7.47833,0,0,24,-1,-1
7.47022,0,7.47022,0,0,36,3,4,7.47833,0,7.47833,0,0,24,-1,-1
7.91984,0,7.91984,0,0,24,-1,-1,7.63866,0,7.63866,0,0,12,-1,-1
7.91984,0,7.91984,0,0,24,-1,-1,7.63866,0,7.63866,0,0,12,-1,-1
7.97321,0,7.97321,0,0,24,3,4,8.25596,0,8.25596,0,0,12,-1,-1
8.31219,0,8.31219,0,0,36,-1,-1,8.72024,0,8.72024,0,0,6,-1,-1
8.31219,0,8.31219,0,0,36,-1,-1,8.72024,0,8.72024,0,0,6,-1,-1
8.498,0,8.498,0,0,36,-1,-1,8.72024,0,8.72024,0,0,6,-1,-1
8.63066,0,8.63066,0,0,21,-1,-1,8.72024,0,8.72024,0,0,6,-1,-1
8.72024,0,6.90902,0,0,21,2,4,8.73343,0,8.73343,0,0,12,-1,-1
8.79986,0,8.79986,0,0,24,2,4,8.73343,0,8.73343,0,0,12,-1,-1
8.88358,0,8.88358,0,0,21,3,4,8.73343,0,8.73343,0,0,12,-1,-1
8.96532,0,8.96532,0,0,36,-1,-1,8.95444,0,8.95444,0,0,12,-1,-1
8.96832,0,8.96832,0,0,24,-1,-1,8.95444,0,8.95444,0,0,12,-1,-1
9.12745,0,9.12745,0,0,36,-1,-1,9.00946,0,9.00946,0,0,24,-1,-1
9.14022,0,9.14022,0,0,21,2,3,9.00946,0,9.00946,0,0,24,-1,-1
9.15011,0,9.15011,0,0,21,-1,-1,9.1061,0,9.1061,0,0,24,-1,-1
9.20948,0,9.20948,0,0,36,3,4,9.11021,0,9.11021,0,0,24,-1,-1
9.20948,0,9.20948,0,0,36,3,4,9.15876,0,9.15876,0,0,24,-1,-1
9.20948,0,9.20948,0,0,36,3,4,9.15876,0,9.15876,0,0,24,-1,-1
9.42792,0,9.42792,0,0,12,3,4,9.16226,0,9.16226,0,0,12,-1,-1
9.42792,0,9.42792,0,0,12,3,4,9.16226,0,9.16226,0,0,12,-1,-1
9.47111,0,9.47111,0,0,24,3,4,9.19134,0,9.19134,0,0,24,-1,-1
9.47111,0,9.47111,0,0,24,3,4,9.40108,0,9.40108,0,0,36,-1,-1
9.47111,0,9.47111,0,0,24,3,4,9.40108,0,9.40108,0,0,36,-1,-1
9.58987,0,9.58987,0,0,36,3,4,9.42792,0,8.51481,0,0,24,2,3
