fitness1,subfitness1,distance1,collision1,diversity1,age1,collision_points_begin1,collision_points_end1,fitness2,subfitness2,distance2,collision2,diversity2,age2,collision_points_begin2,collision_points_end2
7.46189,0,7.38995,0,0,49,-1,-1,7.46189,0,7.46189,0,0,50,-1,-1
7.46189,0,7.38995,0,0,49,-1,-1,7.46189,0,7.46189,0,0,50,-1,-1
7.46189,0,7.38995,0,0,49,-1,-1,9.10873,0,9.10873,0,0,50,-1,-1
7.46189,0,7.38995,0,0,49,-1,-1,9.10873,0,9.10873,0,0,50,-1,-1
7.46189,0,7.3368,0,0,49,-1,-1,9.17105,0,8.23209,0,0,14,1,4
7.46189,0,7.38995,0,0,49,-1,-1,9.17105,0,8.23209,0,0,14,1,4
7.46189,0,7.3368,0,0,49,-1,-1,9.17105,0,8.44831,0,0,14,1,4
7.80966,0,7.80966,0,0,34,-1,-1,9.17105,0,8.23209,0,0,14,1,4
7.80966,0,7.80966,0,0,34,-1,-1,9.17105,0,8.23209,0,0,14,1,4
7.80966,0,7.80966,0,0,34,-1,-1,9.17105,0,8.23209,0,0,14,1,4
7.90607,0,7.90607,0,0,49,-1,-1,9.91043,0,9.91043,0,0,14,-1,-1
7.90607,0,7.90607,0,0,49,-1,-1,10.2306,0,10.2306,0,0,50,1,3
7.90607,0,7.90607,0,0,49,-1,-1,10.2306,0,10.2306,0,0,50,1,3
7.93215,0,7.58474,0,0,25,2,4,10.2314,0,10.2314,0,0,11,1,2
8.44036,0,8.44036,0,0,49,-1,-1,10.2314,0,10.2314,0,0,11,1,2
8.44036,0,8.44036,0,0,49,-1,-1,10.2431,0,10.2431,0,0,50,-1,-1
8.44831,0,7.25534,0,0,25,3,4,10.2431,0,10.2431,0,0,50,-1,-1
8.92442,0,8.92442,0,0,49,-1,-1,10.2431,0,10.2431,0,0,50,-1,-1
8.93951,0,8.93951,0,0,49,-1,-1,10.6469,0,10.6469,0,0,50,1,3
8.94628,0,8.94628,0,0,49,-1,-1,10.8397,0,10.8397,0,0,14,-1,-1
8.94628,0,8.94628,0,0,49,-1,-1,10.8397,0,10.8397,0,0,14,-1,-1
8.9696,0,8.9696,0,0,25,2,4,10.8404,0,10.8404,0,0,14,-1,-1
8.9696,0,8.9696,0,0,25,2,4,10.8447,0,10.8447,0,0,50,1,2
