robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
2.74605,0.536848,-3.5175,-0.224837
-1.4888,-2.12135,0.731925,2.41001
5,5,-5,-5
2.57611,0.626812,-3.8722,-0.128853
-1.61021,-2.10717,0.499314,2.29805
5,5,-5,-5
2.40972,0.723264,-4.24356,-0.0575511
-1.72823,-2.08339,0.244004,2.14739
5,5,-5,-5
2.24716,0.826049,-4.62191,-0.0143158
-1.84155,-2.05187,-0.0286354,1.96099
5,5,-5,-5
2.08868,0.934999,-4.99711,-8.36652e-07
-1.94876,-2.01441,-0.311492,1.74499
5,5,-5,-5
1.93455,1.04993,-5.359,-0.012905
-2.04834,-1.97274,-0.59612,1.50859
5,5,-5,-5
1.78501,1.17066,-5.69786,-0.0489408
-2.13866,-1.9285,-0.873228,1.26365
5,5,-5,-5
1.6403,1.29697,-6.00472,-0.101986
-2.21797,-1.88323,-1.1332,1.02421
5,5,-5,-5
1.50065,1.42865,-6.27155,-0.164385
-2.2844,-1.83836,-1.36657,0.805796
5,5,-5,-5
1.36627,1.56547,-6.49128,-0.227569
-2.33592,-1.79515,-1.56444,0.624682
5,5,-5,-5
1.23838,1.70604,-6.66588,-0.285677
-2.36819,-1.75701,-1.72695,0.493383
5,5,-5,-5
1.11755,1.84935,-6.80482,-0.337101
-2.37983,-1.72393,-1.86096,0.410059
5,5,-5,-5
1.0031,1.99587,-6.9127,-0.380303
-2.37327,-1.69197,-1.96908,0.368497
5,5,-5,-5
0.894435,2.14617,-6.99387,-0.414755
-2.35115,-1.65727,-2.05447,0.36135
5,5,-5,-5
0.791085,2.30092,-7.05249,-0.440691
-2.31635,-1.61621,-2.12038,0.380455
5,5,-5,-5
0.692709,2.46086,-7.09247,-0.458902
-2.27194,-1.56542,-2.1698,0.417095
5,5,-5,-5
0.599101,2.6268,-7.11759,-0.470563
-2.2212,-1.50187,-2.20537,0.462202
5,5,-5,-5
0.510199,2.79962,-7.13153,-0.477105
