robo1_x,robo1_y,robo2_x,robo2_y
5,5,-5,-5
2.91927,0.453513,-3.18821,-0.339805
-1.36518,-2.12399,0.938467,2.48341
5,5,-5,-5
3.11199,0.370161,-3.5942,-0.201697
-1.13247,-2.27268,0.609609,2.50534
5,5,-5,-5
3.30804,0.294973,-4.04214,-0.0926079
-0.89543,-2.41258,0.238709,2.49087
5,5,-5,-5
3.50708,0.228084,-4.51655,-0.0234274
-0.654423,-2.54354,-0.160565,2.43124
5,5,-5,-5
3.70875,0.16961,-5.00001,-1.11626e-11
-0.409806,-2.66544,-0.572355,2.3229
5,5,-5,-5
3.91269,0.119655,-5.47431,-0.0225474
-0.161945,-2.77816,-0.979733,2.16807
5,5,-5,-5
4.11856,0.0783071,-5.92171,-0.0856883
0.0887897,-2.88159,-1.36598,1.97473
5,5,-5,-5
4.32598,0.0456389,-6.3261,-0.17906
0.342025,-2.97564,-1.7157,1.75595
5,5,-5,-5
4.53458,0.0217083,-6.67371,-0.288451
0.597383,-3.06025,-2.01561,1.5287
5,5,-5,-5
4.74401,0.00655723,-6.95326,-0.397307
0.854486,-3.13535,-2.25465,1.3124
5,5,-5,-5
4.95389,0.000212591,-7.15541,-0.488436
1.11295,-3.20091,-2.42359,1.12707
5,5,-5,-5
5.16813,0.00282762,-7.28299,-0.551633
1.37741,-3.2576,-2.52459,0.983831
5,5,-5,-5
5.3887,0.0151316,-7.35096,-0.587178
1.65025,-3.30511,-2.57118,0.880371
5,5,-5,-5
5.61228,0.0376307,-7.3681,-0.596353
1.92772,-3.34231,-2.57107,0.813806
5,5,-5,-5
5.83557,0.0703119,-7.34216,-0.582502
2.20601,-3.36863,-2.53113,0.779125
5,5,-5,-5
6.05529,0.112633,-7.28023,-0.550217
2.48134,-3.38406,-2.45768,0.770025
5,5,-5,-5
6.2683,0.163534,-7.1891,-0.504687
2.75001,-3.38915,-2.35685,0.779572
5,5,-5,-5
6.47161,0.221469,-7.07561,-0.45117
3.00842,-3.38495,-2.23487,0.800741
5,5,-5,-5
6.66243,0.284458,-6.94682,-0.394578
