robo1_q0,robo1_q1,robo2_q0,robo2_q1
-2,-0.6,1.2,-0.6
-2.19456,-0.297267,1.44791,-0.924148
-2.51537,0.322614,1.69583,-1.2483
-3.06003,1.38735,1.81914,-1.44225
-3.4339,1.68024,1.73162,-1.41858
-3.19541,1.22633,1.17158,-1.00724
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.19456,-0.297267,1.61715,-1.16047
-2.51537,0.322614,1.72043,-1.31695
-3.06003,1.38735,1.79967,-1.5714
-3.4339,1.68024,1.3524,-1.37672
-3.19541,1.22633,1.12652,-1.11224
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.61715,-1.16047
-2.17659,-0.306869,1.72043,-1.31695
-2.84878,0.93806,1.79967,-1.5714
-3.45045,1.72793,1.3524,-1.37672
-3.34635,1.47098,1.12652,-1.11224
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.44791,-0.924148
-2.17659,-0.306869,1.69583,-1.2483
-2.89301,1.05379,1.81914,-1.44225
-3.45045,1.72793,1.73162,-1.41858
-3.34635,1.47098,1.17158,-1.00724
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.44791,-0.924148
-2.17659,-0.306869,1.69583,-1.2483
-2.89301,1.05379,1.81914,-1.44225
-3.45045,1.72793,1.73162,-1.41858
-3.34635,1.47098,1.17158,-1.00724
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.44791,-0.924148
-2.17659,-0.306869,1.69583,-1.2483
-2.89301,1.05379,1.81914,-1.44225
-3.45045,1.72793,1.73162,-1.41858
-3.34635,1.47098,1.17158,-1.00724
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.10702,-0.451161,1.28014,-0.696235
-2.17659,-0.306869,1.38684,-0.823152
-2.89301,1.05379,1.79872,-1.39812
-3.45045,1.72793,1.72667,-1.4497
-3.34635,1.47098,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.46485,0.365289,1.28014,-0.696235
-2.5469,0.45519,1.38684,-0.823152
-2.80695,0.853941,1.79872,-1.39812
-3.33637,1.61241,1.72667,-1.4497
-3.42805,1.6798,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.28014,-0.696235
-2.17659,-0.306869,1.38684,-0.823152
-2.89301,1.05379,1.79872,-1.39812
-3.55965,1.80429,1.72667,-1.4497
-3.34635,1.47098,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.19456,-0.297267,1.28014,-0.696235
-2.51537,0.322614,1.38684,-0.823152
-3.02071,1.40219,1.79872,-1.39812
-3.4339,1.68024,1.72667,-1.4497
-3.30905,1.25672,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.19456,-0.297267,1.28014,-0.696235
-2.51537,0.322614,1.38684,-0.823152
-3.02071,1.40219,1.79872,-1.39812
-3.4339,1.68024,1.72667,-1.4497
-3.30905,1.25672,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.19456,-0.297267,1.28014,-0.696235
-2.51537,0.322614,1.38684,-0.823152
-3.02071,1.40219,1.79872,-1.39812
-3.4339,1.68024,1.72667,-1.4497
-3.30905,1.25672,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.51307,0.570645,1.28014,-0.696235
-2.88426,1.11701,1.38684,-0.823152
-3.25641,1.60141,1.79872,-1.39812
-3.47281,1.62724,1.72667,-1.4497
-3.20533,1.00018,1.16138,-1.03726
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.51307,0.570645,1.28014,-0.696235
-2.88426,1.11701,1.59403,-1.11583
-3.25641,1.60141,1.82413,-1.52469
-3.47281,1.62724,1.66499,-1.51652
-3.20533,1.00018,1.44201,-1.32636
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.04905,-0.516212,1.28014,-0.696235
-2.16777,-0.208855,1.59403,-1.11583
-3.24982,1.47523,1.82413,-1.52469
-3.70746,1.83266,1.66499,-1.51652
-3.30905,1.25672,1.44201,-1.32636
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.46485,0.365289,1.28014,-0.696235
-2.57156,0.360541,1.59403,-1.11583
-2.8167,0.89743,1.82413,-1.52469
-3.60945,1.93633,1.66499,-1.51652
-3.30905,1.25672,1.44201,-1.32636
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.09162,-0.441835,1.28014,-0.696235
-3.27837,1.37229,1.59403,-1.11583
-3.55777,1.61876,1.82413,-1.52469
-3.62183,1.77475,1.66499,-1.51652
-3.59441,1.65044,1.44201,-1.32636
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.09162,-0.441835,1.37649,-0.803544
-3.27837,1.37229,1.69938,-1.18447
-3.55777,1.61876,1.8522,-1.64878
-3.62183,1.77475,1.54881,-1.32953
-3.59441,1.65044,0.955576,-0.804062
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.92689,-0.867452,1.52473,-0.97091
-1.87609,-1.13378,1.92502,-1.43698
-2.13892,-0.946347,1.88256,-1.49653
-3.0673,0.404886,1.58416,-1.35881
-3.20988,0.648149,0.955576,-0.804062
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.82509,-1.27817,1.52473,-0.97091
-1.99808,-1.16527,1.92502,-1.43698
-3.15627,0.942161,1.88256,-1.49653
-3.20375,0.953109,1.58416,-1.35881
-3.18634,0.811229,0.955576,-0.804062
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.8167,0.89743,1.42407,-0.894115
-3.24982,1.47523,1.62228,-1.15052
-3.60945,1.93633,2.03249,-1.92162
-3.62691,1.79719,1.62324,-1.63186
-3.22049,1.09292,1.17992,-1.12332
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.8167,0.89743,1.42407,-0.894115
-3.24982,1.47523,1.62228,-1.15052
-3.60945,1.93633,2.03249,-1.92162
-3.62691,1.79719,1.62324,-1.63186
-3.30905,1.25672,1.17992,-1.12332
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.8167,0.89743,1.31809,-0.871311
-3.24982,1.47523,1.69461,-1.31459
-3.60945,1.93633,2.00458,-1.58589
-3.62691,1.79719,1.90448,-1.64919
-3.30905,1.25672,1.08166,-0.980214
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.8167,0.89743,1.46041,-0.917614
-3.21484,1.36858,2.15227,-1.86791
-3.60945,1.93633,1.87665,-1.75232
-3.62691,1.79719,1.3524,-1.37672
-3.30905,1.25672,1.1215,-1.10916
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.08497,-0.479123,1.46041,-0.917614
-3.30421,1.40589,2.15227,-1.86791
-3.55777,1.61876,1.87665,-1.75232
-3.62183,1.77475,1.3524,-1.37672
-3.51343,1.70105,1.1215,-1.10916
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.8167,0.89743,1.40655,-0.947101
-3.24982,1.47523,2.09593,-1.68227
-3.60945,1.93633,2.02642,-1.81768
-3.62691,1.79719,1.66961,-1.48733
-3.30905,1.25672,1.30915,-1.17932
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.08497,-0.479123,1.40655,-0.947101
-3.30421,1.40589,2.09593,-1.68227
-3.55777,1.61876,2.02642,-1.81768
-3.62183,1.77475,1.66961,-1.48733
-3.51343,1.70105,1.30915,-1.17932
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.8167,0.89743,1.40655,-0.947101
-3.24982,1.47523,2.09593,-1.68227
-3.60945,1.93633,2.02642,-1.81768
-3.62691,1.79719,1.66961,-1.48733
-3.30905,1.25672,1.30915,-1.17932
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.8167,0.89743,1.25684,-0.658376
-3.24982,1.47523,1.83829,-1.48816
-3.60945,1.93633,2.16201,-2.04589
-3.62691,1.79719,1.55035,-1.48797
-3.30905,1.25672,1.30028,-1.19147
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-1.9583,-0.70909,1.25684,-0.658376
-1.81959,-0.884156,1.83829,-1.48816
-1.97156,-1.33767,2.16201,-2.04589
-3.20375,0.953109,1.55035,-1.48797
-3.18634,0.811229,1.30028,-1.19147
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.47566,0.224396,1.69475,-1.21755
-3.03329,1.28468,1.86946,-1.62546
-3.75156,1.88074,2.02289,-2.10673
-3.6877,1.74679,1.39087,-1.62962
-3.50595,1.41043,1.02723,-1.15151
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.47566,0.224396,1.38321,-0.794494
-3.03329,1.28468,1.54757,-0.991439
-3.75156,1.88074,1.94506,-1.61016
-3.6877,1.74679,2.12912,-1.72064
-3.50595,1.41043,1.27621,-1.24242
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.47566,0.224396,1.38321,-0.794494
-3.03329,1.28468,1.54757,-0.991439
-3.75156,1.88074,1.94506,-1.61016
-3.6877,1.74679,2.12912,-1.72064
-3.50595,1.41043,1.27621,-1.24242
-2.78319,0.5,0.9,-0.8
-2,-0.6,1.2,-0.6
-2.47566,0.224396,1.38321,-0.794494
-3.03329,1.28468,1.54757,-0.991439
-3.75156,1.88074,1.94506,-1.61016
-3.6877,1.74679,2.12912,-1.72064
