generation,LAYER1-0,LAYER1-1,LAYER1-2,LAYER1-3,LAYER1-4,LAYER2-0,LAYER2-1,LAYER2-2,LAYER2-3,LAYER2-4,
0,114.541,,,,,126.752,,,,,
1,114.541,,,,,66.0902,,,,,
2,66.0902,,,,,66.0902,,,,,
3,66.0902,,,,,36.3777,,,,,
4,36.3777,,,,,36.3777,,,,,
5,36.3777,,,,,89.1611,36.3777,,,,
6,36.3777,36.3777,,,,89.1611,36.3777,,,,
7,36.3777,36.3777,,,,32.9975,32.9975,,,,
8,27.0183,23.1207,,,,32.9975,32.9975,,,,
9,27.0183,23.1207,,,,23.1207,27.0183,,,,
10,27.0183,23.1207,,,,23.1207,27.0183,,,,
11,27.0183,23.1207,,,,27.0183,23.1193,27.0183,,,
12,27.7101,26.7335,23.1193,,,27.0183,23.1193,27.0183,,,
13,27.7101,26.7335,23.1193,,,26.7335,22.0887,26.7335,,,
14,27.7101,25.6777,22.0887,,,26.7335,22.0887,26.7335,,,
15,27.7101,25.6777,22.0887,,,18.1737,18.1737,25.6777,,,
16,28.9217,18.1737,18.1737,,,18.1737,18.1737,25.6777,,,
17,28.9217,18.1737,18.1737,,,23.456,14.5916,18.0093,,,
18,18.0093,18.0093,14.5916,,,23.456,14.5916,18.0093,,,
19,18.0093,18.0093,14.5916,,,15.1679,14.5916,18.0093,,,
20,18.0093,18.0093,14.5916,,,15.1679,14.5916,18.0093,,,
21,18.0093,18.0093,14.5916,,,16.6255,12.7577,15.2032,,,
22,12.7577,12.7577,12.7577,,,16.6255,12.7577,15.2032,,,
23,12.7577,12.7577,12.7577,,,20.3391,14.9619,11.7942,31.6087,,
24,26.947,11.7942,11.7942,14.4514,,20.3391,14.9619,11.7942,31.6087,,
25,26.947,11.7942,11.7942,14.4514,,26.947,12.4646,11.7942,21.4119,,
26,21.4119,11.7942,11.7942,11.7942,,26.947,12.4646,11.7942,21.4119,,
27,21.4119,11.7942,11.7942,11.7942,,29.5815,12.4646,11.7183,13.9852,,
28,13.9852,11.7183,11.7183,11.7183,,29.5815,12.4646,11.7183,13.9852,,
29,13.9852,11.7183,11.7183,11.7183,,26.2502,27.4866,12.1377,11.1374,,
30,27.3032,26.103,11.1374,11.1374,,26.2502,27.4866,12.1377,11.1374,,
31,27.3032,26.103,11.1374,11.1374,,26.103,26.103,10.1064,11.1374,,
32,26.7011,25.3492,10.3072,9.58799,,26.103,26.103,10.1064,11.1374,,
33,26.7011,25.3492,10.3072,9.58799,,25.3492,25.3492,9.58799,10.6986,,
34,26.6929,24.4204,9.67261,9.58799,,25.3492,25.3492,9.58799,10.6986,,
35,26.6929,24.4204,9.67261,9.58799,,10.9045,24.4204,9.58799,10.1714,,
36,27.1559,24.647,23.9028,9.58799,,10.9045,24.4204,9.58799,10.1714,,
37,27.1559,24.647,23.9028,9.58799,,23.9028,23.9028,9.58799,9.95026,,
38,26.9023,23.6892,23.6637,9.58799,,23.9028,23.9028,9.58799,9.95026,,
39,26.9023,23.6892,23.6637,9.58799,,23.6637,23.6637,9.57738,9.7519,,
40,26.8463,23.6892,22.8844,9.52985,,23.6637,23.6637,9.57738,9.7519,,
41,26.8463,23.6892,22.8844,9.52985,,22.8844,22.8844,22.8844,9.52985,,
42,33.0861,23.4064,22.8844,9.52985,,22.8844,22.8844,22.8844,9.52985,,
43,33.0861,23.4064,22.8844,9.52985,,22.8844,13.4064,16.6333,9.09164,,
44,21.8779,13.4064,22.3174,9.09164,,22.8844,13.4064,16.6333,9.09164,,
45,21.8779,13.4064,22.3174,9.09164,,22.3174,13.4064,13.4064,9.09164,,
46,21.8779,11.7143,21.9764,9.09164,,22.3174,13.4064,13.4064,9.09164,,
47,21.8779,11.7143,21.9764,9.09164,,21.9764,17.6033,11.7143,9.09164,10.1541,
48,42.2001,17.2879,10.9564,21.9764,9.09164,21.9764,17.6033,11.7143,9.09164,10.1541,
49,42.2001,17.2879,10.9564,21.9764,9.09164,21.9764,15.9188,10.9564,9.09164,10.1541,
50,13.8944,15.9188,10.8688,21.6993,9.09164,21.9764,15.9188,10.9564,9.09164,10.1541,
51,13.8944,15.9188,10.8688,21.6993,9.09164,17.5249,14.9663,10.8688,9.09164,9.50716,
52,11.6708,14.9663,9.50716,21.6498,9.09164,17.5249,14.9663,10.8688,9.09164,9.50716,
53,11.6708,14.9663,9.50716,21.6498,9.09164,27.2816,21.6498,10.8688,8.82246,9.09164,
54,26.8174,11.21,8.82246,21.4053,9.09164,27.2816,21.6498,10.8688,8.82246,9.09164,
55,26.8174,11.21,8.82246,21.4053,9.09164,14.3218,15.3467,10.8688,8.82246,9.09164,
56,14.3218,11.1922,8.24893,16.9339,9.09164,14.3218,15.3467,10.8688,8.82246,9.09164,
57,14.3218,11.1922,8.24893,16.9339,9.09164,14.0576,15.3467,8.66929,8.24893,9.09164,
58,14.0576,14.0576,8.24893,16.9339,9.09164,14.0576,15.3467,8.66929,8.24893,9.09164,
59,14.0576,14.0576,8.24893,16.9339,9.09164,16.9339,9.15672,13.9314,8.24893,9.09164,
60,32.7886,13.9314,13.656,8.24893,9.09164,16.9339,9.15672,13.9314,8.24893,9.09164,
61,32.7886,13.9314,13.656,8.24893,9.09164,19.9241,8.63828,13.9314,8.24893,9.09164,
62,22.3273,13.9314,9.01719,8.24893,9.09164,19.9241,8.63828,13.9314,8.24893,9.09164,
63,22.3273,13.9314,9.01719,8.24893,9.09164,19.6952,8.24893,9.01719,8.24893,8.52614,
64,19.6952,19.6952,9.01265,8.24893,14.8703,19.6952,8.24893,9.01719,8.24893,8.52614,
65,19.6952,19.6952,9.01265,8.24893,14.8703,35.9754,14.684,8.24893,8.24893,8.24893,
66,26.2017,27.5476,8.13235,8.24893,8.24893,35.9754,14.684,8.24893,8.24893,8.24893,
67,26.2017,27.5476,8.13235,8.24893,8.24893,11.4591,19.156,8.13235,8.13235,8.24893,
68,26.2017,13.1016,8.13235,8.2486,8.24893,11.4591,19.156,8.13235,8.13235,8.24893,
69,26.2017,13.1016,8.13235,8.2486,8.24893,11.4591,12.5309,8.13235,8.13235,8.2486,
70,21.6552,12.4864,8.13235,8.2486,8.11936,11.4591,12.5309,8.13235,8.13235,8.2486,
71,21.6552,12.4864,8.13235,8.2486,8.11936,27.5207,11.4591,8.17793,8.11936,8.06804,
